# Words with one root. Used by RussianWordRootRepeatRule.
# This file must be encoded in UTF-8.
# Imported from /Dicts/SrcBinDict/troiki_suff.txt seman.sf.net (AOT), LGPL v2.1
абажур;абажурный
залежь;залежный
залет;залетный
зал;зальный
залив;заливной
залив;заливный
заливистость;заливистый
заливчатость;заливчатый
Зальцбург;зальцбургский
заманчивость;заманчивый
заматерелость;заматерелый
замедленность;замедленный
заменимость;заменимый
заместитель;заместительный
заместитель;заместительский
заместительство;заместительский
замета;заметный
замет;заметный
заметность;заметный
замечательность;замечательный
замкнутость;замкнутый
замок;замочный
замор;заморский
замысловатость;замысловатый
Занзибар;занзибарский
занимательность;занимательный
занозистость;занозистый
занос;заносный
заносчивость;заносчивый
заношенность;заношенный
зануда;занудный
занятность;занятный
занятость;занятой
занятость;занятый
занять;занятный
заостренность;заостренный
запад;западный
западник;западнический
западник;западничество
западничество;западнический
запал;запальный
запальчивость;запальчивый
запанибратство;запанибратский
запань;запанный
запас;запасной
запас;запасный
запасливость;запасливый
запах;запашный
запев;запевный
запечь;запечный
запись;записной
заплесневелость;заплесневелый
заповедь;заповедный
запоздалость;запоздалый
запой;запойный
заполнитель;заполнительный
запор;запорный
запрет;запретный
запретность;запретный
запреть;запретный
запродажа;запродажный
запрос;запросный
запруда;запрудный
запуганность;запуганный
запуск;запускной
запутанность;запутанный
запущенность;запущенный
зараза;заразный
зараз;заразный
заразительность;заразительный
заразность;заразный
заруб;зарубный
заряд;зарядный
засада;засадный
засаленность;засаленный
заседатель;заседательский
заселенность;заселенный
засечь;засечный
заскорузлость;заскорузлый
заслон;заслонный
заслуженность;заслуженный
засол;засольный
застава;заставный
застарелость;застарелый
застенок;застеночный
застенчивость;застенчивый
застой;застойный
застойность;застойный
заступник;заступнический
заступник;заступничество
заступничество;заступнический
засухоустойчивость;засухоустойчивый
засушливость;засушливый
засыпь;засыпной
затаенность;затаенный
затакт;затактный
затасканность;затасканный
затверделость;затверделый
затвор;затворный
затворник;затворнический
затворник;затворничество
затворничество;затворнический
затейливость;затейливый
затейник;затейничество
затерянность;затерянный
заток;заточный
затон;затонный
затор;заторный
заторможенность;заторможенный
затрапез;затрапезный
затрапезность;затрапезный
затрудненность;затрудненный
затруднительность;затруднительный
затхлость;затхлый
затылок;затылочный
затянутость;затянутый
заумность;заумный
заумь;заумный
заунывность;заунывный
заурядность;заурядный
заушатель;заушательский
заушательство;заушательский
захват;захватный
захламленность;захламленный
захолустность;захолустный
захудалость;захудалый
зацеп;зацепной
зачарованность;зачарованный
зачаток;зачаточный
зачаточность;зачаточный
зачерствелость;зачерствелый
зачет;зачетный
защита;защитный
звезда;звездный
Звенигород;звенигородский
зверобой;зверобойный
зверолов;звероловный
зверство;зверский
звонкость;звонкий
звук;звучный
звукометрия;звукометрический
звуконепроницаемость;звуконепроницаемый
звукооператор;звукооператорский
звукоподражатель;звукоподражательный
звукоподражательность;звукоподражательный
звукопроницаемость;звукопроницаемый
звукорежиссер;звукорежиссерский
звукотехник;звукотехнический
звукоусилитель;звукоусилительный
звучность;звучный
здравость;здравый
зеброид;зеброидный
зевота;зевотный
Зеленоград;зеленоградский
зелень;зеленной
землевоз;землевозный
земледел;земледельный
землекоп;землекопный
землемер;землемерный
землесос;землесосный
землеустроитель;землеустроительный
землистость;землистый
земля;земляной
земляк;земляческий
земляк;землячество
землячество;земляческий
земство;земский
зенит;зенитный
зеркальность;зеркальный
зернистость;зернистый
зерноотделитель;зерноотделительный
зерноочиститель;зерноочистительный
зернофураж;зернофуражный
зефир;зефирный
зиждитель;зиждительный
зимология;зимологический
зимостойкость;зимостойкий
зипун;зипунный
злак;злачный
златоуст;златоустный
златоуст;златоустский
злоба;злобный
злобность;злобный
злободневность;злободневный
зловонность;зловонный
зловредность;зловредный
злодей;злодейский
злодейство;злодейский
зложелатель;зложелательный
злокачественность;злокачественный
злокозненность;злокозненный
злонамеренность;злонамеренный
злопамятность;злопамятный
злопыхатель;злопыхательный
злопыхатель;злопыхательский
злопыхательство;злопыхательский
злостность;злостный
злость;злой
злость;злостный
знак;значный
знаковость;знаковый
знаменатель;знаменательный
знаменательность;знаменательный
знаменитость;знаменитый
знатность;знатный
знаток;знаточество
знать;знатный
знахарство;знахарский
значимость;значимый
значительность;значительный
значность;значный
зной;знойный
знойность;знойный
зоб;зобный
зодчество;зодческий
зола;зольный
золистость;золистый
золотистость;золотистый
золотоискатель;золотоискательный
золотоискатель;золотоискательский
золотоискательство;золотоискательский
золотоносность;золотоносный
золотопромышленность;золотопромышленный
золотоцвет;золотоцветный
золоуловитель;золоуловительный
золь;зольный
зольность;зольный
зона;зонный
зональность;зональный
зонд;зондский
зонтик;зонтичный
зоогеография;зоогеографический
зоография;зоографический
зооид;зооидный
зоология;зоологический
зоон;зоонный
зоопалеонтология;зоопалеонтологический
зоопатология;зоопатологический
зоопланктон;зоопланктонный
зоопсихология;зоопсихологический
зоотехник;зоотехнический
зоотехния;зоотехнический
зоотомия;зоотомический
зоохимия;зоохимический
зоркость;зоркий
зрелищность;зрелищный
зрелость;зрелый
зримость;зримый
зритель;зрительный
зритель;зрительский
зубастость;зубастый
зуб;зубной
зубомер;зубомерный
зубрила;зубрильный
зубчатость;зубчатый
зулус;зулусский
зуммер;зуммерный
Зунд;зундский
зыбкость;зыбкий
зык;зычный
зычность;зычный
зябкость;зябкий
Иванов;ивановский
иглистость;иглистый
игнитрон;игнитронный
Игорь;игорный
игра;играный
игривость;игривый
игристость;игристый
игумен;игуменский
игуменство;игуменский
идеал;идеализация
идеал;идеальный
идеалистичность;идеалистичный
идеальность;идеальный
идейность;идейный
идемпотент;идемпотентный
идемпотентность;идемпотентный
идентичность;идентичный
идеография;идеографический
идеолог;идеологизация
идеология;идеологический
идиллик;идиллический
идиллик;идилличный
идиллия;идиллический
идиосинкразия;идиосинкразический
идиот;идиотский
идиотик;идиотический
идиотик;идиотичный
идиотичность;идиотичный
идиотия;идиотический
идиотство;идиотский
идолопоклонник;идолопоклоннический
идолопоклонник;идолопоклонничество
идолопоклонничество;идолопоклоннический
иезуит;иезуитский
иезуитство;иезуитский
иерархия;иерархический
иерей;иерейский
иерейство;иерейский
иеродиакон;иеродиаконский
Иерусалим;иерусалимский
иждивенство;иждивенский
иждивенчество;иждивенческий
избавитель;избавительный
изба;избяной
избалованность;избалованный
избиратель;избирательный
избиратель;избирательский
избирательность;избирательный
избитость;избитый
избранник;избранничество
избранность;избранный
избыток;избыточный
избыточность;избыточный
известегаситель;известегасительный
известитель;известительный
известность;известный
известь;известный
извечность;извечный
извивистость;извивистый
извилистость;извилистый
извоз;извозный
изворотистость;изворотистый
изворотливость;изворотливый
извращенность;извращенный
изгиб;изгибный
изгнанник;изгнаннический
изгнанник;изгнанничество
изгнанничество;изгнаннический
изгой;изгойский
изгойство;изгойский
изготовитель;изготовительный
издатель;издательский
издательство;издательский
издевательство;издевательский
издерганность;издерганный
излечимость;излечимый
изломанность;изломанный
излучатель;излучательный
измельчитель;измельчительный
изменник;изменнический
изменник;изменничество
изменничество;изменнический
изменчивость;изменчивый
изменяемость;изменяемый
измеримость;измеримый
измеритель;измерительный
изможденность;изможденный
измывательство;измывательский
изначала;изначальный
изнеженность;изнеженный
изнеможенность;изнеможенный
износоустойчивость;износоустойчивый
изношенность;изношенный
изнуренность;изнуренный
изнурительность;изнурительный
изобара;изобарный
изобличитель;изобличительный
изобразитель;изобразительный
изобразительность;изобразительный
изобретатель;изобретательный
изобретатель;изобретательский
изобретательность;изобретательный
изобретательство;изобретательский
изогнутость;изогнутый
изография;изографический
изодинамия;изодинамический
изодрома;изодромный
изодром;изодромный
изоклиналь;изоклинальный
изолированность;изолированный
изолятор;изоляторный
изоляционист;изоляционистский
изомер;изомеризация
изомер;изомерный
изометрия;изометрический
изоморфность;изоморфный
изотония;изотонический
изотоп;изотопный
изотопия;изотопический
изотропность;изотропный
изохора;изохорный
изохрона;изохронный
изохронность;изохронный
изощренность;изощренный
Израиль;израильский
изреженность;изреженный
изрезанность;изрезанный
изувер;изуверский
изуверство;изуверский
изумруд;изумрудный
изысканность;изысканный
изыскатель;изыскательный
изыскатель;изыскательский
изюм;изюмный
изящность;изящный
и;иной
икона;иконный
иконоборчество;иконоборческий
иконография;иконографический
иконопись;иконописный
иконостас;иконостасный
икра;икряной
ил;ильный
илистость;илистый
иллюзион;иллюзионный
иллюзионист;иллюзионистский
иллюзорность;иллюзорный
иллюстративность;иллюстративный
иллюстратор;иллюстраторский
иловатость;иловатый
иль;ильный
ильмень;ильменьский
имажинист;имажинистский
имбецильность;имбецильный
имбирь;имбирный
именитость;именитый
имеретин;имеретинский
имитатор;имитаторский
имитаторство;имитаторский
имманентность;имманентный
иммигрант;иммигрантский
иммунность;иммунный
иммунология;иммунологический
иммунопатология;иммунопатологический
иммунохимия;иммунохимический
императив;императивный
императивность;императивный
император;императорский
императорство;императорский
империал;империальный
империалист;империалистский
имперфект;имперфектный
импозантность;импозантный
импорт;импортный
импортность;импортный
импотент;импотентный
импрессионист;импрессионистский
импровизатор;импровизаторский
импровизаторство;импровизаторский
импульсивность;импульсивный
импульс;импульсный
инвалид;инвалидный
инвалидность;инвалидный
инвалюта;инвалютный
инвариант;инвариантный
инвариантность;инвариантный
инвар;инварный
инвентарь;инвентарный
инвертор;инверторный
инвестор;инвесторский
ингредиент;ингредиентный
ингуш;ингушский
индекс;индексация
индекс;индексный
индивидуал;индивидуализация
индивидуал;индивидуальный
индивидуалист;индивидуалистский
индивидуальность;индивидуальный
индий;индийский
индикатив;индикативный
индикатор;индикаторный
Инд;индский
индифферентность;индифферентный
Индокитай;индокитайский
индуист;индуистский
индуктивность;индуктивный
индуктор;индукторный
индус;индусский
инертность;инертный
инерционность;инерционный
инжектор;инжекторный
инженер;инженерный
инженер;инженерский
инженерство;инженерский
инжир;инжирный
инициал;инициализация
инициал;инициальный
инициатива;инициативный
инициативность;инициативный
инициатор;инициаторский
инициаторство;инициаторский
инкассатор;инкассаторский
инквизитор;инквизиторский
инквизиторство;инквизиторский
инк;инкский
инкремент;инкрементный
инкубатор;инкубаторный
инкуб;инкубация
инок;иноческий
инок;иночество
иносказательность;иносказательный
иночество;иноческий
Инсбрук;инсбрукский
инсектицид;инсектицидный
инсектология;инсектологический
инспектор;инспекторский
инспекторство;инспекторский
инстинктивность;инстинктивный
институт;институтский
инструктивность;инструктивный
инструктор;инструкторский
инструкторство;инструкторский
инсулярность;инсулярный
инсургент;инсургентский
интеграл;интегральный
интеллектуал;интеллектуальный
интеллектуальность;интеллектуальный
интеллигент;интеллигентный
интеллигент;интеллигентский
интеллигентность;интеллигентный
интеллигентство;интеллигентский
интендант;интендантский
интендантство;интендантский
интенсивность;интенсивный
интервал;интервальный
интервент;интервентский
интервенционист;интервенционистский
интерес;интересный
интересность;интересный
интернат;интернатный
интернат;интернатский
интернационал;интернационализация
интернационал;интернациональный
интернационалист;интернационалистский
интернациональность;интернациональный
интерфейс;интерфейсный
интерферометрия;интерферометрический
интерфикс;интерфиксация
интимность;интимный
интриган;интриганский
интриганство;интриганский
интрузив;интрузивный
интуитивист;интуитивистский
интуитивность;интуитивный
интурист;интуристский
инфантильность;инфантильный
инфаркт;инфарктный
инфикс;инфиксация
инфикс;инфиксный
инфинитив;инфинитивный
информативность;информативный
инфраструктура;инфраструктурный
инцидент;инцидентный
инцидентность;инцидентный
инь;иньский
иод;иодный
Иона;ионный
ионий;ионийский
ионик;ионический
ион;ионизация
ион;ионный
ионность;ионный
ионоген;ионогенный
ионография;ионографический
ионообмен;ионообменный
ионосфера;ионосферный
Иордан;иорданский
ипохондрик;ипохондрический
ипохондрия;ипохондрический
ипподром;ипподромный
иприт;ипритный
Ира;ирный
Ирак;иракский
Иран;иранский
ир;иризация
ир;ирный
ирокез;ирокезский
ироничность;ироничный
ирония;иронический
иррациональность;иррациональный
ирреальность;ирреальный
иррегулярность;иррегулярный
ирредентист;ирредентистский
иррелевантность;иррелевантный
искаженность;искаженный
искариот;искариотский
искатель;искательный
искатель;искательский
искательность;искательный
искательство;искательский
исключительность;исключительный
исконность;исконный
искра;искряной
искренность;искренний
искристость;искристый
искрогаситель;искрогасительный
искроуловитель;искроуловительный
искупитель;искупительный
искус;искусный
искуситель;искусительный
искусность;искусный
искусственность;искусственный
искушенность;искушенный
Исламабад;исламабадский
ислам;исламский
исламист;исламистский
исмаилит;исмаилитский
испаритель;испарительный
испарительность;испарительный
исповедник;исповеднический
исповедь;исповедный
исполин;исполинский
исполнимость;исполнимый
исполнитель;исполнительный
исполнитель;исполнительский
исполнительность;исполнительный
исполовник;исполовничество
испорченность;испорченный
исправимость;исправимый
исправитель;исправительный
исправник;исправнический
исправность;исправный
испытатель;испытательный
испытатель;испытательский
исследователь;исследовательский
исступленность;исступленный
Иссык-Куль;иссык-кульский
истерик;истерический
истерик;истеричный
истеричность;истеричный
истерия;истерический
истина;истинный
истинность;истинностный
истинность;истинный
истовость;истовый
истома;истомный
историк;исторический
историк;историчный
историография;историографический
историчность;историчный
история;исторический
истощенность;истощенный
истребитель;истребительный
истребитель;истребительский
истребительность;истребительный
истрепанность;истрепанный
истязатель;истязательский
истязательство;истязательский
исход;исходный
исхудалость;исхудалый
исцелимость;исцелимый
исчислимость;исчислимый
ительмен;ительменский
итератив;итеративный
итератор;итераторный
иудей;иудейский
иудейство;иудейский
ихтиология;ихтиологический
ишемия;ишемический
ишиатик;ишиатический
июль;июльский
июнь;июньский
Йемен;йеменский
йодид;йодидный
йод;йодный
йомен;йоменский
Йорк;йоркский
йоркшир;йоркширский
йот;йотация
Кабаков;кабаковский
кабала;кабальный
кабель;кабельный
кабинет;кабинетный
кабинет;кабинетский
кабинетность;кабинетный
каблук;каблучный
каботаж;каботажный
кавалергард;кавалергардский
кавалер;кавалерский
каверза;каверзный
каверзность;каверзный
кавернометрия;кавернометрический
Кавказ;кавказский
кадет;кадетский
кадриль;кадрильный
кадык;кадычный
казак;казачество
казан;казанский
казах;казахский
Казахстан;казахстанский
Казбек;казбекский
каземат;казематный
казенность;казенный
казначей;казначейский
казначейство;казначейский
казуальность;казуальный
казус;казусный
каин;каинский
Каир;каирский
Кайкос;кайкосский
кайман;кайманский
кайнозой;кайнозойский
как;качество
каков;каковский
какография;какографический
какофоничность;какофоничный
какофония;какофонический
каламбур;каламбурный
калач;калачный
калейдоскопичность;калейдоскопичный
календарь;календарный
калий;калийный
Калимантан;калимантанский
Калининград;калининградский
Калинин;калининский
калифорний;калифорнийский
каллиграфия;каллиграфический
каломель;каломельный
калоризатор;калоризаторный
калорийность;калорийный
калориметрия;калориметрический
калорифер;калориферный
калория;калорический
калоша;калошный
калым;калымный
кальвинист;кальвинистский
калькография;калькографический
кальмар;кальмарский
камбуз;камбузный
камедь;камедный
каменистость;каменистый
каменотес;каменотесный
камень;каменный
камера;камерный
камергер;камергерский
камердинер;камердинерский
камертон;камертонный
Камерун;камерунский
камер-юнкер;камер-юнкерский
камзол;камзольный
камин;каминный
камнеотделитель;камнеотделительный
камнерез;камнерезный
камнетес;камнетесный
камуфлет;камуфлетный
камуфляж;камуфляжный
камфара;камфарный
камфора;камфорный
Камышин;камышинский
канава;канавный
канал;канализация
канал;канальный
канальство;канальский
канат;канатный
кандидат;кандидатский
Канзас;канзасский
канитель;канительный
канифас;канифасный
канифоль;канифольный
канкан;канканный
кан;канский
каннибальство;каннибальский
канонада;канонадный
каноник;канонический
каноник;каноничный
канонир;канонирский
каноничность;каноничный
канон;канонизация
Канпур;канпурский
кантата;кантатный
кантианство;кантианский
кантилена;кантиленный
кант;кантский
кантонист;кантонистский
кантон;кантонский
канун;канунный
канцелярист;канцеляристский
канцероген;канцерогенный
канцерогенность;канцерогенный
канцлер;канцлерский
канцлерство;канцлерский
каолин;каолинизация
капельдинер;капельдинерский
капель;капельный
капельмейстер;капельмейстерский
капер;каперный
капер;каперский
каперство;каперский
капилляр;капиллярный
капиллярность;капиллярный
капитал;капитализация
капитал;капитальный
капиталоемкость;капиталоемкий
капиталоинтенсивность;капиталоинтенсивный
капиталь;капитальный
капитальность;капитальный
капитан;капитанский
капитель;капительный
капитулянт;капитулянтский
капитулянтство;капитулянтский
капкан;капканный
кап;капский
капотаж;капотажный
капральство;капральский
каприз;капризный
капризность;капризный
капсула;капсульный
капсюль;капсюльный
каптаж;каптажный
каптал;каптальный
капуста;капустный
Карабах;карабахский
карабинер;карабинерный
карабинер;карабинерский
карабин;карабинный
караван;караванный
Карадаг;карадагский
караиб;караибский
караим;караимский
каракалпак;каракалпакский
Каракас;каракасский
каракиргиз;каракиргизский
каракуль;каракульский
карамболь;карамбольный
карамель;карамельный
карандаш;карандашный
карантин;карантинный
каратель;карательный
карат;каратный
карать;каратный
караул;караульный
карбид;карбидный
карбинол;карбинольный
карбоксил;карбоксильный
карбонат;карбонатный
карбонил;карбонильный
карбон;карбонизация
карборунд;карборундный
карбункулез;карбункулезный
карбюратор;карбюраторный
карда;кардный
кардамон;кардамонный
кардан;карданный
кардинал;кардинальный
кардиография;кардиографический
кардиоида;кардиоидный
кардиология;кардиологический
карета;каретный
кариб;карибский
карий;карийский
карикатура;карикатурный
карикатурность;карикатурный
кариоз;кариозный
каркас;каркасный
карликовость;карликовый
карлист;карлистский
кармазин;кармазинный
карман;карманный
кармелит;кармелитский
кармин;карминный
карнавал;карнавальный
карниз;карнизный
каролинг;каролингский
каротаж;каротажный
картавость;картавый
картеж;картежный
картезианство;картезианский
картель;картельный
картер;картерный
картечь;картечный
картина;картинный
картинность;картинный
картография;картографический
картонаж;картонажный
картон;картонный
картофель;картофельный
картуз;картузный
карусель;карусельный
Карфаген;карфагенский
карцер;карцерный
карьера;карьерный
карьерист;карьеристский
карьер;карьерный
Касимов;касимовский
каскад;каскадный
Каспий;каспийский
кассета;кассетный
кассир;кассирский
кастет;кастетный
кастовость;кастовый
катакомба;катакомбный
каталептик;каталептический
катализатор;катализаторный
катализ;катализация
каталог;каталогизация
каталог;каталожный
каталь;катальный
катапульта;катапультный
катаракта;катарактный
катаракт;катарактный
катар;катарский
катастрофичность;катастрофичный
категоричность;категоричный
категория;категорический
катер;катерный
катетер;катетеризация
катион;катионный
катионообмен;катионообменный
катод;катодный
католик;католический
католик;католичество
католичество;католический
катонов;катоновский
Каттегат;каттегатский
каузальность;каузальный
каузатив;каузативный
Каунас;каунасский
каупер;кауперный
каустик;каустический
каутскианство;каутскианский
каучуконос;каучуконосный
Кафан;кафанский
кафель;кафельный
кафешантан;кафешантанный
кафр;кафрский
кафтан;кафтанный
кацап;кацапский
качественность;качественный
кашевар;кашеварный
Кашмир;кашмирский
кашуб;кашубский
каюта;каютный
квадрант;квадрантный
квадратик;квадратический
квадратик;квадратичный
квадратичность;квадратичный
квадрат;квадратный
квадратность;квадратный
квадратура;квадратурный
квадрафония;квадрафонический
квадруполь;квадрупольный
квазиатом;квазиатомный
квазиделикт;квазиделиктный
квазидоговор;квазидоговорный
квазиимпульс;квазиимпульсный
квакер;квакерский
квакерство;квакерский
квант;квантизация
квантор;кванторный
квартал;квартальный
квартет;квартетный
квартиль;квартильный
квартира;квартирный
квартирмейстер;квартирмейстерский
квартирьер;квартирьерский
квас;квасной
квасовар;квасоварный
квашенина;квашенинный
квелость;квелый
квота;квотный
кегель;кегельный
кейнсианство;кейнсианский
Кейп-Бретон;кейп-бретонский
келейность;келейный
кельнер;кельнерский
Кельн;кельнский
кельт;кельтский
Кембридж;кембриджский
кенаф;кенафный
Кенигсберг;кенигсбергский
кеннель;кеннельский
кенотрон;кенотронный
керамзитобетон;керамзитобетонный
керамик;керамический
керосин;керосинный
кессон;кессонный
кетмень;кетменный
кефаль;кефальный
кефир;кефирный
кибернетик;кибернетический
киддерминстер;киддерминстерский
Киев;киевский
кизил;кизильный
кизиль;кизильный
килобайт;килобайтный
километраж;километражный
кильватер;кильватерный
Киль;кильский
кимвал;кимвальный
кимвр;кимврский
кимр;кимрский
Кингстаун;кингстаунский
кингстон;кингстонный
кингстон;кингстонский
кинематография;кинематографический
кинескоп;кинескопный
кинжал;кинжальный
киник;кинический
киноактер;киноактерский
киноаппарат;киноаппаратный
киноварь;киноварный
кинодраматургия;кинодраматургический
киноконцерт;киноконцертный
кинология;кинологический
кинолюбитель;кинолюбительский
кинолюбительство;кинолюбительский
киномеханик;киномеханический
кинооператор;кинооператорский
кинопанорама;кинопанорамный
кинопрожектор;кинопрожекторный
кинопрокат;кинопрокатный
киноэкран;киноэкранизация
киноэкран;киноэкранный
киот;киотный
киот;киотский
кипа;кипный
кипарис;кипарисный
кипень;кипенный
кипрей;кипрейный
Кипр;кипрский
кипяток;кипяточный
кирасир;кирасирский
киргиз;киргизский
Киреев;Киреевский
Кировакан;кироваканский
Киров;кировский
Кировобад;кировобадский
Кировоград;кировоградский
кирпич;кирпичный
кисель;кисельный
кисет;кисетный
кисловатость;кисловатый
кислород;кислородный
кислота;кислотный
кислотность;кислотный
кислотостойкость;кислотостойкий
кислотоупорность;кислотоупорный
кислотоустойчивость;кислотоустойчивый
Китай;китайский
китель;кительный
кит;китский
китобой;китобойный
Кито;китоский
китолов;китоловный
кичливость;кичливый
Кишинев;кишиневский
кишлак;кишлачный
кишмиш;кишмишный
клавесин;клавесинный
клавиатура;клавиатурный
клавир;клавирный
клавиша;клавишный
клавиш;клавишный
клапан;клапанный
кларнет;кларнетный
классик;классический
классицист;классицистский
класс;классный
классность;классный
классовость;классовый
кластер;кластеризация
кластер;кластерный
клатрат;клатратный
клевер;клеверный
клеветник;клеветнический
клеевар;клееварный
клейковина;клейковинный
клейкость;клейкий
клейстер;клейстерный
клемма;клеммный
клерикал;клерикальный
клер;клерный
Клермон-Ферран;клермон-ферранский
клещевина;клещевинный
кливаж;кливажный
Кливленд;кливлендский
клиент;клиентский
клиентура;клиентурный
