伶	龄,冷,铃,另,磷,邻,陵,灵,玲,凝,林,零,临,怜,领,令,凌,岭
氧	焰,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
缝	冯,风,疯,蜂,份,衡,恒,氛,锋,芬,峰,粉,封,凤,奉,丰,粪,蓬,横,奋,哼,逢,分,坟,纷,愤
苗	描,庙,猫,秒,妙
猬	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
墩	敦,顿,蹲,吨,盾
汹	胸,兄,熊,凶,雄
血	穴,学,雪,削
逗	兜,斗,抖,豆,都
筝	诊,争,整,珍,症,振,政,侦,挣,证,睁,镇,增,阵,郑,真,针,蒸,震,贞,正,征
钥	姚,咬,摇,腰,邀,要,耀,药,遥
趴	怕,爬,帕
同	筒,痛,童,桶,通,统,铜
处	础,储,粗,初,出,楚,促,畜,触,厨,除
涩	社,涉,设,色,舍,摄,蛇,射,舌
茶	叉,插,擦,察,差,查
橱	础,储,粗,初,出,楚,促,畜,触,厨,处,除
贡	功,宫,控,巩,工,孔,弓,供,空,共,公,攻,恐,恭
彬	饼,兵,冰,滨,并,丙,宾,病
蕴	孕,允,运,匀,晕,云,韵
云	孕,允,运,匀,晕,动,蕴,韵
搬	榜,斑,板,邦,膀,半,傍,伴,帮,班,棒,扮,办,版,颁,般
耻	词,次,池,齿,址,瓷,刺,磁,持,驰,此,耸,辞,职,斥,止,联,尺,耳,迟,慈,吃,翅,雌,赤
汽	期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,妻,欺
硕	所,说,锁,索,缩
泻	鞋,写,些,协,卸,斜,谐,携,械,歇,泄,胁,邪,谢
却	缺,雀,确
豌	万,汪,往,网,湾,忘,亡,旺,完,玩,顽,望,碗,挽,晚,妄,王,弯
蹬	灯,瞪,凳,登,等,邓
佐	卓,作,桌,捉,做,左,昨,座,坐
寅	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,阴,引,硬,营,颖,婴,音,饮,银
们	蒙,萌,猛,门,梦,盟,闷,孟
肚	渡,杜,督,赌,独,毒,堵,读,度
澎	棚,碰,膨,朋,喷,捧,彭,盆,蓬
网	万,汪,往,湾,忘,亡,旺,完,玩,顽,望,碗,挽,晚,妄,王,弯
筐	广,况,狂,框,矿,宽,光,款
窃	切,且
时	市,过,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,村,施,逝,势,衬,付,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,寸,守,式,似,讨,士,示,氏,丝,对,史,事,饲,视,驶,饰,失
住	阻,准,柱,煮,驻,租,贮,嘱,主,祝,往,助,筑,珠,堆,足,推,竹,铸,逐,组,祖,维,诸,猪,朱,株,族,注
苦	姑,骨,股,故,固,酷,鼓,雇,咕,库,孤,古,枯,谷,哭,裤,顾,估
妃	菲,黑,匪,肥,肺,非,嘿,废,记,己,费,飞,沸,纪
匹	披,譬,皮,辟,疲,屁,脾,批
沧	苍,藏,惨,参,肠,厂,唱,尝,偿,残,昌,仓,蚕,场,畅,倡,舱,常,白,餐,抢,枪
琴	轻,斑,庆,侵,晴,请,倾,清,班,氢,亲,青,王,狂,情,勤,秦
袱	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
队	堆,对
休	修,羞,绣,袖,秀,朽
舵	躲,多,夺,朵
备	贝,杯,卑,北,背,悲,碑,被,辈,倍
竖	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,述,殊
宏	鸿,轰,哄,洪,红
舶	玻,拨,勃,脖,博,播,膊,波,剥,驳,搏,伯,卜
锌	醒,行,杏,兴,新,信,幸,欣,性,型,辛,心,姓,形,星,刑
焕	荒,缓,皇,惶,幻,煌,环,欢,黄,患,换,晃,慌,唤
倍	贝,杯,卑,北,背,悲,碑,备,被,辈,陪,部
鹉	物,吴,五,乌,雾,舞,屋,无,务,污,悟,午,伍,呜,武,吾,误
岳	曰,越,约,悦,跃,月,阅
沼	招,遭,造,罩,爪,灶,找,早,兆,藻,召,照,燥,糟,赵
拣	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
投	股,设,没,透,偷,役,头,般
狗	扣,钩,够,口,构,沟,购,勾
掐	陷,恰
等	灯,瞪,凳,待,寺,登,特,邓,诗,持
狮	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
违	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯
蚪	兜,斗,抖,豆,都
听	停,艇,亭,庭,厅,廷,挺
拼	频,苹,品,饼,凭,平,屏,并,瓶,萍,贫,评
凿	招,遭,造,罩,爪,灶,找,早,兆,藻,召,照,燥,糟,赵
以	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,艺,伊,意,忆,翼
徒	涂,超,趣,越,起,趟,土,途,突,走,屠,图,兔,趋,吐
渊	源,员,元,愿,远,原,怨,圆,援,冤,园,缘,袁,院
镶	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,像,湘,向,闲
更	坑,跟,耕,硬,便,根
恕	努,诉,疏,怒,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,奴,舒,速,苏,塑,述,竖,殊
承	尘,称,程,沉,惩,城,层,诚,衬,臣,呈,趁,曾,陈,成,晨,撑,乘
健	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
致	字,执,肢,滞,址,姿,稚,旨,志,到,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,倒,秩,治,子,至,殖,植,只,枝
池	词,次,齿,瓷,刺,磁,持,驰,此,辞,耻,斥,尺,迟,慈,吃,翅,雌,赤
凯	概,慨,改,钙,饥,盖,几,肌,溉,该,开
盈	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,应,印,阴,引,硬,营,颖,婴,音,饮,银
真	诊,争,整,珍,症,振,政,怎,挣,侦,证,睁,镇,填,阵,慎,郑,针,蒸,震,贞,正,征
瘩	答,打,搭,达,大
盛	生,审,渗,婶,伸,城,升,身,绳,肾,诚,省,什,慎,圣,声,申,牲,神,剩,深,沈,僧,胜,甚,成
脓	农,拢,笼,弄,浓,龙,隆,垄
觅	迷,秘,蜜,弥,米,密,泌
元	源,员,愿,远,原,渊,怨,圆,援,完,玩,冤,园,缘,袁,院
羽	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,翔,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,舆,鱼,御,翻,浴,翅
颤	阐,缠,惨,参,肠,厂,唱,尝,偿,残,昌,蚕,场,畅,倡,常,禅,餐,产
微	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,魏,喂,唯,违
夺	躲,多,朵
舆	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,鱼,御,浴
手	收,搜,瘦,售,兽,受,守,首,寿,授
达	答,打,搭,大
己	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,级,急,极,积,饥,即,几,击,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
铐	高,搞,靠,告,考,稿
嘛	马,蚂,吗,麻,妈,码,玛,骂
靴	穴,学,血,雪,削
捅	筒,痛,童,桶,涌,通,统,铜,同
呼	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
轩	杆,悬,干,选,旋,玄,宣
敌	底,帝,弟,递,低,抵,蒂,第,滴,迪,堤
任	忍,仁,认,仍,扔,人
善	上,衫,赏,珊,陕,三,商,散,伤,闪,山,扇,尚
邀	姚,咬,摇,腰,要,耀,药,遥
戈	葛,格,隔,课,个,歌,棵,哥,可,革,胳,壳,阁,克,各,科,割,渴,客,鸽,颗,刻
雏	础,储,粗,初,出,楚,促,畜,触,厨,处,除
书	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,鼠,熟,舒,速,苏,塑,述,竖,殊
犬	天,权,拳,圈,全,大,劝,泉,夫,券
秩	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,治,子,至,殖,植,只,枝
沥	逆,黎,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
聚	巨,距,惧,拒,俱,举,居,据,剧,菊,局,矩,拘,句,具
衫	上,赏,珊,陕,三,商,散,善,伤,闪,山,扇,尚
往	柱,驻,万,汪,主,网,湾,忘,住,亡,旺,完,玩,顽,望,碗,挽,晚,妄,王,弯,注
刚	杠,干,港,康,感,甘,肝,赶,敢,岗,纲,抗,杆,钢,炕
最	嘴,罪,醉,追
瑰	规,跪,鬼,愧,桂,贵,硅,轨,亏,龟,魂,柜,归,魏,溃
涡	窝,祸,锅,我,卧,握
憾	凡,含,范,杭,泛,犯,饭,寒,反,汉,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
挑	跳,桃,兆,条,逃
候	否,侯,厚,猴,后,喉
乡	享,项,宪,显,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,像,湘,向,闲
忆	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,翼
超	越,吵,走,巢,朝,抄,槽,草,潮,趣,起,徒,趋,操,趟,曹
灯	瞪,凳,登,等,邓
弹	氮,胆,单,丹,党,但,当,旦,诞,荡,档,淡,挡,蛋,担
猾	划,话,哗,花,画,滑,化,骨,华
蔗	这,择,哲,浙,著,折,者,遮,责,则,泽,着
息	晰,戏,袭,析,悉,稀,习,吸,希,席,西,嘻,锡,细,隙,夕,溪,牺,系,惜,洗,喜,媳
粮	梁,凉,谅,娘,良,链,辆,恋,亮,连,练,炼,联,两,怜,廉,莲,量,帘,脸
室	市,实,司,寺,尸,四,使,拾,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
子	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,至,殖,植,只,枝
谅	惊,梁,京,凉,娘,良,链,景,辆,恋,亮,连,练,炼,联,两,怜,廉,粮,掠,莲,量,帘,脸
赡	上,衫,赏,珊,陕,三,商,散,善,伤,闪,山,扇,尚
居	巨,距,惧,拒,聚,俱,举,据,剧,菊,局,矩,拘,句,具
盐	焰,氧,阳,厌,严,言,养,验,颜,猛,洋,央,沿,孟,样,盆,宴,燕,咽,秧,扬,研,眼,炎,艳,烟,延,演,杨,掩,衍,监,仰,盒,羊,岩
形	醒,行,杏,兴,新,信,幸,欣,性,型,辛,心,姓,星,刑,开
胖	判,盼,盘,叛,潘,庞,攀,旁
滑	划,话,哗,花,画,化,骨,华
绒	溶,熔,拢,容,笼,融,龙,隆,荣,垄
耗	豪,浩,好,号,毫
酉	优,犹,幽,酒,醉,游,由,又,悠,忧,有,诱,油,右,邮,幼,配,友,酬,尤
笼	农,绒,溶,熔,容,浓,融,龙,隆,荣,拢,垄,弄,庞
误	物,吴,五,乌,雾,舞,屋,无,务,污,悟,午,伍,呜,娱,武,吾
坷	葛,格,隔,课,个,歌,棵,哥,可,革,胳,壳,阁,克,各,科,割,渴,客,鸽,颗,刻,戈
侧	测,策,彻,车,扯,撤,册,则
空	控,贡,功,宫,巩,工,共,恭,穴,攻,恐,孔,穷,弓,供,公
旅	绿,虑,妨,仿,氯,纺,驴,方,铝,吕,律,女,履,率,防,访
建	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
挥	绘,辉,汇,毁,灰,回,慧,惠,恢,军,徽,晕,会,浑,悔
裁	彩,才,采,菜,材,财,柴,蔡,猜,拆
零	淋,龄,铃,另,磷,邻,陵,灵,玲,凝,林,临,领,令,凌,岭,宁
泣	汽,拉,期,岂,骑,凄,立,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,粒,妻,欺,站
助	阻,柱,煮,驻,租,贮,嘱,主,祝,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,朱,株,族,注
浴	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,俗,予,欲,寓,域,郁,狱,娱,羽,舆,谷,鱼,御
会	绘,辉,慧,灰,惠,恢,汇,挥,悔,毁,徽,回
葡	扑,铺,仆,朴,谱,普
辈	贝,菲,杯,排,匪,非,卑,北,背,悲,碑,备,被,倍
余	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,除,愉,喻,斜,叙,于,途,愈,渔,预,徐,予,欲,寓,域,郁,狱,娱,羽,舆,涂,鱼,御,浴
艳	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,烟,延,演,杨,掩,衍,仰,羊,岩
纺	凡,范,杭,泛,犯,妨,饭,房,反,仿,航,方,贩,烦,番,繁,旅,返,翻,放,芳,防,访
伍	物,吴,五,乌,雾,舞,屋,无,务,污,悟,午,呜,武,吾,误
质	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
葫	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
科	葛,格,隔,课,个,歌,棵,哥,可,革,胳,壳,阁,料,克,各,割,渴,客,鸽,颗,斗,抖,刻,戈
正	诊,争,整,珍,症,振,惩,政,侦,挣,证,睁,镇,歪,增,阵,郑,真,针,蒸,震,贞,征
纸	底,字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,低,抵,支,汁,知,指,资,兹,自,职,止,质,紫,芝,值,智,氏,之,置,秩,治,子,至,殖,植,只,枝
杀	沙,纱,萨,刹,洒,啥,撒,厦,砂,傻
族	阻,柱,煮,驻,租,贮,嘱,主,祝,助,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,朱,株,注
底	帝,弟,递,低,抵,蒂,第,滴,纸,迪,堤,氏,敌
江	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
予	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
择	译,这,哲,浙,著,折,者,遮,责,则,泽,着
赎	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,述,竖,殊
丹	氮,胆,单,弹,党,但,当,旦,诞,荡,档,淡,挡,蛋,担
原	源,员,元,愿,远,渊,怨,圆,援,冤,园,缘,袁,院
檬	蒙,萌,猛,门,们,梦,盟,闷,孟
那	钠,辣,拉,娜,蜡,拿,哪,啦,呐,纳,腊
笛	底,滴,抽,递,低,抵,由,庙,帝,敌,弟,袖,第,油,邮,迪,堤,蒂
乃	奈,赖,莱,来,奶,耐
逞	尘,称,程,沉,惩,城,层,诚,衬,臣,承,呈,趁,曾,陈,成,晨,撑,乘
闺	规,跪,鬼,愧,桂,贵,硅,轨,亏,龟,柜,归,溃
糙	巢,超,操,朝,抄,曹,槽,吵,草,潮
杜	渡,督,赌,独,毒,堵,读,肚,度
貌	茅,帽,冒,毛,茂,贸,猫,矛
拓	她,它,塔,他,踏
嘻	晰,戏,袭,析,悉,稀,习,吸,希,席,西,锡,细,隙,夕,息,溪,牺,系,惜,洗,喜,媳
讥	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,凯,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
部	不,布,步,陪,补,捕,倍
激	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,忌,计,季,继,寄,籍,剂,记,纪
番	凡,范,泛,犯,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,繁,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
撞	状,壮,赚,童,转,装,砖,庄,专
吁	序,需,宇,绪,许,叙,于,须,徐,蓄,续,虚
酪	老,闹,牢,扰,捞,脑,恼,劳,饶,绕
槽	遭,巢,超,操,朝,抄,曹,糟,吵,草,潮
婪	懒,禁,郎,篮,然,南,烂,难,栏,滥,染,浪,拦,兰,廊,览,梦,林,燃,蓝,楚,男,朗,狼
烙	老,闹,牢,扰,捞,脑,恼,劳,饶,绕
陋	柔,楼,肉,漏
脂	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
司	市,实,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
彼	披,闭,笔,比,逼,玻,毕,壁,波,蔽,被,鼻,坡,皮,碧,必,皱,币,弊,疲,破,避,臂
载	摘,窄,寨,宰,再,灾,在,宅,债,仔,栽
毯	坦,滩,躺,毛,谈,倘,堂,碳,糖,炭,探,贪,坛,塘,汤,唐,趟,叹,摊,毫
狭	夏,夹,下,吓,霞,峡,瞎,辖
馨	醒,行,杏,兴,新,信,幸,欣,性,型,辛,心,姓,形,星,刑
尊	准,遵
姆	亩,木,牧,墓,幕,慕,穆,目,母
禁	净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,梦,林,茎,警,颈,竞,进,仅,睛,楚,晶,紧,谨,今,径,斤
茁	卓,作,桌,捉,做,左,昨,座,坐
驴	绿,女,虑,旅,铝,率,履,户,吕,律,炉,房,氯
询	训,讯,旬,寻,迅,逊,循,巡
铺	谱,扑,搏,辅,普,仆,捕,膊,葡,朴,甫
欲	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
逝	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
就	舅,究,旧,久,酒,救,九,纠
侮	物,吴,五,梅,乌,雾,舞,屋,无,务,海,污,悟,霉,午,伍,呜,武,悔,每,吾,误
剥	绿,博,录,伯,玻,拨,勃,脖,播,波,逮,搏,驳,膊,碌,卜
戎	绒,溶,熔,拢,容,笼,融,龙,隆,荣,垄
讶	芽,押,雅,压,哑,鸦,鸭,崖,牙,呀,亚
勒	泪,蕾,类,雷,内,累
主	阻,柱,煮,驻,租,贮,嘱,祝,往,助,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,朱,株,族,注
饼	兵,冰,滨,并,拼,丙,宾,病
棱	愣,冷,能,仍,扔
生	审,渗,婶,伸,升,身,绳,肾,省,什,慎,性,圣,声,申,牲,神,剩,深,沈,僧,胜,姓,甚,盛,星
捶	摧,吹,垂,脆,锤,催,粹,睡,崔,翠
浸	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,尽,巾,经,井,茎,警,颈,竞,进,仅,睛,晶,紧,谨,今,径,斤
裳	上,衫,赏,珊,陕,商,丧,善,伤,闪,山,嗓,扇,桑,尚
品	频,苹,凭,平,拼,屏,瓶,萍,贫,评
刁	吊,调,雕,掉
格	葛,隔,课,个,歌,棵,哥,可,革,胳,壳,阁,克,各,科,割,渴,客,鸽,颗,刻,戈
哺	不,膊,布,铺,步,搏,补,辅,捕,甫,部
她	它,塔,拓,他,踏
继	基,挤,集,济,鸡,寂,脊,际,机,迷,既,疾,祭,技,及,辑,米,吉,断,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,寄,籍,剂,记,纪
欠	前,千,强,潜,迁,坎,钱,歉,谦,遣,墙,吹,欢,腔,签,抢,浅,饮,铅,牵,枪
骡	弱,落,螺,诺,萝,洛,络,逻,若,累,裸,罗
启	汽,期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,妻,欺
哆	躲,多,够,夺,朵,移
凡	范,泛,犯,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
亏	规,跪,鬼,愧,桂,贵,硅,轨,龟,柜,归,溃
摔	帅,甩,率,衰
爷	业,叶,野,夜,冶,也,液,页
与	裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
辗	展,娘,链,恋,连,练,炼,联,怜,廉,念,莲,年,帘,脸
涂	除,余,斜,土,徒,叙,途,突,屠,图,兔,徐,吐
针	诊,争,整,金,珍,症,振,政,怎,挣,侦,链,证,钱,睁,镇,键,铜,阵,郑,真,蒸,震,贞,正,征
险	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,验,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,检,响,详,签,限,先,纤,陷,像,脸,湘,向,闲
帆	凡,范,泛,犯,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
州	奏,宙,昼,洲,走,轴,皱,骤,周
诉	疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,述,竖,殊
道	盗,倒,岛,稻,导,蹈,刀,到
锋	冯,风,疯,蜂,份,衡,恒,氛,缝,芬,峰,粉,封,凤,奉,丰,粪,蓬,横,奋,哼,逢,分,坟,纷,愤
拙	卓,左,座,桌,作,掘,做,昨,屈,出,捉,坐
榆	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,输,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,偷,浴
军	辉,峻,浑,俊,君,挥,晕,菌,均
丫	芽,押,雅,压,哑,鸦,鸭,崖,牙,呀,亚
储	础,粗,初,出,楚,促,畜,触,厨,处,除
苹	频,品,凭,平,拼,屏,瓶,萍,贫,评
盏	暂,账,展,粘,章,长,占,掌,涨,障,仗,张,咱,战,沾,丈,胀,赞,帐,站
召	招,遭,造,罩,爪,灶,找,早,兆,藻,照,燥,糟,赵
紊	温,吻,翁,文,纹,稳,问,闻
伯	博,怕,剥,玻,拨,勃,脖,播,波,拍,搏,泊,柏,帕,陌,白,驳,膊,卜
镀	渡,杜,督,赌,独,毒,堵,读,肚,度
袋	呆,代,逮,戴,带,待,贷
谈	坦,滩,躺,倘,堂,碳,糖,炭,探,贪,坛,塘,汤,唐,趟,叹,摊
获	货,祸,伙,惑,或,霍,活,火
陕	上,衫,赏,珊,三,商,散,善,伤,闪,山,扇,尚
去	取,屈,趣,驱,渠,躯,区,曲,趋
景	禁,净,静,惊,金,京,敬,凉,近,精,谅,劲,锦,筋,镜,津,晋,境,竟,浸,尽,巾,经,井,茎,警,颈,竞,掠,进,仅,睛,晶,紧,谨,今,径,斤
孤	抓,姑,骨,股,瓜,故,苦,固,酷,鼓,雇,咕,库,古,枯,谷,哭,裤,顾,估
离	逆,黎,厉,梨,理,李,利,立,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
赫	喝,盒,合,何,贺,荷,呵,河,核,和
荆	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,竞,进,仅,睛,晶,紧,谨,今,径,斤
谨	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,竞,进,仅,睛,勤,晶,紧,今,径,斤
隧	髓,虽,税,碎,岁,睡,遂,随,水
诺	逻,螺,萝,络,落,裸,洛,罗
远	源,员,元,愿,原,渊,怨,圆,援,完,玩,冤,园,缘,袁,院
纲	杠,干,港,康,感,甘,肝,赶,敢,岗,刚,抗,杆,钢,炕
舟	奏,州,宙,昼,洲,舰,走,轴,皱,骤,航,周
叭	爸,拔,八,坝,吧,霸,罢,把,巴
瘾	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,急,阴,引,硬,营,稳,颖,婴,音,饮,银
崩	奔,笨,本
硬	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,阴,引,营,便,颖,婴,音,饮,更,银
伟	畏,慰,委,胃,惟,威,味,围,危,韦,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
罕	凡,含,范,杭,泛,犯,饭,寒,反,汉,航,贩,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
繁	凡,范,泛,犯,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
铃	淋,龄,冷,另,磷,邻,陵,灵,玲,凝,林,零,临,怜,领,令,凌,岭,宁
熙	晰,戏,袭,析,悉,稀,习,吸,希,席,西,嘻,锡,细,隙,夕,息,溪,牺,系,惜,洗,喜,媳
浑	辉,婚,魂,军,昏,挥,晕,混
诱	优,犹,秀,幽,游,透,由,又,悠,忧,有,绣,油,右,邮,幼,友,尤
搂	柔,楼,数,肉,漏
全	权,拳,圈,劝,泉,券
小	效,萧,硝,销,孝,消,笑,晓,校,肖
靠	高,搞,告,考,稿
奉	冯,风,疯,蜂,份,衡,恒,氛,锋,缝,捧,芬,峰,粉,封,凤,丰,粪,棒,横,奋,哼,逢,分,坟,纷,愤
维	准,畏,慰,委,胃,惟,威,味,围,危,伟,堆,住,推,未,为,位,伪,谓,尾,卫,纬,微,魏,喂,唯,违
