бам	бам	INTERJECTION
смигрируемое	смигрировать	PT:Real:TRANS:2PFV:STR:Neut:Nom
смигрируемого	смигрировать	PT:Real:TRANS:2PFV:STR:Neut:R
смигрируемому	смигрировать	PT:Real:TRANS:2PFV:STR:Neut:D
смигрируемое	смигрировать	PT:Real:TRANS:2PFV:STR:Neut:V
смигрируемым	смигрировать	PT:Real:TRANS:2PFV:STR:Neut:T
смигрируемом	смигрировать	PT:Real:TRANS:2PFV:STR:Neut:P
смигрируемо	смигрировать	PT_Short:Real:TRANS:2PFV:STR:Neut
смигрируемые	смигрировать	PT:Real:TRANS:2PFV:STR:PL:Nom
смигрируемых	смигрировать	PT:Real:TRANS:2PFV:STR:PL:R
смигрируемым	смигрировать	PT:Real:TRANS:2PFV:STR:PL:D
смигрируемых	смигрировать	PT:Real:TRANS:2PFV:STR:PL:V
смигрируемые	смигрировать	PT:Real:TRANS:2PFV:STR:PL:V
смигрируемыми	смигрировать	PT:Real:TRANS:2PFV:STR:PL:T
смигрируемых	смигрировать	PT:Real:TRANS:2PFV:STR:PL:P
смигрируемы	смигрировать	PT_Short:Real:TRANS:2PFV:STR:PL
смигрированный	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:Nom
смигрированного	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:R
смигрированному	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:D
смигрированного	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:V
смигрированный	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:V
смигрированным	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:T
смигрированном	смигрировать	PT:Past:TRANS:2PFV:STR:Masc:P
смигрирован	смигрировать	PT_Short:Past:TRANS:2PFV:STR:Masc
смигрированная	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:Nom
смигрированной	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:R
смигрированной	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:D
смигрированную	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:V
смигрированной	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:T
смигрированною	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:T
смигрированной	смигрировать	PT:Past:TRANS:2PFV:STR:Fem:P
смигрирована	смигрировать	PT_Short:Past:TRANS:2PFV:STR:Fem
смигрированное	смигрировать	PT:Past:TRANS:2PFV:STR:Neut:Nom
смигрированного	смигрировать	PT:Past:TRANS:2PFV:STR:Neut:R
смигрированному	смигрировать	PT:Past:TRANS:2PFV:STR:Neut:D
смигрированное	смигрировать	PT:Past:TRANS:2PFV:STR:Neut:V
смигрированным	смигрировать	PT:Past:TRANS:2PFV:STR:Neut:T
смигрированном	смигрировать	PT:Past:TRANS:2PFV:STR:Neut:P
смигрировано	смигрировать	PT_Short:Past:TRANS:2PFV:STR:Neut
смигрированные	смигрировать	PT:Past:TRANS:2PFV:STR:PL:Nom
смигрированных	смигрировать	PT:Past:TRANS:2PFV:STR:PL:R
смигрированным	смигрировать	PT:Past:TRANS:2PFV:STR:PL:D
смигрированных	смигрировать	PT:Past:TRANS:2PFV:STR:PL:V
смигрированные	смигрировать	PT:Past:TRANS:2PFV:STR:PL:V
смигрированными	смигрировать	PT:Past:TRANS:2PFV:STR:PL:T
смигрированных	смигрировать	PT:Past:TRANS:2PFV:STR:PL:P
смигрированы	смигрировать	PT_Short:Past:TRANS:2PFV:STR:PL
тонна-километр	тонна-километр	NN:Inanim:Masc:Sin:Nom
тонна-километра	тонна-километр	NN:Inanim:Masc:Sin:R
тонна-километру	тонна-километр	NN:Inanim:Masc:Sin:D
тонна-километр	тонна-километр	NN:Inanim:Masc:Sin:V
тонна-километром	тонна-километр	NN:Inanim:Masc:Sin:T
тонна-километре	тонна-километр	NN:Inanim:Masc:Sin:P
тонна-километры	тонна-километр	NN:Inanim:Masc:PL:Nom
тонна-километров	тонна-километр	NN:Inanim:Masc:PL:R
тонна-километрам	тонна-километр	NN:Inanim:Masc:PL:D
тонна-километры	тонна-километр	NN:Inanim:Masc:PL:V
тонна-километрами	тонна-километр	NN:Inanim:Masc:PL:T
тонна-километрах	тонна-километр	NN:Inanim:Masc:PL:P
фитнес-центр	фитнес-центр	NN:Inanim:Masc:Sin:Nom
фитнес-центра	фитнес-центр	NN:Inanim:Masc:Sin:R
фитнес-центру	фитнес-центр	NN:Inanim:Masc:Sin:D
фитнес-центр	фитнес-центр	NN:Inanim:Masc:Sin:V
фитнес-центром	фитнес-центр	NN:Inanim:Masc:Sin:T
фитнес-центре	фитнес-центр	NN:Inanim:Masc:Sin:P
фитнес-центры	фитнес-центр	NN:Inanim:Masc:PL:Nom
фитнес-центров	фитнес-центр	NN:Inanim:Masc:PL:R
фитнес-центрам	фитнес-центр	NN:Inanim:Masc:PL:D
фитнес-центры	фитнес-центр	NN:Inanim:Masc:PL:V
фитнес-центрами	фитнес-центр	NN:Inanim:Masc:PL:T
фитнес-центрах	фитнес-центр	NN:Inanim:Masc:PL:P
царьград	царьград	NN:Inanim:Masc:Sin:Nom
царьграда	царьград	NN:Inanim:Masc:Sin:R
царьграду	царьград	NN:Inanim:Masc:Sin:D
царьград	царьград	NN:Inanim:Masc:Sin:V
царьградом	царьград	NN:Inanim:Masc:Sin:T
царьграде	царьград	NN:Inanim:Masc:Sin:P
царьграды	царьград	NN:Inanim:Masc:PL:Nom
царьградов	царьград	NN:Inanim:Masc:PL:R
царьградам	царьград	NN:Inanim:Masc:PL:D
царьграды	царьград	NN:Inanim:Masc:PL:V
царьградами	царьград	NN:Inanim:Masc:PL:T
царьградах	царьград	NN:Inanim:Masc:PL:P
штрих-код	штрих-код	NN:Inanim:Masc:Sin:Nom
штрих-кода	штрих-код	NN:Inanim:Masc:Sin:R
штрих-коду	штрих-код	NN:Inanim:Masc:Sin:D
штрих-код	штрих-код	NN:Inanim:Masc:Sin:V
штрих-кодом	штрих-код	NN:Inanim:Masc:Sin:T
штрих-коде	штрих-код	NN:Inanim:Masc:Sin:P
штрих-коды	штрих-код	NN:Inanim:Masc:PL:Nom
штрих-кодов	штрих-код	NN:Inanim:Masc:PL:R
штрих-кодам	штрих-код	NN:Inanim:Masc:PL:D
штрих-коды	штрих-код	NN:Inanim:Masc:PL:V
штрих-кодами	штрих-код	NN:Inanim:Masc:PL:T
штрих-кодах	штрих-код	NN:Inanim:Masc:PL:P
автодополнение	автодополнение	NN:Inanim:Neut:Sin:Nom
автодополнение	автодополнение	NN:Inanim:Neut:Sin:V
автодополнением	автодополнение	NN:Inanim:Neut:Sin:T
автодополнении	автодополнение	NN:Inanim:Neut:Sin:P
автодополнений	автодополнение	NN:Inanim:Neut:PL:R
автодополнению	автодополнение	NN:Inanim:Neut:Sin:D
автодополнения	автодополнение	NN:Inanim:Neut:PL:Nom
автодополнения	автодополнение	NN:Inanim:Neut:PL:V
автодополнения	автодополнение	NN:Inanim:Neut:Sin:R
автодополнениям	автодополнение	NN:Inanim:Neut:PL:D
автодополнениями	автодополнение	NN:Inanim:Neut:PL:T
автодополнениях	автодополнение	NN:Inanim:Neut:PL:P
автодополненье	автодополнение	NN:Inanim:Neut:Sin:Nom
автодополненье	автодополнение	NN:Inanim:Neut:Sin:P
автодополненье	автодополнение	NN:Inanim:Neut:Sin:V
автодополненьем	автодополнение	NN:Inanim:Neut:Sin:T
автодополненью	автодополнение	NN:Inanim:Neut:Sin:D
автодополненья	автодополнение	NN:Inanim:Neut:PL:Nom
автодополненья	автодополнение	NN:Inanim:Neut:PL:V
автодополненья	автодополнение	NN:Inanim:Neut:Sin:R
автодополненьям	автодополнение	NN:Inanim:Neut:PL:D
автодополненьями	автодополнение	NN:Inanim:Neut:PL:T
автодополненьях	автодополнение	NN:Inanim:Neut:PL:P
автозаполнение	автозаполнение	NN:Inanim:Neut:Sin:Nom
автозаполнение	автозаполнение	NN:Inanim:Neut:Sin:V
автозаполнением	автозаполнение	NN:Inanim:Neut:Sin:T
автозаполнении	автозаполнение	NN:Inanim:Neut:Sin:P
автозаполнению	автозаполнение	NN:Inanim:Neut:Sin:D
автозаполнения	автозаполнение	NN:Inanim:Neut:Sin:R
автозаполненье	автозаполнение	NN:Inanim:Neut:Sin:Nom
автозаполненье	автозаполнение	NN:Inanim:Neut:Sin:P
автозаполненье	автозаполнение	NN:Inanim:Neut:Sin:V
автозаполненьем	автозаполнение	NN:Inanim:Neut:Sin:T
автозаполненью	автозаполнение	NN:Inanim:Neut:Sin:D
автозаполненья	автозаполнение	NN:Inanim:Neut:Sin:R
альфа-луча	альфа-луч	NN:Inanim:Masc:Sin:R
альфа-луч	альфа-луч	NN:Inanim:Masc:Sin:Nom
альфа-луч	альфа-луч	NN:Inanim:Masc:Sin:V
альфа-лучам	альфа-луч	NN:Inanim:Masc:PL:D
альфа-лучами	альфа-луч	NN:Inanim:Masc:PL:T
альфа-лучах	альфа-луч	NN:Inanim:Masc:PL:P
альфа-луче	альфа-луч	NN:Inanim:Masc:Sin:P
альфа-лучей	альфа-луч	NN:Inanim:Masc:PL:R
альфа-лучи	альфа-луч	NN:Inanim:Masc:PL:Nom
альфа-лучи	альфа-луч	NN:Inanim:Masc:PL:V
альфа-лучом	альфа-луч	NN:Inanim:Masc:Sin:T
альфа-лучу	альфа-луч	NN:Inanim:Masc:Sin:D
анелек	анелька	NN:Fam:PL:R
анелек	анелька	NN:Fam:PL:V
анелька	анелька	NN:Fam:Fem:Sin:Nom
анелька	анелька	NN:Fam:Masc:Sin:Nom
анелькам	анелька	NN:Fam:PL:D
анельками	анелька	NN:Fam:PL:T
анельках	анелька	NN:Fam:PL:P
анельке	анелька	NN:Fam:Fem:Sin:D
анельке	анелька	NN:Fam:Fem:Sin:P
анельке	анелька	NN:Fam:Masc:Sin:D
анельке	анелька	NN:Fam:Masc:Sin:P
анельки	анелька	NN:Fam:Fem:Sin:R
анельки	анелька	NN:Fam:Masc:Sin:R
анельки	анелька	NN:Fam:PL:Nom
анелькой	анелька	NN:Fam:Fem:Sin:T
анелькой	анелька	NN:Fam:Masc:Sin:T
анелькою	анелька	NN:Fam:Fem:Sin:T
анелькою	анелька	NN:Fam:Masc:Sin:T
анельку	анелька	NN:Fam:Fem:Sin:V
анельку	анелька	NN:Fam:Masc:Sin:V
антиперспиранта	антиперспирант	NN:Inanim:Masc:Sin:R
антиперспирантам	антиперспирант	NN:Inanim:Masc:PL:D
антиперспирантами	антиперспирант	NN:Inanim:Masc:PL:T
антиперспирант	антиперспирант	NN:Inanim:Masc:Sin:Nom
антиперспирант	антиперспирант	NN:Inanim:Masc:Sin:V
антиперспирантах	антиперспирант	NN:Inanim:Masc:PL:P
антиперспиранте	антиперспирант	NN:Inanim:Masc:Sin:P
антиперспирантов	антиперспирант	NN:Inanim:Masc:PL:R
антиперспирантом	антиперспирант	NN:Inanim:Masc:Sin:T
антиперспиранту	антиперспирант	NN:Inanim:Masc:Sin:D
антиперспиранты	антиперспирант	NN:Inanim:Masc:PL:Nom
антиперспиранты	антиперспирант	NN:Inanim:Masc:Sin:V
бета-луча	бета-луч	NN:Inanim:Masc:Sin:R
бета-лучам	бета-луч	NN:Inanim:Masc:PL:D
бета-лучами	бета-луч	NN:Inanim:Masc:PL:T
бета-лучах	бета-луч	NN:Inanim:Masc:PL:P
бета-луч	бета-луч	NN:Inanim:Masc:Sin:Nom
бета-луч	бета-луч	NN:Inanim:Masc:Sin:V
бета-луче	бета-луч	NN:Inanim:Masc:Sin:P
бета-лучей	бета-луч	NN:Inanim:Masc:PL:R
бета-лучи	бета-луч	NN:Inanim:Masc:PL:Nom
бета-лучи	бета-луч	NN:Inanim:Masc:PL:V
бета-лучом	бета-луч	NN:Inanim:Masc:Sin:T
бета-лучу	бета-луч	NN:Inanim:Masc:Sin:D
брендбука	брендбук	NN:Inanim:Masc:Sin:R
брендбукам	брендбук	NN:Inanim:Masc:PL:D
брендбуками	брендбук	NN:Inanim:Masc:PL:T
брендбуках	брендбук	NN:Inanim:Masc:PL:P
брендбук	брендбук	NN:Inanim:Masc:Sin:Nom
брендбук	брендбук	NN:Inanim:Masc:Sin:V
брендбуке	брендбук	NN:Inanim:Masc:Sin:P
брендбуки	брендбук	NN:Inanim:Masc:PL:Nom
брендбуки	брендбук	NN:Inanim:Masc:PL:V
брендбуков	брендбук	NN:Inanim:Masc:PL:R
брендбуком	брендбук	NN:Inanim:Masc:Sin:T
брендбуку	брендбук	NN:Inanim:Masc:Sin:D
видеолекцией	видеолекция	NN:Inanim:Fem:Sin:T
видеолекциею	видеолекция	NN:Inanim:Fem:Sin:T
видеолекции	видеолекция	NN:Inanim:Fem:PL:Nom
видеолекции	видеолекция	NN:Inanim:Fem:PL:V
видеолекции	видеолекция	NN:Inanim:Fem:Sin:D
видеолекции	видеолекция	NN:Inanim:Fem:Sin:P
видеолекции	видеолекция	NN:Inanim:Fem:Sin:R
видеолекций	видеолекция	NN:Inanim:Fem:PL:R
видеолекцию	видеолекция	NN:Inanim:Fem:Sin:V
видеолекция	видеолекция	NN:Inanim:Fem:Sin:Nom
видеолекциям	видеолекция	NN:Inanim:Fem:PL:D
видеолекциями	видеолекция	NN:Inanim:Fem:PL:T
видеолекциях	видеолекция	NN:Inanim:Fem:PL:P
википедией	википедия	NN:Inanim:Fem:Sin:T
википедиею	википедия	NN:Inanim:Fem:Sin:T
википедии	википедия	NN:Inanim:Fem:PL:Nom
википедии	википедия	NN:Inanim:Fem:PL:V
википедии	википедия	NN:Inanim:Fem:Sin:D
википедии	википедия	NN:Inanim:Fem:Sin:P
википедии	википедия	NN:Inanim:Fem:Sin:R
википедий	википедия	NN:Inanim:Fem:PL:R
википедию	википедия	NN:Inanim:Fem:Sin:V
википедия	википедия	NN:Inanim:Fem:Sin:Nom
википедиям	википедия	NN:Inanim:Fem:PL:D
википедиями	википедия	NN:Inanim:Fem:PL:T
википедиях	википедия	NN:Inanim:Fem:PL:P
гамма-луча	гамма-луч	NN:Inanim:Masc:Sin:R
гамма-лучам	гамма-луч	NN:Inanim:Masc:PL:D
гамма-лучами	гамма-луч	NN:Inanim:Masc:PL:T
гамма-лучах	гамма-луч	NN:Inanim:Masc:PL:P
гамма-луч	гамма-луч	NN:Inanim:Masc:Sin:Nom
гамма-луч	гамма-луч	NN:Inanim:Masc:Sin:V
гамма-луче	гамма-луч	NN:Inanim:Masc:Sin:P
гамма-лучей	гамма-луч	NN:Inanim:Masc:PL:R
гамма-лучи	гамма-луч	NN:Inanim:Masc:PL:Nom
гамма-лучи	гамма-луч	NN:Inanim:Masc:PL:V
гамма-лучом	гамма-луч	NN:Inanim:Masc:Sin:T
гамма-лучу	гамма-луч	NN:Inanim:Masc:Sin:D
геномика	геномика	NN:Inanim:Fem:Sin:Nom
геномике	геномика	NN:Inanim:Fem:Sin:D
геномике	геномика	NN:Inanim:Fem:Sin:P
геномики	геномика	NN:Inanim:Fem:Sin:R
геномикой	геномика	NN:Inanim:Fem:Sin:T
геномикою	геномика	NN:Inanim:Fem:Sin:T
геномику	геномика	NN:Inanim:Fem:Sin:V
год-полтора	год-полтора	Num:Masc:Nom
год-полтора	год-полтора	Num:Masc:V
госоргана	госорган	NN:Inanim:Masc:Sin:R
госорганам	госорган	NN:Inanim:Masc:PL:D
госорганами	госорган	NN:Inanim:Masc:PL:T
госорганах	госорган	NN:Inanim:Masc:PL:P
госорган	госорган	NN:Inanim:Masc:Sin:Nom
госорган	госорган	NN:Inanim:Masc:Sin:V
госоргане	госорган	NN:Inanim:Masc:Sin:P
госорганов	госорган	NN:Inanim:Masc:PL:R
госорганом	госорган	NN:Inanim:Masc:Sin:T
госоргану	госорган	NN:Inanim:Masc:Sin:D
госорганы	госорган	NN:Inanim:Masc:PL:Nom
госорганы	госорган	NN:Inanim:Masc:PL:V
искровская	искровский	ADJ:Posit:Fem:Nom
искровские	искровский	ADJ:Posit:PL:Nom
искровские	искровский	ADJ:Posit:PL:V
искровски	искровский	ADJ:Short:PL
искровский	искровский	ADJ:Posit:Masc:Nom
искровский	искровский	ADJ:Posit:Masc:V
искровскими	искровский	ADJ:Posit:PL:T
искровским	искровский	ADJ:Posit:Masc:T
искровским	искровский	ADJ:Posit:Neut:T
искровским	искровский	ADJ:Posit:PL:D
искровских	искровский	ADJ:Posit:PL:P
искровских	искровский	ADJ:Posit:PL:R
искровских	искровский	ADJ:Posit:PL:V
искровского	искровский	ADJ:Posit:Masc:R
искровского	искровский	ADJ:Posit:Masc:V
искровского	искровский	ADJ:Posit:Neut:R
искровское	искровский	ADJ:Posit:Neut:Nom
искровское	искровский	ADJ:Posit:Neut:V
искровской	искровский	ADJ:Posit:Fem:D
искровской	искровский	ADJ:Posit:Fem:P
искровской	искровский	ADJ:Posit:Fem:R
искровской	искровский	ADJ:Posit:Fem:T
искровском	искровский	ADJ:Posit:Masc:P
искровском	искровский	ADJ:Posit:Neut:P
искровскому	искровский	ADJ:Posit:Masc:D
искровскому	искровский	ADJ:Posit:Neut:D
искровскою	искровский	ADJ:Posit:Fem:T
искровскую	искровский	ADJ:Posit:Fem:V
кибермошенничества	кибермошенничество	NN:Inanim:Neut:PL:Nom
кибермошенничества	кибермошенничество	NN:Inanim:Neut:PL:V
кибермошенничества	кибермошенничество	NN:Inanim:Neut:Sin:R
кибермошенничествами	кибермошенничество	NN:Inanim:Neut:PL:T
кибермошенничествам	кибермошенничество	NN:Inanim:Neut:PL:D
кибермошенничествах	кибермошенничество	NN:Inanim:Neut:PL:P
кибермошенничестве	кибермошенничество	NN:Inanim:Neut:Sin:P
кибермошенничеств	кибермошенничество	NN:Inanim:Neut:PL:R
кибермошенничество	кибермошенничество	NN:Inanim:Neut:Sin:Nom
кибермошенничество	кибермошенничество	NN:Inanim:Neut:Sin:V
кибермошенничеством	кибермошенничество	NN:Inanim:Neut:Sin:T
кибермошенничеству	кибермошенничество	NN:Inanim:Neut:Sin:D
контрольно-приёмная	контрольно-приёмный	ADJ:Posit:Fem:Nom
контрольно-приёмного	контрольно-приёмный	ADJ:Posit:Masc:R
контрольно-приёмного	контрольно-приёмный	ADJ:Posit:Masc:V
контрольно-приёмного	контрольно-приёмный	ADJ:Posit:Neut:R
контрольно-приёмное	контрольно-приёмный	ADJ:Posit:Neut:Nom
контрольно-приёмное	контрольно-приёмный	ADJ:Posit:Neut:V
контрольно-приёмной	контрольно-приёмный	ADJ:Posit:Fem:D
контрольно-приёмной	контрольно-приёмный	ADJ:Posit:Fem:P
контрольно-приёмной	контрольно-приёмный	ADJ:Posit:Fem:R
контрольно-приёмной	контрольно-приёмный	ADJ:Posit:Fem:T
контрольно-приёмном	контрольно-приёмный	ADJ:Posit:Masc:P
контрольно-приёмном	контрольно-приёмный	ADJ:Posit:Neut:P
контрольно-приёмному	контрольно-приёмный	ADJ:Posit:Masc:D
контрольно-приёмному	контрольно-приёмный	ADJ:Posit:Neut:D
контрольно-приёмною	контрольно-приёмный	ADJ:Posit:Fem:T
контрольно-приёмную	контрольно-приёмный	ADJ:Posit:Fem:V
контрольно-приёмные	контрольно-приёмный	ADJ:Posit:PL:Nom
контрольно-приёмные	контрольно-приёмный	ADJ:Posit:PL:V
контрольно-приёмный	контрольно-приёмный	ADJ:Posit:Masc:Nom
контрольно-приёмный	контрольно-приёмный	ADJ:Posit:Masc:V
контрольно-приёмными	контрольно-приёмный	ADJ:Posit:PL:T
контрольно-приёмным	контрольно-приёмный	ADJ:Posit:Masc:T
контрольно-приёмным	контрольно-приёмный	ADJ:Posit:Neut:T
контрольно-приёмным	контрольно-приёмный	ADJ:Posit:PL:D
контрольно-приёмных	контрольно-приёмный	ADJ:Posit:PL:P
контрольно-приёмных	контрольно-приёмный	ADJ:Posit:PL:R
контрольно-приёмных	контрольно-приёмный	ADJ:Posit:PL:V
кудрово	кудрово	NN:Inanim:Neut
кабинка	кабинка	NN:Inanim:Fem:Sin:Nom
кабинки	кабинка	NN:Inanim:Fem:Sin:R
кабинке	кабинка	NN:Inanim:Fem:Sin:D
кабинку	кабинка	NN:Inanim:Fem:Sin:V
кабинкой	кабинка	NN:Inanim:Fem:Sin:T
кабинкою	кабинка	NN:Inanim:Fem:Sin:T
кабинке	кабинка	NN:Inanim:Fem:Sin:P
кабинки	кабинка	NN:Inanim:Fem:PL:Nom
кабинок	кабинка	NN:Inanim:Fem:PL:R
кабинкам	кабинка	NN:Inanim:Fem:PL:D
кабинки	кабинка	NN:Inanim:Fem:PL:V
кабинками	кабинка	NN:Inanim:Fem:PL:T
кабинках	кабинка	NN:Inanim:Fem:PL:P
мейсона	мейсон	NN:Name:Masc:Sin:R
мейсона	мейсон	NN:Name:Masc:Sin:V
лукаш	лукаш	NN:Fam:Masc:Sin:Nom
лукаша	лукаш	NN:Fam:Masc:Sin:R
лукашу	лукаш	NN:Fam:Masc:Sin:D
лукаша	лукаш	NN:Fam:Masc:Sin:V
лукашем	лукаш	NN:Fam:Masc:Sin:T
лукаше	лукаш	NN:Fam:Masc:Sin:P
лукаши	лукаш	NN:Fam:PL:Nom
лукашей	лукаш	NN:Fam:PL:R
лукашам	лукаш	NN:Fam:PL:D
лукашей	лукаш	NN:Fam:PL:V
лукашами	лукаш	NN:Fam:PL:T
лукашах	лукаш	NN:Fam:PL:P
лукаш	лукаш	NN:Fam:Fem:Sin:Nom
лукаш	лукаш	NN:Fam:Fem:Sin:R
лукаш	лукаш	NN:Fam:Fem:Sin:D
лукаш	лукаш	NN:Fam:Fem:Sin:V
лукаш	лукаш	NN:Fam:Fem:Sin:T
лукаш	лукаш	NN:Fam:Fem:Sin:P
мейсонами	мейсон	NN:Name:Masc:PL:T
мейсонам	мейсон	NN:Name:Masc:PL:D
мейсонах	мейсон	NN:Name:Masc:PL:P
мейсоне	мейсон	NN:Name:Masc:Sin:P
мейсон	мейсон	NN:Name:Masc:Sin:Nom
мейсонов	мейсон	NN:Name:Masc:PL:R
мейсонов	мейсон	NN:Name:Masc:PL:V
мейсоном	мейсон	NN:Name:Masc:Sin:T
мейсону	мейсон	NN:Name:Masc:Sin:D
мейсоны	мейсон	NN:Name:Masc:PL:Nom
микрообучение	микрообучение	NN:Inanim:Neut:Sin:Nom
микрообучение	микрообучение	NN:Inanim:Neut:Sin:V
микрообучением	микрообучение	NN:Inanim:Neut:Sin:T
микрообучении	микрообучение	NN:Inanim:Neut:Sin:P
микрообучений	микрообучение	NN:Inanim:Neut:PL:R
микрообучению	микрообучение	NN:Inanim:Neut:Sin:D
микрообучения	микрообучение	NN:Inanim:Neut:PL:Nom
микрообучения	микрообучение	NN:Inanim:Neut:PL:V
микрообучения	микрообучение	NN:Inanim:Neut:Sin:R
микрообучениями	микрообучение	NN:Inanim:Neut:PL:T
микрообучениям	микрообучение	NN:Inanim:Neut:PL:D
микрообучениях	микрообучение	NN:Inanim:Neut:PL:P
микрообученье	микрообучение	NN:Inanim:Neut:Sin:Nom
микрообученье	микрообучение	NN:Inanim:Neut:Sin:P
микрообученье	микрообучение	NN:Inanim:Neut:Sin:V
микрообученьем	микрообучение	NN:Inanim:Neut:Sin:T
микрообученью	микрообучение	NN:Inanim:Neut:Sin:D
микрообученья	микрообучение	NN:Inanim:Neut:PL:Nom
микрообученья	микрообучение	NN:Inanim:Neut:PL:V
микрообученья	микрообучение	NN:Inanim:Neut:Sin:R
микрообученьями	микрообучение	NN:Inanim:Neut:PL:T
микрообученьям	микрообучение	NN:Inanim:Neut:PL:D
микрообученьях	микрообучение	NN:Inanim:Neut:PL:P
минцифры	минцифры	ABR
мосолино	мосолино	NN:Inanim:Neut
неолимпийская	неолимпийский	ADJ:Posit:Fem:Nom
неолимпийские	неолимпийский	ADJ:Posit:PL:Nom
неолимпийские	неолимпийский	ADJ:Posit:PL:V
неолимпийский	неолимпийский	ADJ:Posit:Masc:Nom
неолимпийский	неолимпийский	ADJ:Posit:Masc:V
неолимпийскими	неолимпийский	ADJ:Posit:PL:T
неолимпийским	неолимпийский	ADJ:Posit:Masc:T
неолимпийским	неолимпийский	ADJ:Posit:Neut:T
неолимпийским	неолимпийский	ADJ:Posit:PL:D
неолимпийски	неолимпийский	ADJ:Short:PL
неолимпийских	неолимпийский	ADJ:Posit:PL:P
неолимпийских	неолимпийский	ADJ:Posit:PL:R
неолимпийских	неолимпийский	ADJ:Posit:PL:V
неолимпийского	неолимпийский	ADJ:Posit:Masc:R
неолимпийского	неолимпийский	ADJ:Posit:Masc:V
неолимпийского	неолимпийский	ADJ:Posit:Neut:R
неолимпийское	неолимпийский	ADJ:Posit:Neut:Nom
неолимпийское	неолимпийский	ADJ:Posit:Neut:V
неолимпийской	неолимпийский	ADJ:Posit:Fem:D
неолимпийской	неолимпийский	ADJ:Posit:Fem:P
неолимпийской	неолимпийский	ADJ:Posit:Fem:R
неолимпийской	неолимпийский	ADJ:Posit:Fem:T
неолимпийском	неолимпийский	ADJ:Posit:Masc:P
неолимпийском	неолимпийский	ADJ:Posit:Neut:P
неолимпийскому	неолимпийский	ADJ:Posit:Masc:D
неолимпийскому	неолимпийский	ADJ:Posit:Neut:D
неолимпийскою	неолимпийский	ADJ:Posit:Fem:T
неолимпийскую	неолимпийский	ADJ:Posit:Fem:V
озвучек	озвучка	NN:Inanim:Fem:PL:R
озвучками	озвучка	NN:Inanim:Fem:PL:T
озвучкам	озвучка	NN:Inanim:Fem:PL:D
озвучка	озвучка	NN:Inanim:Fem:Sin:Nom
озвучках	озвучка	NN:Inanim:Fem:PL:P
озвучке	озвучка	NN:Inanim:Fem:Sin:D
озвучке	озвучка	NN:Inanim:Fem:Sin:P
озвучки	озвучка	NN:Inanim:Fem:PL:Nom
озвучки	озвучка	NN:Inanim:Fem:PL:V
озвучки	озвучка	NN:Inanim:Fem:Sin:R
озвучкой	озвучка	NN:Inanim:Fem:Sin:T
озвучкою	озвучка	NN:Inanim:Fem:Sin:T
озвучку	озвучка	NN:Inanim:Fem:Sin:V
подкатегорией	подкатегория	NN:Inanim:Fem:Sin:T
подкатегориею	подкатегория	NN:Inanim:Fem:Sin:T
подкатегории	подкатегория	NN:Inanim:Fem:PL:Nom
подкатегории	подкатегория	NN:Inanim:Fem:PL:V
подкатегории	подкатегория	NN:Inanim:Fem:Sin:D
подкатегории	подкатегория	NN:Inanim:Fem:Sin:P
подкатегории	подкатегория	NN:Inanim:Fem:Sin:R
подкатегорий	подкатегория	NN:Inanim:Fem:PL:R
подкатегорию	подкатегория	NN:Inanim:Fem:Sin:V
подкатегориями	подкатегория	NN:Inanim:Fem:PL:T
подкатегориям	подкатегория	NN:Inanim:Fem:PL:D
подкатегория	подкатегория	NN:Inanim:Fem:Sin:Nom
подкатегориях	подкатегория	NN:Inanim:Fem:PL:P
поребриками	поребрик	NN:Inanim:Masc:PL:T
поребрикам	поребрик	NN:Inanim:Masc:PL:D
поребрика	поребрик	NN:Inanim:Masc:Sin:R
поребриках	поребрик	NN:Inanim:Masc:PL:P
поребрике	поребрик	NN:Inanim:Masc:Sin:P
поребрики	поребрик	NN:Inanim:Masc:PL:Nom
поребрики	поребрик	NN:Inanim:Masc:Sin:V
поребриков	поребрик	NN:Inanim:Masc:PL:R
поребриком	поребрик	NN:Inanim:Masc:Sin:T
поребрик	поребрик	NN:Inanim:Masc:Sin:Nom
поребрик	поребрик	NN:Inanim:Masc:Sin:V
поребрику	поребрик	NN:Inanim:Masc:Sin:D
приёмно-контрольная	приёмно-контрольный	ADJ:Posit:Fem:Nom
приёмно-контрольного	приёмно-контрольный	ADJ:Posit:Masc:R
приёмно-контрольного	приёмно-контрольный	ADJ:Posit:Masc:V
приёмно-контрольного	приёмно-контрольный	ADJ:Posit:Neut:R
приёмно-контрольное	приёмно-контрольный	ADJ:Posit:Neut:Nom
приёмно-контрольное	приёмно-контрольный	ADJ:Posit:Neut:V
