# Similar words: verb without accent, noun/adjective with accent; POS tag of the noun/adjective. 
# Used by AccentuationCheckRule.
# This file must be encoded in UTF-8.
#alfeizar;alféizar;NCMS000
#amago;ámago;NCMS000
#asaros;ásaros;NCMP000
#barbaros;bárbaros;NCMP000
#cantaros;cántaros;NCMP000
#capo;capó;NCMS000
#cataros;cátaros;NCMP000
#cesar;césar;NCMS000
#como;cómo;NCMS000
#dolar;dólar;NCMS000
#gallaros;gállaros;NCMP000
#haber;háber;NCMS000
#lazaros;lázaros;NCMP000
#limite;límite;AQ0CN0
#papa;papá;NCMS000
#paparos;páparos;NCMP000
#papas;papás;NCMP000
#para;pará;NCMS000
#paras;parás;NCMP000
#picaros;pícaros;NCMP000
#pulsar;púlsar;NCMS000
#revolver;revólver;NCMS000
#supera;súpera;AQ0FS0
#superas;súperas;AQ0FP0
#supero;súpero;AQ0MS0
#tender;ténder;NCMS000
fraccionaria;fraccionaría;VMIC1S0
fraccionaria;fraccionaría;VMIC3S0
fraccionarias;fraccionarías;VMIC2S0
fragmentaria;fragmentaría;VMIC1S0
fragmentaria;fragmentaría;VMIC3S0
fragmentarias;fragmentarías;VMIC2S0
fundaria;fundaría;VMIC1S0
fundaria;fundaría;VMIC3S0
fundarias;fundarías;VMIC2S0
hacendaria;hacendaría;VMIC1S0
hacendaria;hacendaría;VMIC3S0
hacendarias;hacendarías;VMIC2S0
herbaria;herbaría;VMIC1S0
herbaria;herbaría;VMIC3S0
herbarias;herbarías;VMIC2S0
herniaria;herniaría;VMIC1S0
herniaria;herniaría;VMIC3S0
herniarias;herniarías;VMIC2S0
hipotecaria;hipotecaría;VMIC1S0
hipotecaria;hipotecaría;VMIC3S0
hipotecarias;hipotecarías;VMIC2S0
honoraria;honoraría;VMIC1S0
honoraria;honoraría;VMIC3S0
honorarias;honorarías;VMIC2S0
imaginaria;imaginaría;VMIC1S0
imaginaria;imaginaría;VMIC3S0
imaginarias;imaginarías;VMIC2S0
indiciaria;indiciaría;VMIC1S0
indiciaria;indiciaría;VMIC3S0
indiciarias;indiciarías;VMIC2S0
itineraria;itineraría;VMIC1S0
itineraria;itineraría;VMIC3S0
itinerarias;itinerarías;VMIC2S0
lactaria;lactaría;VMIC1S0
lactaria;lactaría;VMIC3S0
lactarias;lactarías;VMIC2S0
lapidaria;lapidaría;VMIC1S0
lapidaria;lapidaría;VMIC3S0
lapidarias;lapidarías;VMIC2S0
mamaria;mamaría;VMIC1S0
mamaria;mamaría;VMIC3S0
mamarias;mamarías;VMIC2S0
olearia;olearía;VMIC1S0
olearia;olearía;VMIC3S0
olearias;olearías;VMIC2S0
orbitaria;orbitaría;VMIC1S0
orbitaria;orbitaría;VMIC3S0
orbitarias;orbitarías;VMIC2S0
originaria;originaría;VMIC1S0
originaria;originaría;VMIC3S0
originarias;originarías;VMIC2S0
palmaria;palmaría;VMIC1S0
palmaria;palmaría;VMIC3S0
palmarias;palmarías;VMIC2S0
parcelaria;parcelaría;VMIC1S0
parcelaria;parcelaría;VMIC3S0
parcelarias;parcelarías;VMIC2S0
penitenciaria;penitenciaría;VMIC1S0
penitenciaria;penitenciaría;VMIC3S0
penitenciarias;penitenciarías;VMIC2S0
pigmentaria;pigmentaría;VMIC1S0
pigmentaria;pigmentaría;VMIC3S0
pigmentarias;pigmentarías;VMIC2S0
prendaria;prendaría;VMIC1S0
prendaria;prendaría;VMIC3S0
prendarias;prendarías;VMIC2S0
presupuestaria;presupuestaría;VMIC1S0
presupuestaria;presupuestaría;VMIC3S0
presupuestarias;presupuestarías;VMIC2S0
primaria;primaría;VMIC1S0
primaria;primaría;VMIC3S0
primarias;primarías;VMIC2S0
protocolaria;protocolaría;VMIC1S0
protocolaria;protocolaría;VMIC3S0
protocolarias;protocolarías;VMIC2S0
refractaria;refractaría;VMIC1S0
refractaria;refractaría;VMIC3S0
refractarias;refractarías;VMIC2S0
reglamentaria;reglamentaría;VMIC1S0
reglamentaria;reglamentaría;VMIC3S0
reglamentarias;reglamentarías;VMIC2S0
sacramentaria;sacramentaría;VMIC1S0
sacramentaria;sacramentaría;VMIC3S0
sacramentarias;sacramentarías;VMIC2S0
secuestraria;secuestraría;VMIC1S0
secuestraria;secuestraría;VMIC3S0
secuestrarias;secuestrarías;VMIC2S0
secundaria;secundaría;VMIC1S0
secundaria;secundaría;VMIC3S0
secundarias;secundarías;VMIC2S0
sedimentaria;sedimentaría;VMIC1S0
sedimentaria;sedimentaría;VMIC3S0
sedimentarias;sedimentarías;VMIC2S0
segmentaria;segmentaría;VMIC1S0
segmentaria;segmentaría;VMIC3S0
segmentarias;segmentarías;VMIC2S0
segundaria;segundaría;VMIC1S0
segundaria;segundaría;VMIC3S0
segundarias;segundarías;VMIC2S0
seria;sería;VSIC1S0
seria;sería;VSIC3S0
serias;serías;VSIC2S0
silenciaria;silenciaría;VMIC1S0
silenciaria;silenciaría;VMIC3S0
silenciarias;silenciarías;VMIC2S0
solidaria;solidaría;VMIC1S0
solidaria;solidaría;VMIC3S0
solidarias;solidarías;VMIC2S0
subsidiaria;subsidiaría;VMIC1S0
subsidiaria;subsidiaría;VMIC3S0
subsidiarias;subsidiarías;VMIC2S0
sumaria;sumaría;VMIC1S0
sumaria;sumaría;VMIC3S0
sumarias;sumarías;VMIC2S0
suplementaria;suplementaría;VMIC1S0
suplementaria;suplementaría;VMIC3S0
suplementarias;suplementarías;VMIC2S0
tarifaria;tarifaría;VMIC1S0
tarifaria;tarifaría;VMIC3S0
tarifarias;tarifarías;VMIC2S0
terciaria;terciaría;VMIC1S0
terciaria;terciaría;VMIC3S0
terciarias;terciarías;VMIC2S0
tocaria;tocaría;VMIC1S0
tocaria;tocaría;VMIC3S0
tocarias;tocarías;VMIC2S0
tributaria;tributaría;VMIC1S0
tributaria;tributaría;VMIC3S0
tributarias;tributarías;VMIC2S0
tumultuaria;tumultuaría;VMIC1S0
tumultuaria;tumultuaría;VMIC3S0
tumultuarias;tumultuarías;VMIC2S0
vulneraria;vulneraría;VMIC1S0
vulneraria;vulneraría;VMIC3S0
vulnerarias;vulnerarías;VMIC2S0
aliaria;aliaría;VMIC1S0
aliaria;aliaría;VMIC3S0
convivio;convivió;VMIS3S0
desplego;desplegó;VMIS3S0
heria;hería;VMII1S0
heria;hería;VMII3S0
prometio;prometió;VMIS3S0
rodo;rodó;VMIS3S0
rogo;rogó;VMIS3S0
troco;trocó;VMIS3S0
yacio;yació;VMIS3S0
pario;parió;VMIS3S0
pedia;pedía;VMII3S0
servia;servía;VMII3S0
confeso;confesó;VMIS3S0
compaña;acompaña;VMIS3S0
compaño;acompaño;VMIS1S0
ralla;raya;NCFS000
rallas;rayas;NCFP000
ada;hada;NCFS000
adas;hadas;NCFP000
echo;hecho;NCMS000
cuidad;ciudad;NCFS000
andes;Andes;NPMPG00
parís;París;NPCSG00
charles;Charles;NPMSSP0
expensa;expensas;NCFP000
envió;envío;NCMS000
decilas;deciles;NCMP000
decila;decil;NCMS000
atino;tino;NCMS000
arrollo;arroyo;NCMS000
cumplimento;cumplimiento;NCMS000
cede;sede;NCFS000
cedes;sedes;NCFP000
cede;cedé;NCMS000
cedes;cedés;NCMP000
grafico;gráfico;NCMS000
grafica;gráfica;NCFS000
graficas;gráficas;NCFP000
dire;diré;VMIF1S0
salio;salió;VMIS3S0
salvo;salvó;VMIS3S0
legitimad;legitimidad;NCFS000
cache;caché;NCCS000
parasito;parásito;NCMS000
parasita;parásita;AQ0FS0
perimetro;perímetro;NCMS000
digito;dígito;NCMS000
autodiagnostico;autodiagnostico;NCMS000
optimo;óptimo;AQ0MS0
optima;óptima;AQ0FS0
optimas;óptimas;AQ0FP0
píe;pie;NCMS000
