النمط	المستبدل	ملاحظة1	الخطأ	الصحيح		
رُفاة	رُفاتُ	(رفات) اسمٌ مفردٌ مذَّكر	نـُقِلَتْ رُفاة الجندي	نـُقِلَ رُفاتُ الجندي		
رَفاهُ العيش|رَفَاهِيَّةُ العيش 	رفاهِيَةُ العيش		رَفاهُ / رَفَاهِيَّةُ العيش 	رفاهِيَةُ العيش		
بالرَّفاهِ والبنين	بالرِّفاء والبنين		بالرَّفاهِ والبنين	بالرِّفاء والبنين		
يُرَوِّجُ ل	يُرَوِّجُ		جعل فلانٌ يُرَوِّجُ لأفكاره	جعل فلانٌ يُرَوِّجُ أفكارَه		
تَتَرَاوَحُ أعمارُهم من 	تقع أعمارُهم بين		تَتَرَاوَحُ أعمارُهم من السابعة إلى العاشرة	تقع أعمارُهم بين السابعة والعاشرة		
أحداثٌ مُريعة	أحداثٌ مُرَوِّعة		أحداثٌ مُريعة	أحداثٌ مُرَوِّعة		
تَرُوقُ ل	تَرُوقُ	الفعل (راق) يتعدى بنفسه	كُـتُبٌ تَرُوقُ للقارئ	كُتُبٌ تَرُوقُ القارئَ		
أرضٌ مَرْوِيَّةٌ	أرضٌ مُرْواةٌ |أرض مُرَوَّاةٌ		أرضٌ مَرْوِيَّةٌ	أرضٌ مُرْواةٌ / مُرَوَّاةٌ		
ارْتابَ من	ارْتابَ في		ارْتابَ من الأمرِ	ارْتابَ في الأمرِ		
زَحَفَ على	زَحَفَ إلى	وتقول: (الصبيُّ يَزحفُ على الأرض)، للإشارة إلى المكان الذي جرى الزحف فوقه 	زَحَفَ الجيشُ على المدينة	زَحَفَ الجيشُ إلى المدينة		
زَخَّةٌ من المطر	دُفْعَةٌ من المطر	ليس من معاني (الزخـّة) الدُّفعة	زَخَّةٌ من المطر	دُفْعَةٌ من المطر		
ازْدَرَى ب	ازْدَرَى		ازْدَرَى بالشيء	ازْدَرَى الشيءَ		
الزَّعْتَر	السَّعْتَر | الصَّعْتَر		يُحبّ الزَّعْتَر	يُحبّ السَّعْتَر / الصَّعْتَر		
زعم بـأن	زعم أن		زعم بـأنه صادق	زعم أنه صادق		
زُفَّتْ العروسُ على زوجها	زُفَّتْ العروسُ إلى زوجها		زُفَّتْ العروسُ على زوجها	زُفَّتْ العروسُ إلى زوجها		
زفافِ العروسين	زواجِ العروسين	(الزفاف): إهداء العروس إلى زوجها	تهنئةٌ بزفافِ العروسين	تهنئةٌ بزواجِ العروسين		
زَهِدَ ب	زَهِدَ في		زَهِدَ بالشيء 	زَهِدَ في الشيء		
بلدٌ مُزَار	بلدٌ مَزُور	الفعل هو: (زار)، لا: (أزار)	هذا بلدٌ مُزَار	هذا بلدٌ مَزُور		
السبعينات	السبعينيات	(سبعينات) جمعُ (سبعين)، أما (سبعينيات) فتعني السنوات المنسوبة إلى السبعين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة سبعين وينتهي بسنة تسع وسبعين	في السبعينات من القرن الماضي	في السبعينيات من القرن الماضي		
مُسْبَقاً	سابقاً | سَلَفاً | قَبْلاً|مُقدّمًا 	(أسبَقَ إلى الأمر): بادر، وهو فعل لازم يتعدى بـ (إلى)	فَعَلَ ذلك مُسْبَقاً	فَعَلَ ذلك سابقاً / سَلَفاً / قَبْلاً 		
#مسبقاً 	مقدَّماً		لا ترتجلْ محاضرتك! حضِّرها مسبقاً 	لا ترتجلْ محاضرتك! حضِّرها مقدَّماً		
سبق وذكرنا	سبق أن ذكرنا		سبق وذكرنا...	سبق أن ذكرنا...		
الستينات	الستينيات	(ستينات) جمعُ (ستين)، أما (ستينيات) فتعني السنوات المنسوبة إلى الستين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة ستين وينتهي بسنة تسع وستين	في الستينات من القرن الماضي	في الستينيات من القرن الماضي		
تستَّرَ على	سَتَرَ على 	(تستَّرَ): احتجب	تستَّرَ فلانٌ على فلان 	سَتَرَ فلانٌ على فلان		
سَحَبَ شكوى	اسْتَرَدَّ شكوى	(سحب الشيءَ): جَرَّهُ على وجه الأرض	سَحَبَ شكواه	اسْتَرَدَّ شكواه 		
أُطْلِقَ سراح| فُكَّ سَراحُ	أُطْلِقَ من أَسْرِهِ/ خٌلِّيَ سبيلُ		أُطْلِقَ / فُكَّ سَراحُهُ	أُطْلِقَ من أَسْرِهِ/ خٌلِّيَ سبيلُهُ		
سَرَّعَ العملَ 	أسرَعَ العملَ		سَرَّعَ العملَ 	أسرَعَ العملَ		
يَسْرِي الحُكْمُ من 	يَنْفُذُ الحُكْمُ من	(سرى): سار ليلاً، دبّ تحت الأرض	يَسْرِي الحُكْمُ من أول الشهر	يَنْفُذُ الحُكْمُ من أول الشهر		
أَسْطِحَة 	سُطُوح | أسْطُح		أَسْطِحَة 	سُطُوح / أسْطُح		
أسْعَفَهُ إلى المستشفى	حَمَلَهُ إلى المستشفى	(أسعَفَ فلاناً بحاجته): قضاها له	أسْعَفَهُ إلى المستشفى	حَمَلَهُ إلى المستشفى		
كيلو واط ساعي	كيلو واط ساعة		كيلو واط ساعي	كيلو واط ساعة		
أَسْقِفَة 	سُقُوف | أسْقُف| سُقُف		أَسْقِفَة 	سُقُوف / أسْقُف / سُقُف		
اسْتَلَمَ الرسالةَ	تَسَلَّمَ الرسالةَ	(الاستلام) خاص بالحجر الأسود	اسْتَلَمَ الرسالةَ	تَسَلَّمَ الرسالةَ		
سلّمتُه الرسالةَ	سلّمتُ إليه الرسالةَ	(سلّم) يتعدى إلى مفعول لا إلى مفعولين	سلّمتُه الرسالةَ	سلّمتُ إليه الرسالةَ		
شريعةٌ سَمْحَاء 	شريعةٌ سَمْحَةٌ	(سمحاء) مؤنث (أَسْمَح)، لم تقلهما العرب	شريعةٌ سَمْحَاء 	شريعةٌ سَمْحَةٌ		
اسْتَنـَدَ على	استند إلى		اسْتَنـَدَ على الشيء 	استند إلى الشيء		
أَسْيَادُ القوم	سَادَةُ القوم		هم أَسْيَادُ القوم	هم سَادَةُ القوم		
سَادَ على	سَادَ	الفعل (ساد) يتعدى بنفسه	سَادَ على قومِه	سَادَ قومَه		
سوف لن |سوف لا	لن |لا	(سوفَ) لا تدخل إلا على الفعل المُثـْبـَت	سوف لن يذهب / سوف لا يذهب	لن يذهب 		
سِواقةُ السيارات	سياقةُ السيارات		سِواقةُ السيارات	سياقةُ السيارات		
سوى ب	بسوى		لا تستعن سوى بالله 	لا تستعن بسوى الله 		
سوى على	على سوى	(سوى) و(غير) تضافان إلى الاسم. ويعرب الاسم بعدهما مضافاً إليه دائماً، ويكون مفرداً؛ أي: ليس جملة ولا شبهها	لم أحصل سوى على كتاب واحد	لم أحصل على سوى كتاب واحد		
سوى أنا |سوى نحن	سواي| سوانا		لم يحضر سوى أنا / نحن	لم يحضر سواي / سوانا		
سويَّةً عالية	مرتبةً عالية| درجةً عالية		بلغ الإنتاجُ سويَّةً عالية	بلغ الإنتاجُ مرتبةً / درجةً عالية		
سويّة الطلاب	مستوى الطلاب		يجب رفع سويّة الطلاب	يجب رفع مستوى الطلاب		
سيّما	لا سيّما		سأحقِّقُ ما تريد سيّما..	سأحقِّقُ ما تريد ولا سيّما../سأحقِّقُ ما تريد لا سيّما..		
السُّوَّاح 	السُّيَّاح	سَاحَ يَسِيحُ، لا: يَسُوح	السُّوَّاح 	السُّيَّاح		
مَشْبُوهٌ | مَشْبُوهٌ فيه	مُشْتَبَهٌ فيه		فلانٌ مَشْبُوهٌ / مَشْبُوهٌ فيه	فلان مُشْتَبَهٌ فيه		
شُحِنـَتِ البضاعةُ إلى السفينة	حُمِلَتْ البضاعةُ إلى السفينة| نُقِلَتْ البضاعةُ إلى السفينة	(شُحِنت السفينةُ بالبضاعة): مُلِئت بالبضاعة	شُحِنـَتِ البضاعةُ إلى السفينة	حُمِلَتْ / نُقِلَتْ البضاعةُ إلى السفينة		
نـَظَرَ إليه شَذْراً	نـَظَرَ إليه شَزْراً	(الشـَّذْر): صغار اللؤلؤ، واحدته: شـَذْرَة	نـَظَرَ إليه شَذْراً	نـَظَرَ إليه شَزْراً		
شَرَعَ ب	شرع في		شَرَعَ بالأمر 	شرع في الأمر		
شـَارَفَ على الانتهاءِ	شـَارَفَ الانتهاءَ|أَشـْرَفَ على الانتهاء	(شارف) فعلٌ متعدٍّ بنفسه	شـَارَفَ على الانتهاءِ	شـَارَفَ الانتهاءَ/أَشـْرَفَ على الانتهاء		
المشرف اللغوي ل	المشرف اللغوي على		المشرف اللغوي للبرنامج	المشرف اللغوي على البرنامج		
شـَارَكَهُ 	شـَارَكَهُ في	(شارك) فعلٌ متعدٍّ إلى مفعول واحد	شـَارَكَهُ العملَ	شـَارَكَهُ في العملِ		
كثير الشـَّرَاهَةِ	كثير الشـَّرَه		فلانٌ كثير الشـَّرَاهَةِ إلى الطعام 	فلانٌ كثير الشـَّرَه إلى الطعام 		
شـَعَّتِ الشمسُ	أَشـَعَّتِ الشمسُ	(شعَّ): تفرَّق وانتشر	شـَعَّتِ الشمسُ	أَشـَعَّتِ الشمسُ		
شـَفُوقٌ على	شـَفِيقٌ على		فلانٌ شـَفُوقٌ على ابنه	فلانٌ شـَفِيقٌ على ابنه		
شـَكَّ ب	شـَكَّ في		شـَكَّ بأمانتِه 	شـَكَّ في أمانته 		
بشكل أو بآخر	بأي وسيلة		لا بدّ من إصلاح الأمر بشكل أو بآخر	لا بدّ من إصلاح الأمر بأي وسيلة		
يُشـَكِّل		(شـَكَّل): صَوَّرَ، وألَّفَ، وقَـيَّـدَ	الفدائيون يُشـَكِّلون خطراً عليهم	الفدائيون خطرٌ عليهم		
تشكّل	هي		هذه القواعد تشكّل محور البحث	هذه القواعد هي محور البحث		
تشكل			وهي في الحالتين تشكِّل أدوات هامة	وهي في الحالتين أدواتٌ هامة		
تشكِّل هذه	تُعدُّ هذه 		تشكِّل هذه الطريقة إنجازاً ...	تُعدُّ هذه الطريقة إنجازاً ...		
يَشتمل	يَشتمل على	(اشتمل) فعلٌ لازم	يَشتمل الكلامُ كذا وكذا	يَشتمل الكلامُ على كذا وكذا		
حديثٌ شـَيِّقٌ 	حديثٌ شـَائِقٌ|حديث مُشـَوِّق	(الشَّـيِّقُ): المشتاق	حديثٌ شـَيِّقٌ 	حديثٌ شـَائِقٌ / مُشـَوِّق		
شـَوْياً	شـَـيًّا	تُقْلَبُ الواوُ في مصدر اللفيف المقرون ياءً، وتُدْغَمُ في الياءِ التي تليها	شَوَى اللحمَ شـَوْياً	شـَوَى اللحمَ شـَـيًّا		
صالة البيع	ردهة البيع		صالة البيع	ردهة البيع		
الصالون	البَهو		استقبل الضيوف في الصالون	استقبل الضيوف في البَهو		
صباحاً مساءً	صباحَ مساءَ|صباحاً ومساءً		يزور صديقه صباحاً مساءً	يزور صديقه صباحَ مساءَ/ يزور صديقه صباحاً ومساءً		
وجْهٌ صَبُوحٌ 	وجْهٌ صَبـِيحٌ	(الصَّبُوح): ما يشرب أو يؤكل في الصباح، ويقابله (الغَبُوق) في المساء	وجْهٌ صَبُوحٌ 	وجْهٌ صَبـِيحٌ		
أَصْحَبَ ب	أَصْحَبَ	(أصحب) يتعدّى بنفسه إلى مفعولين	أَصْحَبَنِي برسالةٍ	أَصْحَبَنِي رسالةً		
في صَدَدِ	بصَدَدِ		فلانٌ في صَدَدِ كذا 	فلانٌ بصَدَدِ كذا		
صدر الحكم بحق	صدر الحكم على	(إذا كان في غير مصلحته)	صدر الحكم بحق فلان	صدر الحكم على فلان		
صدر الحكم بحق	صدر الحكم ل	 (إذا كان في مصلحته)	صدر الحكم بحق فلان	صدر الحكم لفلان		
صادق المجلسُ على القرار	صدّق | أقرّ | أجاز المجلسُ القرارَ		صادق المجلسُ على القرار	صدّق / أقرّ / أجاز المجلسُ القرارَ		
صدّق المجلسُ على القرار	صدّق المجلسُ القرارَ		صدّق المجلسُ على القرار	صدّق المجلسُ القرارَ		
تَصْرِيحٌ بالدخول	إذْنٌ بالدخول	(التصريح): ضد التعريض	تَصْرِيحٌ بالدخول	إذْنٌ بالدخول		
على جميع الأصْعِدَة	على جميع الصُّعُد		على جميع الأصْعِدَة	على جميع الصُّعُد		
أَصْغَى ل	أَصْغَى إلى		أَصْغَى لحديثِه 	أَصْغَى إلى حديثِه		
صَفَارُ اللون	صُفْرَةُ اللون		صَفَارُ اللون	صُفْرَةُ اللون		
صَفَارَ البيضةِ	مُحَّ البيضةِ		أكَلَ صَفَارَ البيضةِ وترَكَ بَيَاضَها	أكَلَ مُحَّ البيضةِ وترَكَ آحَها		
بَيَاضَ البيض	آح البيض		أكَلَ صَفَارَ البيضةِ وترَكَ بَيَاضَها	أكَلَ مُحَّ البيضةِ وترَكَ آحَها		
لِصَالِحِه	لِمَصْلَحَتِه		فَعَلَ ذلك لِصَالِحِه	فَعَلَ ذلك لِمَصْلَحَتِه		
صَلَّحَ أخطاءَ	صَحَّحَ أخطاءَ		صَلَّحَ أخطاءَ الكتاب	صَحَّحَ أخطاءَ الكتاب		
صَلَّحَ السيَّارةَ	أَصْلَحَ السيارةَ		صَلَّحَ السيَّارةَ	أَصْلَحَ السيارةَ		
تَصَامَمَ عن الحديث	تَصَامَّ عن الحديث	يلازم الفعلُ المضعَّفُ الإدغامَ ما لم يتصلْ بضميرِ رفعٍ متحرِّك، نحو: تَصَامَمْتُ	تَصَامَمَ عن الحديث	تَصَامَّ عن الحديث		
أجهزة التَّصَنـُّت	أجهزة التَّنـَصُّت		أجهزة التَّصَنـُّت	أجهزة التَّنـَصُّت		
حِلْيَةٌ مُصَاغَةٌ	حليةٌ مَصُوغَةٌ	الفعل هو: (صاغ)، لا: (أصاغ)	حِلْيَةٌ مُصَاغَةٌ	حليةٌ مَصُوغَةٌ		
فتاةٌ مَصُون 	فتاةٌ مَصُونـَةٌ	(مصون) على وزن (مفعول)، لا على وزن (فَعُول)	فتاةٌ مَصُون 	فتاةٌ مَصُونـَةٌ		
سِرٌّ مُصَانٌ 	سِرٌّ مَصُونٌ	الفعل هو: (صان)، لا: (أصان)	سِرٌّ مُصَانٌ 	سِرٌّ مَصُونٌ		
صِيوانُ الأذنِ	صِوَانُ الأذنِ		صِيوانُ الأذنِ	صِوَانُ الأذنِ		
ضَبْعٌ مفترسٌ	ضَبُعٌ مفترسة	(الضبع) اسمٌ مؤنث	ضَبْعٌ مفترسٌ	ضَبُعٌ مفترسة		
يناضلُ ضدَّ الاستعمار	يُناضِلُ الاستعمارَ		يناضلُ ضدَّ الاستعمار	يُناضِلُ الاستعمارَ		
مناعة ضدّ	مناعة من		مناعة ضدّ المرض	مناعة من المرض		
تأمين ضدّ	تأمين من		تأمين ضدّ جميع الأخطار	تأمين من جميع الأخطار		
ضدّ الصدمات	تتحمل الصدمات|لا تتأثر بالصدمات		ساعة ضدّ الصدمات	ساعة تتحمل الصدمات/ ساعة لا تتأثر بالصدمات		
ضَرَبَهُ بالأرضِ 	ضَرَبَ بهِ الأرضَ	الأرضُ لا تُحملُ ليُضْرَبَ بها	ضَرَبَهُ بالأرضِ 	ضَرَبَ بهِ الأرضَ		
اضْطَرَدَ الأمرُ	اطَّرَدَ الأمرُ	الفعل هو: (طرد)، لا: (ضرد)	اضْطَرَدَ الأمرُ	اطَّرَدَ الأمرُ		
اضْطُرَّ ل |اضطر على	اضْطُرَّ إلى		اضْطُرَّ للسفر / على السفر	اضْطُرَّ إلى السفر		
مُتَضَلِّعٌ في	مُتَضَلِّعٌ من		مُتَضَلِّعٌ في اللغة	مُتَضَلِّعٌ من اللغة		
بالإضافة إلى ذلك	إضافة إلى ذلك|زيادة على ذلك|فضلاً على ذلك		بالإضافة إلى ذلك، يمكن أن نفعل...	إضافة إلى ذلك، يمكن أن نفعل...		
#بالإضافة إلى ذلك	زيادة على ذلك		بالإضافة إلى ذلك، يمكن أن نفعل...	زيادة على ذلك، يمكن أن نفعل...		
#بالإضافة إلى ذلك	فضلاً على ذلك		بالإضافة إلى ذلك، يمكن أن نفعل...	فضلاً على ذلك، يمكن أن نفعل...		
طالَب	طالَبتُه ب		طالَبتُه دَفْعَ ما عليه	طالَبتُه بدَفْع ما عليه		
يرجى الإطّلاع	يرجى الاطّلاع		يرجى الإطّلاع	يرجى الاطّلاع		
انْطَلَتْ عليه الحيلة 	جَازَتْ عليه الحيلة		انْطَلَتْ عليه الحيلة 	جَازَتْ عليه الحيلة		
طَمَحَ ب	طَمَحَ إلى 		طَمَحَ بالزواج منها	طَمَحَ إلى الزواج منها		
تَطْمِينُ	طَمأَنـَةُ	الفعل هو: (طمأن)، لا: (طَـمَّنَ)	تَطْمِينُ الناسِ	طَمأَنـَةُ الناسِ		
يَطْهِي الطعامَ	يَطْهُو الطعامَ		يَطْهِي الطعامَ	يَطْهُو الطعامَ طَهْواً وطَهْياً		
أَطَاحَ ب	أَطَاحَ	الفعل (أطاح) يتعدى بنفسه	أَطَاحَ بماله 	أَطَاحَ مالَه		
تخطيط طاقوي 	تخطيط طاقيّ		تخطيط طاقوي 	تخطيط طاقيّ		
يَطالُها القانون	يَطولُها القانون		هذه جرائمُ يَطالُها القانون	هذه جرائمُ يَطولُها القانون		
طِيلَةَ عُمْرِه	طُولَ عُمْرِهِ	(الطِّيلَة): العُمْر	قَضَى طِيلَةَ عُمْرِه في التدريس	قَضَى طُولَ عُمْرِهِ في التدريس		
طَوْي الثياب 	طَيِّ الثياب		انـْتَهَتْ من طَوْي الثياب 	انتهت من طَيِّ الثياب 		
أَظَافِر	أَظْفَار		أَظَافِر	أَظْفَار		
ظَهَرَ بأن	ظَهَرَ أن		ظَهَرَ بأنـّه مريض	ظَهَرَ أنـّه مريض		
عِبارةً عن	يتألف من||إنما هو		وكان البيتُ عِبارةً عن أربع غرف..	وكان البيتُ يتألف من أربع غرف..		
#عِبارةٌ عن			الكتابُ المدرسيُّ عِبارةٌ عن مَرجعٍ...	الكتابُ المدرسيُّ مَرجعٌ...		
#عِبارةٌ عن	إنما هو		الكتابُ المدرسيُّ عِبارةٌ عن مَرجعٍ...	الكتابُ المدرسيُّ إنما هو مَرجعٌ...		
يومٌ عَتِيدٌ	يومٌ مُنتَظَرٌ	(العتيد): المُهَيَّأُ والحاضرُ والمُعَدُّ	هذا يومٌ عَتِيدٌ 	هذا يومٌ مُنتَظَرٌ		
والأعْجَبُ من ذلك	والأعجب|وأعجب من ذلك	أفعل التفضيل المحلّى بـ (أل) لا يجوز فيه ذكر (مِن) مع المفضَّل عليه	والأعْجَبُ من ذلك قولُه...	والأعجب قولُه.../وأعجب من ذلك قولُه...		
اسْتَعَدَّ إلى	اسْتَعَدَّ ل		اسْتَعَدَّ إلى الأمر	اسْتَعَدَّ للأمرِ		
عدا عن 	عدا|ماعدا	(عدا): أداة يُستثنى بها، والاسمُ بعدها يجوز نصبه وجرّه، ففي حالة النصب تكون (عدا) فعلاً، وفي حالة الجر تكون حرف جرّ.. فإذا اقترنتْ (ما) بـ (عدا) وَجَب نصب الاسم بعدها على المفعولية.	يوجد 50 رجلاً عدا عن الأطفال 	يوجد 50 رجلاً عدا الأطفالَ / الأطفالِ		
#عدا عن	ماعدا	(عدا): أداة يُستثنى بها، والاسمُ بعدها يجوز نصبه وجرّه، ففي حالة النصب تكون (عدا) فعلاً، وفي حالة الجر تكون حرف جرّ.. فإذا اقترنتْ (ما) بـ (عدا) وَجَب نصب الاسم بعدها على المفعولية.	يوجد 50 رجلاً عدا عن الأطفال 	يوجد 50 رجلاً ماعدا الأطفالَ		
عَدَاهُ بالمرض 	أَعْدَاهُ بالمرض	(عدا): جَرَى، وسَرَق، وجَاوَزَ وتَرَك	عَدَاهُ بالمرض 	أَعْدَاهُ بالمرض		
تعذيب المياه	إعذاب المياه		تعذيب المياه	إعذاب المياه		
اعْتَذَرَ عن الحضور	اعْتَذَرَ عن التخلُّف|اعتذر الغياب		اعْتَذَرَ عن الحضور	اعْتَذَرَ عن التخلُّف / الغياب		
اعْتَذَرَ عن الحضور	اعْتَذَرَ عن عدم الحضور 		اعْتَذَرَ عن الحضور	اعْتَذَرَ عن عدم الحضور 		
اعْتَذَرَ مِن	اعْتَذَرَ إلى |اعتذر عن | اعتذر من	(اعتذر مِن فلان): شكاه	اعْتَذَرَ مِن فلان 	اعْتَذَرَ إلى فلان عن / من كذا		
عارضَ الكتابَ على أصلِه المخطوط	عارضَ الكتابَ بأصلِه المخطوط		عارضَ الكتابَ على أصلِه المخطوط	عارضَ الكتابَ بأصلِه المخطوط		
عارضَ بين الكتابِ وأصلِه المخطوط	عارضَ الكتابَ بأصلِه المخطوط		عارضَ بين الكتابِ وأصلِه المخطوط			
تَعَرَّفَ على 	تَعَرَّفَ إلى | تعرّف ل|تَعَرَّفَ ب	(أي: جعل المدير يعرفه؛ عرَّفه بنفسه)	تَعَرَّفَ الموظف على المدير	تَعَرَّفَ الموظف إلى المدير / للمدير		
#تَعَرَّفَ على	تَعَرَّفَ ب	(أي: صار معروفاً عنده)	تَعَرَّفَ فلانٌ على صاحبه	تَعَرَّفَ فلانٌ بصاحبه		
متعارَفٌ عليها	متعارَفة	(أي: معروفة شائعة)	عاداتٌ متعارَفٌ عليها	عاداتٌ متعارَفة		
تعارفوا على	تعارفوا 		تعارفوا على الشيءِ	تعارفوا الشيءَ		
عَرَايَا 	عُرْيانـُون	(عارٍ) جَمْعُهُ (عُراة)، و(عارية) جمعُها (عاريات)، و(عُرْيانة) جمعُها (عُرْيانات)	عَرَايَا 	عُرْيانـُون		
عَزَا الخبَرَ لِصاحبه 	عَزَا الخبَرَ إلى صاحبه		عَزَا الخبَرَ لِصاحبه 	عَزَا الخبَرَ إلى صاحبه		
عَزَّيْتُه بولده	عَزَّيْتُه عن ولده		عَزَّيْتُه بولده	عَزَّيْتُه عن ولده		
عَشَّبَ الأرضَ 	اجتزَّ عُشبَ الأرض| نزع عُشبَ الأرض	(عَشَّبَ) فعلٌ لازم، تقول: (عَشَّبَتِ الأرضُ): كثـُر عُشبها	عَشَّبَ الأرضَ 	اجتزَّ / نزع عُشبَ الأرض		
حَسَنُ المَعْشَر	حَسَنُ العِشْرَة	(المَعْشـَر): كلُّ جماعةٍ أمرُهم واحد	فلانٌ حَسَنُ المَعْشَر	فلانٌ حَسَنُ العِشْرَة		
العشرينات	العشرينيات	(عشرينات) جمعُ (عشرين)، أما (عشرينيات) فتعني السنوات المنسوبة إلى العشرين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة عشرين وينتهي بسنة تسع وعشرين	في العشرينات من القرن الماضي	في العشرينيات من القرن الماضي		
تناولَ طعامَ العَشَاءِ	تناولَ العَشَاءَ	(العَشاء) هو الطعام نفسه	تناولَ طعامَ العَشَاءِ	تناولَ العَشَاءَ		
تَعَصَّبَ ضدَّ	تَعَصَّبَ على	(تعصَّب لفلان وتعصّب معه): نـَصَرَه. (تعصّب على عدُوِّه): قاومَه وكان مع عصبته ضدّه	تَعَصَّبَ ضدَّ فلان	تَعَصَّبَ على فلان		
مَعْصُومٌ عن الخطأ 	معصومٌ من الخطأ		مَعْصُومٌ عن الخطأ 	معصومٌ من الخطأ		
هذه عصاتي 	هذه عصايَ		هذه عصاتي 	هذه عصايَ		
تَعَطَّشَ إلى	عَطِش إلى	(تعطَّش): تكلّف العطش	تَعَطَّشَ إلى لقائه فهو متعطِّش	عَطِش إلى لقائه فهو عَطِشٌ وعاطِش		
عَاطِلٌ عن العمل	عَاطِلٌ من العمل		عَاطِلٌ عن العمل	عَاطِلٌ من العمل		
أعْطَى إلى|أعطى ل	أعْطَى	(أعطى) يتعدّى بنفسه إلى مفعولين	أعْطَى إلى أخيه / لأخيه كتاباً	أعْطَى أخاهُ كتاباً		
مَعْفِيَّةٌ من الحسم | مَعْفُوَّةٌ من الحسم	مُعْفاةٌ من الحسم	الفعل هو: (أعفى)، لا: (عفا)	المبالغ مَعْفِيَّةٌ / مَعْفُوَّةٌ من الحسم	المبالغ مُعْفاةٌ من الحسم		
عَفَاهُ من الوظيفةِ	أَعْفَاهُ من الوظيفة	(عفا عنه): صَفَحَ عنه. (عفا الأثرُ): زال	عَفَاهُ من الوظيفةِ	أَعْفَاهُ من الوظيفة		
انعكاس  	أثر		وهذه الأرقام تبيّن انعكاس فقدان الأمن على الحالة الاقتصادية	وهذه الأرقام تبيّن أثر فقدان الأمن على الحالة الاقتصادية		
انعكاسٌ ل	نتيجة ل/تعبير عن		هل هو انعكاسٌ لأحاسيس عامة..	هل هو نتيجة لأحاسيس عامة../هل هو تعبير عن أحاسيس عامة..		
تعكِس	تُظهِر |تفضح		ثم إن الرقابة تعكِس خوف السلطة	ثم إن الرقابة تُظهِر خوف السلطة/ ثم إن الرقابة تفضح خوف السلطة		
عكست	تركت		عكست الرحلة آثاراً طيبة على...	تركت الرحلة آثاراً طيبة على...		
قوسان معكوفتان	قوسان معقوفتان		قوسان معكوفتان	قوسان معقوفتان		
علاقةٌ حميمةٌ مع	علاقةٌ حميمةٌ ب		له علاقةٌ حميمةٌ مع ابنه	له علاقةٌ حميمةٌ بابنه		
أَعْلَنَ عن	أَعْلَنَ		أَعْلَنَ عن افتتاحِ الدورة	أَعْلَنَ افتتاحَ الدورة		
المرتبة الأعلى	المرتبة العليا		في المرتبة الأعلى	في المرتبة العليا		
تعالَوْا عندنا	تعالَوْا إلينا		تعالَوْا عندنا	تعالَوْا إلينا		
علاوة على ذلك	إضافة إلى ذلك	(علاوة) اسمٌ، وليست مصدراً؛ تقول: حصل الموظف على علاوة كبيرة	علاوة على ذلك، يمكن أن...	إضافة إلى ذلك، يمكن أن...		
عَامُودُ البناء	عَمُودُ البناء		عَامُودُ البناء	عَمُودُ البناء		
عواميد البناء	أعْمِدة البناء| عُمُد البناء 		عواميد البناء	أعْمِدة / عُمُد البناء 		
إلى عند	عند		ذهبت إلى عند فلان	ذهبت عند فلان		
يُعَانِي من 	يُعَانِي	الفعل (عانى) يتعدّى بنفسه	يُعَانِي فلانٌ من المرض	يُعَانِي فلانٌ المرضَ		
تعهّد له	تكفَّل	(تعهَّدََ الشيءَ): تفقَّدَهُ	تعهّد لـه بدفع هذا المبلغ	تكفَّل بدفع هذا المبلغ		
اعْتَادَ على	اعْتَادَ		اعْتَادَ على الأمر	اعْتَادَ الأمرَ		
عَوَّدَهُ على	عَوَّدَهُ		عَوَّدَهُ على الأمر	عَوَّدَهُ الأمرَ		
تَعَوَّدَ على	تَعَوَّدَ		تَعَوَّدَ على القراءة	تَعَوَّدَ القراءةَ		
مُعَاق	مَعُوق		طفل مُعَاق	طفل مَعُوق		
مُعاشٌ فيها	مَعِيشٌ فيها	الفعل هو: (عاش)، لا: (أعاش)	الحالُ مُعاشٌ فيها	الحالُ مَعِيشٌ فيها		
الغثّ والثمين	الغثُّ والسمين		الغثّ والثمين	الغثُّ والسمين		
أغْدَقَ الخيرَ عليهم	أسبغ الخير عليهم|أفاضَ الخيرَ عليهم	(أغدق) فعلٌ لازم؛ تقول: (أغدقتِ الأرضُ): أخصبت	أغْدَقَ الخيرَ عليهم	أسبغ / أفاضَ الخيرَ عليهم		
تناول طعامَ الغَدَاءِ |تناول طعام الغَذَاءِ	تناول الغَدَاءَ	(الغَداء): طعام الغُدوة، ووجبة الظهيرة (مج). (الغِذاء): ما ينمو به الجسم ويَصْلُح مِن طعام وشراب.	تناول طعامَ الغَدَاءِ / الغَذَاءِ	تناول الغَدَاءَ		
غَرَّمَ ب	غَرَّمَ	(غرّم) يتعدّى بنفسه إلى مفعولين	غَرَّمَهُ بالدَّيْنِ	غَرَّمَهُ الدَّيْنَ		
أَغْرى على	أَغْرَى ب		أَغْراهُ على البيع	أَغْرَاهُ بالبيع		
