# Manually added:

be; me; 1000000                         # p=0.999, r=0.819, 1000+953, 3grams, 2017-03-09
classed; classes; 1000000               # p=0.993, r=0.603, 1000+997
classed; classes; 100000                # p=0.992, r=0.681, 1000+997
classed; classes; 10000                 # p=0.992, r=0.762, 1000+997
classed; classes; 1000                  # p=0.991, r=0.805, 1000+997
cleansed; cleanses; 1000000             # p=0.999, r=0.734, 1000+129
cleansed; cleanses; 100000              # p=0.999, r=0.755, 1000+129
cleansed; cleanses; 10000               # p=0.994, r=0.772, 1000+129
cleansed; cleanses; 1000                # p=0.992, r=0.793, 1000+129
cleansed; cleanses; 100                 # p=0.991, r=0.817, 1000+129
clears; cleats; 1000000                 # p=1.000, r=0.372, 1000+456
clears; cleats; 100000                  # p=1.000, r=0.422, 1000+456
clears; cleats; 10000                   # p=0.997, r=0.475, 1000+456
clears; cleats; 1000                    # p=0.996, r=0.553, 1000+456
clears; cleats; 100                     # p=0.991, r=0.611, 1000+456
clenched; clenches; 1000000             # p=0.995, r=0.609, 558+38
clenched; clenches; 100000              # p=0.993, r=0.666, 558+38
clenched; clenches; 10000               # p=0.991, r=0.718, 558+38
cliched; cliches; 1000000               # p=0.990, r=0.148, 465+904
clicking; clucking; 1000000             # p=0.999, r=0.632, 1000+135
clicking; clucking; 100000              # p=0.997, r=0.660, 1000+135
clicking; clucking; 10000               # p=0.996, r=0.707, 1000+135
clicking; clucking; 1000                # p=0.993, r=0.743, 1000+135
climaxed; climaxes; 10000               # p=0.994, r=0.145, 475+641
cling; clung; 1000000                   # p=1.000, r=0.264, 1000+852
cling; clung; 100000                    # p=1.000, r=0.294, 1000+852
cling; clung; 10000                     # p=1.000, r=0.319, 1000+852
cling; clung; 1000                      # p=0.994, r=0.342, 1000+852
clinkers; clunkers; 10000               # p=1.000, r=0.148, 73+110
clinkers; clunkers; 1000                # p=1.000, r=0.202, 73+110
clinking; clunking; 1000000             # p=1.000, r=0.115, 90+40
clits; clots; 1000000                   # p=1.000, r=0.753, 73+895
clits; clots; 100000                    # p=1.000, r=0.787, 73+895
clits; clots; 10000                     # p=1.000, r=0.824, 73+895
clits; clots; 1000                      # p=1.000, r=0.855, 73+895
clits; clots; 100                       # p=0.999, r=0.878, 73+895
clits; clots; 10                        # p=0.995, r=0.939, 73+895
clits; clots; 10                        # p=0.991, r=0.954, 73+895
clog; clot; 1000000                     # p=0.995, r=0.373, 1000+1000
clog; clot; 100000                      # p=0.992, r=0.445, 1000+1000
clogs; clots; 1000000                   # p=0.993, r=0.457, 652+895
clogs; clots; 100000                    # p=0.993, r=0.489, 652+895
cloned; clones; 1000000                 # p=0.995, r=0.199, 1000+1000
cloned; clones; 10000                   # p=0.992, r=0.308, 1000+1000
cloned; clones; 1000                    # p=0.991, r=0.382, 1000+1000
closer; closet; 1000000                 # p=0.997, r=0.190, 996+999
closer; closet; 100000                  # p=0.993, r=0.208, 996+999
cloy; clot; 1000000                     # p=0.999, r=0.696, 59+1000
cloy; clot; 100000                      # p=0.996, r=0.734, 59+1000
cloy; clot; 10000                       # p=0.995, r=0.758, 59+1000
cloy; clot; 1000                        # p=0.994, r=0.791, 59+1000
cloy; clot; 100                         # p=0.993, r=0.832, 59+1000
clunker; clinker; 1000000               # p=0.997, r=0.338, 70+1000
clunker; clinker; 100000                # p=0.993, r=0.416, 70+1000
coached; coaches; 1000000               # p=0.995, r=0.398, 1000+984
coached; coaches; 100000                # p=0.995, r=0.474, 1000+984
coached; coaches; 10000                 # p=0.995, r=0.579, 1000+984
coached; coaches; 1000                  # p=0.991, r=0.623, 1000+984
coagulated; coagulates; 1000000         # p=1.000, r=0.340, 163+46
coagulated; coagulates; 100000          # p=1.000, r=0.373, 163+46
coagulated; coagulates; 10000           # p=1.000, r=0.455, 163+46
coagulated; coagulates; 1000            # p=1.000, r=0.488, 163+46
coagulated; coagulates; 100             # p=0.992, r=0.574, 163+46
coalesced; coalesces; 1000000           # p=0.995, r=0.165, 1000+121
coating; costing; 1000000               # p=0.998, r=0.248, 999+1000
coating; costing; 100000                # p=0.995, r=0.315, 999+1000
coating; costing; 10000                 # p=0.994, r=0.415, 999+1000
coating; costing; 1000                  # p=0.992, r=0.495, 999+1000
cobbled; cobbles; 1000000               # p=0.990, r=0.309, 1000+662
cobbled; cobbles; 100000                # p=0.991, r=0.378, 1000+662
cobbled; cobbles; 10000                 # p=0.991, r=0.485, 1000+662
cobbled; cobbles; 1000                  # p=0.991, r=0.588, 1000+662
cochleae; cochlear; 1000000             # p=1.000, r=0.693, 21+1000
cochleae; cochlear; 100000              # p=0.999, r=0.725, 21+1000
cochleae; cochlear; 10000               # p=0.999, r=0.753, 21+1000
cochleae; cochlear; 1000                # p=0.996, r=0.782, 21+1000
cochleae; cochlear; 100                 # p=0.995, r=0.805, 21+1000
cocked; docked; 1000000                 # p=0.994, r=0.165, 1000+1000
cocked; docked; 100000                  # p=0.995, r=0.208, 1000+1000
cocked; docked; 10000                   # p=0.996, r=0.268, 1000+1000
cocos; cocoa; 1000000                   # p=0.994, r=0.176, 1000+1000
coded; codes; 1000000                   # p=0.997, r=0.296, 1000+1000
coded; codes; 100000                    # p=0.997, r=0.443, 1000+1000
coded; codes; 10000                     # p=0.995, r=0.515, 1000+1000
coded; codes; 1000                      # p=0.995, r=0.578, 1000+1000
codified; codifies; 1000000             # p=0.996, r=0.533, 1000+247
codified; codifies; 100000              # p=0.994, r=0.556, 1000+247
coeds; cords; 1000000                   # p=0.993, r=0.531, 81+1000
coeds; cords; 100000                    # p=0.991, r=0.601, 81+1000
coerced; coerces; 1000000               # p=0.997, r=0.471, 1000+294
coerced; coerces; 100000                # p=0.997, r=0.490, 1000+294
coerced; coerces; 10000                 # p=0.994, r=0.531, 1000+294
coffees; coffers; 1000000               # p=0.990, r=0.372, 492+907
cohered; coheres; 10000                 # p=1.000, r=0.111, 25+56
cohered; coheres; 1000                  # p=1.000, r=0.198, 25+56
coif; coir; 100000                      # p=0.992, r=0.136, 439+518
coif; coir; 10000                       # p=0.994, r=0.179, 439+518
coif; coir; 1000                        # p=0.995, r=0.225, 439+518
coif; coir; 100                         # p=0.993, r=0.280, 439+518
coiffured; coiffures; 1000000           # p=1.000, r=0.115, 20+32
coiffured; coiffures; 100000            # p=1.000, r=0.154, 20+32
coiffured; coiffures; 10000             # p=1.000, r=0.212, 20+32
coiffured; coiffures; 1000              # p=1.000, r=0.250, 20+32
coiffured; coiffures; 100               # p=1.000, r=0.346, 20+32
coiled; cooled; 1000000                 # p=0.993, r=0.442, 1000+1000
coiled; cooled; 100000                  # p=0.992, r=0.521, 1000+1000
coiled; cooled; 10000                   # p=0.993, r=0.597, 1000+1000
coils; cools; 1000000                   # p=0.996, r=0.388, 1000+1000
coils; cools; 100000                    # p=0.997, r=0.461, 1000+1000
coils; cools; 10000                     # p=0.996, r=0.555, 1000+1000
coils; cools; 1000                      # p=0.994, r=0.624, 1000+1000
coils; cools; 100                       # p=0.992, r=0.692, 1000+1000
coked; cokes; 10000                     # p=1.000, r=0.144, 36+158
coked; cokes; 1000                      # p=1.000, r=0.191, 36+158
collage; collate; 1000000               # p=1.000, r=0.267, 1000+484
collage; collate; 100000                # p=1.000, r=0.318, 1000+484
collage; collate; 10000                 # p=0.997, r=0.417, 1000+484
collage; collate; 1000                  # p=0.991, r=0.501, 1000+484
collage; collate; 100                   # p=0.992, r=0.571, 1000+484
collages; collates; 1000000             # p=0.997, r=0.252, 1000+203
collages; collates; 100000              # p=0.997, r=0.328, 1000+203
collages; collates; 10000               # p=0.995, r=0.470, 1000+203
collages; collates; 1000                # p=0.991, r=0.568, 1000+203
collages; collates; 100                 # p=0.991, r=0.669, 1000+203
collages; collates; 10                  # p=0.992, r=0.769, 1000+203
collar; dollar; 1000000                 # p=0.994, r=0.245, 997+1000
collar; dollar; 100000                  # p=0.995, r=0.278, 997+1000
collar; dollar; 10000                   # p=0.994, r=0.317, 997+1000
collared; collated; 1000000             # p=1.000, r=0.140, 998+1000
collared; collated; 100000              # p=1.000, r=0.169, 998+1000
collared; collated; 10000               # p=1.000, r=0.272, 998+1000
collared; collated; 1000                # p=1.000, r=0.413, 998+1000
collared; collated; 100                 # p=0.999, r=0.567, 998+1000
collared; collated; 10                  # p=0.997, r=0.660, 998+1000
collaring; collating; 100000            # p=0.991, r=0.213, 42+502
collaring; collating; 10000             # p=0.994, r=0.287, 42+502
collide; collude; 100000                # p=1.000, r=0.102, 999+180
collided; colluded; 1000000             # p=1.000, r=0.289, 1000+407
collided; colluded; 100000              # p=0.998, r=0.373, 1000+407
collides; colludes; 100000              # p=0.995, r=0.209, 1000+50
collides; colludes; 10000               # p=0.991, r=0.317, 1000+50
colliding; colluding; 1000000           # p=1.000, r=0.214, 1000+422
colliding; colluding; 100000            # p=1.000, r=0.244, 1000+422
colliding; colluding; 10000             # p=1.000, r=0.280, 1000+422
collocated; collocates; 1000000         # p=1.000, r=0.163, 250+26
collocated; collocates; 100000          # p=1.000, r=0.228, 250+26
collocated; collocates; 10000           # p=1.000, r=0.304, 250+26
collocated; collocates; 1000            # p=1.000, r=0.359, 250+26
collocated; collocates; 100             # p=0.991, r=0.391, 250+26
colluded; colludes; 1000000             # p=1.000, r=0.208, 407+50
colluded; colludes; 100000              # p=1.000, r=0.258, 407+50
colluded; colludes; 10000               # p=0.993, r=0.295, 407+50
colonized; colonizes; 1000000           # p=0.992, r=0.523, 1000+173
colonized; colonizes; 100000            # p=0.993, r=0.579, 1000+173
colonized; colonizes; 10000             # p=0.992, r=0.627, 1000+173
colonnaded; colonnades; 1000000         # p=1.000, r=0.241, 436+586
colonnaded; colonnades; 100000          # p=0.997, r=0.318, 436+586
colonnaded; colonnades; 10000           # p=0.995, r=0.419, 436+586
colonnaded; colonnades; 1000            # p=0.994, r=0.516, 436+586
comers; comets; 1000000                 # p=0.998, r=0.238, 1000+1000
comers; comets; 100000                  # p=0.998, r=0.313, 1000+1000
comers; comets; 10000                   # p=0.999, r=0.366, 1000+1000
comers; comets; 1000                    # p=0.995, r=0.442, 1000+1000
comers; comets; 100                     # p=0.991, r=0.507, 1000+1000
comical; conical; 1000000               # p=0.998, r=0.248, 1000+1000
comical; conical; 100000                # p=0.997, r=0.302, 1000+1000
comical; conical; 10000                 # p=0.997, r=0.381, 1000+1000
comical; conical; 1000                  # p=0.993, r=0.438, 1000+1000
comically; conically; 100000            # p=1.000, r=0.113, 1000+86
comically; conically; 10000             # p=1.000, r=0.160, 1000+86
comically; conically; 1000              # p=1.000, r=0.245, 1000+86
comically; conically; 100               # p=0.997, r=0.343, 1000+86
comically; conically; 10                # p=0.996, r=0.494, 1000+86
comic; conic; 1000000                   # p=0.994, r=0.156, 999+1000
comic; conic; 100000                    # p=0.991, r=0.211, 999+1000
commemorated; commemorates; 1000000     # p=1.000, r=0.389, 1000+999
commemorated; commemorates; 100000      # p=1.000, r=0.431, 1000+999
commemorated; commemorates; 10000       # p=1.000, r=0.465, 1000+999
commemorated; commemorates; 1000        # p=0.996, r=0.510, 1000+999
commemorated; commemorates; 100         # p=0.991, r=0.586, 1000+999
commenced; commended; 1000000           # p=0.995, r=0.307, 1000+991
commenced; commended; 100000            # p=0.993, r=0.359, 1000+991
commencing; commending; 1000000         # p=0.991, r=0.287, 1000+853
commencing; commending; 100000          # p=0.992, r=0.334, 1000+853
commencing; commending; 10000           # p=0.992, r=0.387, 1000+853
commercialized; commercializes; 1000000 # p=0.994, r=0.473, 1000+84
commercialized; commercializes; 100000  # p=0.995, r=0.562, 1000+84
commercialized; commercializes; 10000   # p=0.994, r=0.623, 1000+84
commercialized; commercializes; 1000    # p=0.992, r=0.686, 1000+84
communed; communes; 1000000             # p=0.999, r=0.841, 43+999
communed; communes; 100000              # p=0.999, r=0.846, 43+999
communed; communes; 10000               # p=0.999, r=0.849, 43+999
communed; communes; 1000                # p=0.998, r=0.853, 43+999
communed; communes; 100                 # p=0.997, r=0.894, 43+999
communed; communes; 10                  # p=0.995, r=0.908, 43+999
communed; communes; 10                  # p=0.992, r=0.970, 43+999
communicated; communicates; 1000000     # p=0.998, r=0.216, 1000+1000
communicated; communicates; 100000      # p=0.998, r=0.244, 1000+1000
communicated; communicates; 10000       # p=0.991, r=0.269, 1000+1000
commuted; commutes; 100000              # p=0.993, r=0.599, 1000+944
commuted; commutes; 10000               # p=0.992, r=0.620, 1000+944
compassed; compasses; 1000000           # p=1.000, r=0.316, 39+861
compassed; compasses; 100000            # p=0.997, r=0.400, 39+861
compassed; compasses; 10000             # p=0.998, r=0.493, 39+861
compassed; compasses; 1000              # p=0.998, r=0.593, 39+861
compassed; compasses; 100               # p=0.997, r=0.700, 39+861
compassed; compasses; 10                # p=0.990, r=0.798, 39+861
compensated; compensates; 1000000       # p=0.997, r=0.300, 1000+906
compensated; compensates; 100000        # p=0.992, r=0.326, 1000+906
compered; comperes; 1000000             # p=1.000, r=0.162, 209+51
compered; comperes; 100000              # p=1.000, r=0.169, 209+51
compered; comperes; 10000               # p=1.000, r=0.227, 209+51
compered; comperes; 1000                # p=1.000, r=0.312, 209+51
comperes; competes; 1000000             # p=0.995, r=0.567, 50+1000
comperes; competes; 100000              # p=0.992, r=0.615, 50+1000
comperes; competes; 10000               # p=0.992, r=0.708, 50+1000
composited; composites; 1000000         # p=0.996, r=0.189, 328+1000
computed; computes; 1000000             # p=0.990, r=0.458, 1000+1000
computed; computes; 100000              # p=0.991, r=0.502, 1000+1000
concatenated; concatenates; 1000000     # p=1.000, r=0.344, 537+62
concatenated; concatenates; 100000      # p=1.000, r=0.409, 537+62
concatenated; concatenates; 10000       # p=0.996, r=0.456, 537+62
concatenated; concatenates; 1000        # p=0.997, r=0.524, 537+62
concatenated; concatenates; 100         # p=0.997, r=0.608, 537+62
concatenated; concatenates; 10          # p=0.995, r=0.683, 537+62
conceptualized; conceptualizes; 1000000 # p=0.997, r=0.562, 1000+105
conceptualized; conceptualizes; 100000  # p=0.997, r=0.576, 1000+105
conceptualized; conceptualizes; 10000   # p=0.997, r=0.612, 1000+105
conceptualized; conceptualizes; 1000    # p=0.996, r=0.641, 1000+105
conceptualized; conceptualizes; 100     # p=0.992, r=0.678, 1000+105
concert; convert; 1000000               # p=0.998, r=0.204, 991+1000
concert; convert; 100000                # p=0.998, r=0.254, 991+1000
concert; convert; 10000                 # p=0.994, r=0.328, 991+1000
concerts; converts; 1000000             # p=0.995, r=0.191, 999+997
concerts; converts; 100000              # p=0.997, r=0.291, 999+997
concerts; converts; 10000               # p=0.994, r=0.362, 999+997
concerts; converts; 1000                # p=0.992, r=0.447, 999+997
conch; cinch; 1000000                   # p=1.000, r=0.236, 1000+271
conch; cinch; 100000                    # p=0.997, r=0.268, 1000+271
concreted; concretes; 1000000           # p=1.000, r=0.114, 258+224
concreted; concretes; 100000            # p=1.000, r=0.174, 258+224
concreted; concretes; 10000             # p=1.000, r=0.249, 258+224
concreted; concretes; 1000              # p=1.000, r=0.297, 258+224
concreted; concretes; 100               # p=0.994, r=0.357, 258+224
condensed; condenses; 1000000           # p=0.993, r=0.317, 1000+729
condensed; condenses; 100000            # p=0.991, r=0.335, 1000+729
condign; consign; 1000000               # p=1.000, r=0.432, 44+222
condign; consign; 100000                # p=1.000, r=0.500, 44+222
condign; consign; 10000                 # p=0.993, r=0.541, 44+222
condign; consign; 1000                  # p=0.994, r=0.632, 44+222
condign; consign; 100                   # p=0.995, r=0.680, 44+222
condole; console; 1000000               # p=1.000, r=0.390, 22+997
condole; console; 100000                # p=1.000, r=0.445, 22+997
condole; console; 10000                 # p=0.998, r=0.537, 22+997
condole; console; 1000                  # p=0.995, r=0.586, 22+997
condoned; condones; 1000000             # p=1.000, r=0.332, 739+188
condoned; condones; 100000              # p=1.000, r=0.374, 739+188
condoned; condones; 10000               # p=1.000, r=0.411, 739+188
condoned; condones; 1000                # p=1.000, r=0.463, 739+188
cones; comes; 1000000                   # p=0.998, r=0.447, 1000+997
cones; comes; 100000                    # p=0.997, r=0.522, 1000+997
confederated; confederates; 1000000     # p=0.995, r=0.104, 807+1000
confederated; confederates; 100000      # p=0.993, r=0.149, 807+1000
confederated; confederates; 10000       # p=0.993, r=0.244, 807+1000
confer; conger; 1000000                 # p=1.000, r=0.304, 1000+999
confer; conger; 100000                  # p=1.000, r=0.315, 1000+999
confer; conger; 10000                   # p=0.996, r=0.369, 1000+999
confer; conger; 1000                    # p=0.996, r=0.391, 1000+999
confers; congers; 1000000               # p=0.998, r=0.384, 1000+142
confers; congers; 100000                # p=0.998, r=0.426, 1000+142
confers; congers; 10000                 # p=0.998, r=0.472, 1000+142
confers; congers; 1000                  # p=0.998, r=0.523, 1000+142
confers; congers; 100                   # p=0.997, r=0.571, 1000+142
configured; configures; 1000000         # p=0.996, r=0.632, 1000+205
configured; configures; 100000          # p=0.995, r=0.656, 1000+205
configured; configures; 10000           # p=0.994, r=0.700, 1000+205
configured; configures; 1000            # p=0.992, r=0.727, 1000+205
confined; confines; 1000000             # p=0.998, r=0.804, 1000+1000
confined; confines; 100000              # p=0.998, r=0.820, 1000+1000
confined; confines; 10000               # p=0.996, r=0.838, 1000+1000
confined; confines; 1000                # p=0.991, r=0.850, 1000+1000
confirmations; conformations; 1000000   # p=0.994, r=0.137, 595+603
confirm; conform; 1000000               # p=0.998, r=0.239, 997+1000
confirm; conform; 100000                # p=0.997, r=0.323, 997+1000
confirm; conform; 10000                 # p=0.997, r=0.386, 997+1000
confirm; conform; 1000                  # p=0.998, r=0.701, 997+1000
confirm; conform; 100                   # p=0.995, r=0.758, 997+1000
confirming; conforming; 1000000         # p=0.992, r=0.255, 1000+1000
confirming; conforming; 100000          # p=0.993, r=0.339, 1000+1000
confirming; conforming; 10000           # p=0.990, r=0.449, 1000+1000
confirms; conforms; 1000000             # p=0.991, r=0.280, 1000+1000
confirms; conforms; 100000              # p=0.992, r=0.438, 1000+1000
confirms; conforms; 10000               # p=0.991, r=0.544, 1000+1000
confirms; conforms; 1000                # p=0.991, r=0.682, 1000+1000
conflated; conflates; 100000            # p=0.990, r=0.436, 1000+397
congesting; contesting; 1000000         # p=0.997, r=0.382, 25+999
congesting; contesting; 100000          # p=0.994, r=0.465, 25+999
congesting; contesting; 10000           # p=0.995, r=0.563, 25+999
congesting; contesting; 1000            # p=0.994, r=0.653, 25+999
conglomerated; conglomerates; 1000000   # p=0.996, r=0.515, 50+1000
conglomerated; conglomerates; 100000    # p=0.997, r=0.594, 50+1000
conglomerated; conglomerates; 10000     # p=0.997, r=0.675, 50+1000
conglomerated; conglomerates; 1000      # p=0.995, r=0.762, 50+1000
conglomerated; conglomerates; 100       # p=0.992, r=0.811, 50+1000
conglomerated; conglomerates; 10        # p=0.990, r=0.870, 50+1000
conjectured; conjectures; 1000000       # p=0.995, r=0.290, 1000+1000
conjectured; conjectures; 100000        # p=0.993, r=0.357, 1000+1000
conjectured; conjectures; 10000         # p=0.990, r=0.405, 1000+1000
conjugated; conjugates; 1000000         # p=0.996, r=0.341, 1000+545
conjugated; conjugates; 100000          # p=0.995, r=0.419, 1000+545
conjugated; conjugates; 10000           # p=0.995, r=0.503, 1000+545
conned; donned; 100000                  # p=0.991, r=0.151, 545+1000
conning; donning; 1000000               # p=0.999, r=0.444, 1000+1000
conning; donning; 100000                # p=0.999, r=0.461, 1000+1000
conning; donning; 10000                 # p=0.998, r=0.506, 1000+1000
conning; donning; 1000                  # p=0.996, r=0.563, 1000+1000
conning; donning; 100                   # p=0.995, r=0.631, 1000+1000
conning; donning; 10                    # p=0.992, r=0.712, 1000+1000
connived; connives; 1000000             # p=1.000, r=0.248, 99+34
connived; connives; 100000              # p=1.000, r=0.263, 99+34
connived; connives; 10000               # p=1.000, r=0.338, 99+34
consecrated; consecrates; 1000000       # p=0.997, r=0.674, 1000+106
consecrated; consecrates; 100000        # p=0.991, r=0.712, 1000+106
conserved; conserves; 1000000           # p=0.997, r=0.447, 1000+625
conserved; conserves; 100000            # p=0.995, r=0.479, 1000+625
conserved; conserves; 10000             # p=0.994, r=0.521, 1000+625
consigned; consignee; 1000000           # p=1.000, r=0.683, 1000+100
consigned; consignee; 100000            # p=1.000, r=0.753, 1000+100
consigned; consignee; 10000             # p=1.000, r=0.798, 1000+100
consigned; consignee; 1000              # p=0.999, r=0.847, 1000+100
consigned; consignee; 100               # p=0.998, r=0.886, 1000+100
consigned; consignee; 10                # p=0.995, r=0.907, 1000+100
consigned; consignee; 10                # p=0.993, r=0.931, 1000+100
consoled; consoles; 1000000             # p=0.993, r=0.353, 523+1000
consoled; consoles; 100000              # p=0.993, r=0.389, 523+1000
consoled; consoles; 10000               # p=0.992, r=0.433, 523+1000
consoled; consoles; 1000                # p=0.991, r=0.484, 523+1000
constituted; constitutes; 1000000       # p=0.996, r=0.259, 1000+1000
constituted; constitutes; 100000        # p=0.996, r=0.275, 1000+1000
constrictor; constructor; 1000000       # p=0.991, r=0.240, 801+1000
construed; construes; 1000000           # p=0.999, r=0.758, 1000+98
construed; construes; 100000            # p=0.999, r=0.828, 1000+98
construed; construes; 10000             # p=0.999, r=0.841, 1000+98
construed; construes; 1000              # p=0.997, r=0.861, 1000+98
construed; construes; 100               # p=0.995, r=0.880, 1000+98
consumed; consumes; 1000000             # p=0.991, r=0.329, 1000+1000
consumed; consumes; 100000              # p=0.990, r=0.358, 1000+1000
consummated; consummates; 1000000       # p=0.999, r=0.822, 1000+50
consummated; consummates; 100000        # p=0.998, r=0.861, 1000+50
consummated; consummates; 10000         # p=0.995, r=0.886, 1000+50
consummated; consummates; 1000          # p=0.992, r=0.908, 1000+50
consummated; consummates; 100           # p=0.992, r=0.916, 1000+50
contests; contexts; 1000000             # p=0.996, r=0.137, 1000+1000
contextualized; contextualizes; 1000000 # p=1.000, r=0.293, 358+76
contextualized; contextualizes; 100000  # p=1.000, r=0.364, 358+76
contextualized; contextualizes; 10000   # p=0.995, r=0.426, 358+76
contextualized; contextualizes; 1000    # p=0.991, r=0.514, 358+76
contravened; contravenes; 100000        # p=0.991, r=0.100, 554+581
contravened; contravenes; 10000         # p=0.993, r=0.126, 554+581
contrived; contrives; 1000000           # p=0.995, r=0.354, 1000+197
contrived; contrives; 100000            # p=0.990, r=0.416, 1000+197
converged; converges; 1000000           # p=0.995, r=0.192, 1000+1000
converged; converges; 100000            # p=0.995, r=0.273, 1000+1000
converged; converges; 10000             # p=0.990, r=0.359, 1000+1000
conversed; converses; 1000000           # p=1.000, r=0.111, 469+442
conversed; converses; 100000            # p=0.992, r=0.139, 469+442
converting; converging; 1000000         # p=0.992, r=0.237, 1000+1000
convulsed; convulses; 1000000           # p=1.000, r=0.368, 163+27
cooked; cooled; 1000000                 # p=0.998, r=0.250, 1000+1000
cooked; cooled; 100000                  # p=0.997, r=0.296, 1000+1000
cooked; cooled; 10000                   # p=0.998, r=0.405, 1000+1000
cooked; cooled; 1000                    # p=0.996, r=0.493, 1000+1000
cooked; cooled; 100                     # p=0.990, r=0.608, 1000+1000
cookers; coolers; 1000000               # p=0.992, r=0.184, 637+756
cookers; coolers; 100000                # p=0.994, r=0.249, 637+756
cookers; coolers; 10000                 # p=0.994, r=0.330, 637+756
cookers; coolers; 1000                  # p=0.991, r=0.398, 637+756
cookie; coolie; 100000                  # p=1.000, r=0.104, 997+707
cookies; coolies; 1000000               # p=1.000, r=0.111, 1000+521
cookies; coolies; 100000                # p=0.996, r=0.155, 1000+521
cool; coll; 1000000                     # p=0.998, r=0.228, 981+998
cool; coll; 100000                      # p=0.998, r=0.255, 981+998
cool; coll; 10000                       # p=0.995, r=0.300, 981+998
cooler; cooker; 1000000                 # p=1.000, r=0.354, 1000+1000
cooler; cooker; 100000                  # p=0.999, r=0.412, 1000+1000
cooler; cooker; 10000                   # p=0.993, r=0.470, 1000+1000
coon; coin; 1000000                     # p=0.997, r=0.146, 1000+998
coon; coin; 100000                      # p=0.997, r=0.181, 1000+998
coon; coin; 10000                       # p=0.995, r=0.290, 1000+998
cooperage; cooperate; 1000000           # p=0.999, r=0.634, 341+1000
cooperage; cooperate; 100000            # p=0.997, r=0.666, 341+1000
cooperage; cooperate; 10000             # p=0.995, r=0.713, 341+1000
coordinated; coordinates; 1000000       # p=1.000, r=0.457, 1000+992
coordinated; coordinates; 100000        # p=1.000, r=0.520, 1000+992
coordinated; coordinates; 10000         # p=0.999, r=0.574, 1000+992
coordinated; coordinates; 1000          # p=0.997, r=0.635, 1000+992
coordinated; coordinates; 100           # p=0.996, r=0.726, 1000+992
coordinated; coordinates; 10            # p=0.994, r=0.780, 1000+992
coot; clot; 1000000                     # p=0.996, r=0.371, 1000+1000
coot; clot; 100000                      # p=0.994, r=0.424, 1000+1000
coot; clot; 10000                       # p=0.990, r=0.451, 1000+1000
coots; clots; 1000000                   # p=0.999, r=0.359, 1000+895
coots; clots; 100000                    # p=0.997, r=0.378, 1000+895
coots; clots; 10000                     # p=0.993, r=0.401, 1000+895
copied; copies; 1000000                 # p=1.000, r=0.447, 1000+1000
copied; copies; 100000                  # p=1.000, r=0.491, 1000+1000
copied; copies; 10000                   # p=0.998, r=0.535, 1000+1000
copied; copies; 1000                    # p=0.991, r=0.571, 1000+1000
coping; cooing; 1000000                 # p=0.997, r=0.478, 1000+223
coping; cooing; 100000                  # p=0.994, r=0.535, 1000+223
copper; cooper; 1000000                 # p=0.992, r=0.185, 998+989
copper; cooper; 100000                  # p=0.993, r=0.217, 998+989
copulated; copulates; 1000              # p=1.000, r=0.148, 67+68
cords; cores; 1000000                   # p=0.992, r=0.177, 1000+1000
cords; cores; 100000                    # p=0.993, r=0.213, 1000+1000
cords; cores; 10000                     # p=0.993, r=0.301, 1000+1000
corks; dorks; 1000000                   # p=1.000, r=0.162, 305+78
coroner; coronet; 10000                 # p=0.990, r=0.153, 1000+1000
correlated; correlates; 1000000         # p=0.998, r=0.419, 1000+1000
correlated; correlates; 100000          # p=0.994, r=0.459, 1000+1000
corroborated; corroborates; 1000000     # p=1.000, r=0.456, 1000+384
corroborated; corroborates; 100000      # p=1.000, r=0.490, 1000+384
corroborated; corroborates; 10000       # p=1.000, r=0.508, 1000+384
corroborated; corroborates; 1000        # p=1.000, r=0.527, 1000+384
corroborated; corroborates; 100         # p=0.995, r=0.565, 1000+384
corroded; corrodes; 1000000             # p=1.000, r=0.270, 637+107
corroded; corrodes; 100000              # p=0.992, r=0.345, 637+107
corroded; corrodes; 10000               # p=0.991, r=0.435, 637+107
couched; couches; 1000000               # p=1.000, r=0.395, 574+607
couched; couches; 100000                # p=1.000, r=0.473, 574+607
couched; couches; 10000                 # p=0.997, r=0.554, 574+607
couched; couches; 1000                  # p=0.995, r=0.633, 574+607
couched; vouched; 1000000               # p=0.995, r=0.466, 574+350
couched; vouched; 100000                # p=0.994, r=0.577, 574+350
couched; vouched; 10000                 # p=0.992, r=0.661, 574+350
couched; vouched; 1000                  # p=0.991, r=0.755, 574+350
couched; vouched; 100                   # p=0.991, r=0.819, 574+350
couches; vouches; 1000000               # p=0.997, r=0.406, 607+137
couches; vouches; 100000                # p=0.997, r=0.480, 607+137
couches; vouches; 10000                 # p=0.995, r=0.550, 607+137
couches; vouches; 1000                  # p=0.996, r=0.656, 607+137
couches; vouches; 100                   # p=0.994, r=0.722, 607+137
couches; vouches; 10                    # p=0.994, r=0.829, 607+137
couching; vouching; 100000              # p=1.000, r=0.159, 150+189
couch; vouch; 1000000                   # p=0.994, r=0.477, 999+1000
couch; vouch; 100000                    # p=0.995, r=0.543, 999+1000
couch; vouch; 10000                     # p=0.994, r=0.584, 999+1000
couch; vouch; 100                       # p=0.990, r=0.695, 999+1000
cough; dough; 1000000                   # p=0.996, r=0.256, 1000+1000
cough; dough; 100000                    # p=0.997, r=0.315, 1000+1000
cough; dough; 10000                     # p=0.995, r=0.363, 1000+1000
