# v_zna
#згідно v_rod
виношуватися v_oru
винуватити v_zna
винюхати v_zna:v_oru
винюхувати v_zna:v_oru
винюшити v_zna
виняньчити v_zna
виняньчувати v_zna
виняти v_zna:v_oru:v_dav
виображувати v_zna:v_oru:v_dav
виображуватися v_oru
виобразити v_zna:v_oru:v_dav
виобразитися v_oru
виокремити v_zna:v_oru:v_dav
виокремитися v_oru
виокремлювати v_zna:v_oru:v_dav
виокремлюватися v_oru
виокреслити v_zna:v_oru:v_dav
виокреслитися v_oru
виокреслювати v_zna:v_oru:v_dav
виокреслюватися v_oru
виопуклити v_zna:v_oru:v_dav
виопуклитися v_oru
виопуклювати v_zna:v_oru:v_dav
виопуклюватися v_oru
виорати v_zna:v_oru:v_dav
виорювати v_zna:v_oru:v_dav
виорюватися v_oru
вип'ясти v_zna:v_oru
вип'ястися v_oru
вип'ятити v_zna:v_oru
вип'ячувати v_zna:v_oru
вип'ячуватися v_oru
випадати v_oru:v_dav
випаковувати v_zna:v_dav
випакувати v_zna:v_oru:v_dav
випалити v_zna:v_oru:v_dav
випалитися v_oru
випалювати v_zna:v_oru:v_dav
випалюватися v_oru
випарити v_zna:v_oru:v_dav
випаритися v_oru
випаровувати v_zna:v_oru:v_dav
випаровуватися v_oru
випарувати v_zna:v_oru:v_dav
випаруватися v_oru
випарювати v_zna:v_oru:v_dav
випарюватися v_oru
випасати v_zna:v_oru:v_dav
випасатися v_oru
випаскудити v_zna:v_oru:v_dav
випаскудитися v_oru
випасти v_dav
випасти v_zna:v_oru:v_dav
випастися v_oru
випасувати v_zna:v_oru:v_dav
випасуватися v_oru
випатрати v_zna:v_oru:v_dav
випаювати v_zna:v_oru:v_dav
випаяти v_zna:v_oru:v_dav
випекти v_zna:v_oru:v_dav
випектися v_oru
випендрюватися v_oru
випереджати v_zna:v_oru
випереджувати v_zna:v_oru:v_dav
випередити v_zna:v_oru:v_dav
виперти v_zna:v_oru:v_dav
випертися v_oru
випестити v_zna:v_oru:v_dav
випестовувати v_zna:v_oru:v_dav
випестувати v_zna:v_oru:v_dav
випечатати v_zna:v_oru:v_dav
випещувати v_zna:v_oru:v_dav
випивати v_zna:v_oru:v_dav
випиватися v_oru
випилювати v_zna:v_oru:v_dav
випилюватися v_oru
випиляти v_zna:v_oru:v_dav
випилятися v_oru
випинати v_zna:v_oru:v_dav
випинатися v_oru
випирати v_zna:v_oru:v_dav
випиратися v_oru
виписаний v_dav
виписати v_zna:v_oru:v_dav
виписатися v_oru
виписувати v_zna:v_oru:v_dav
виписуватися v_oru
випитати v_zna
випитатися v_rod
випити v_zna:v_rod:v_oru:v_dav
випитувати v_zna
випитуватися v_oru
випихати v_zna:v_oru:v_dav
випихатися v_oru
випихнути v_zna:v_oru
випихнутий v_zna:v_oru
випікати v_zna:v_oru:v_dav
випікатися v_oru
випірнати v_oru
випірнути v_oru
виплавити v_zna:v_oru:v_dav
виплавитися v_oru
виплавлювати v_zna:v_oru:v_dav
виплавляти v_zna:v_oru:v_dav
виплавлятися v_oru
виплакати v_zna
виплакувати v_zna
виплатити v_zna:v_oru:v_dav
виплатитися v_oru
виплачений v_dav
виплачуваний v_dav
виплачувати v_zna:v_oru:v_dav
виплачуватися v_oru:v_dav
виплекати v_zna:v_oru
виплекатися v_oru
виплекувати v_zna:v_oru:v_dav
виплескати v_zna:v_oru:v_dav
виплескатися v_oru
виплескувати v_zna:v_oru:v_dav
виплескуватися v_oru
виплеснути v_zna:v_oru:v_dav
виплеснутися v_oru:v_dav
виплести v_zna:v_oru:v_dav
виплестися v_oru
випливати v_oru
випливти v_oru
виплинути v_oru:v_dav
виплисти v_oru
випліскувати v_zna:v_oru:v_dav
випліскуватися v_oru
виплітати v_zna:v_oru:v_dav
виплітатися v_oru
виплітувати v_zna:v_oru:v_dav
виплітуватися v_oru
виплоджувати v_zna
виплоджуватися v_oru
виплодити v_zna
виплутати v_zna:v_oru:v_dav
виплутатися v_oru
виплутувати v_zna:v_oru:v_dav
виплутуватися v_oru
виплювати v_zna:v_oru:v_dav
виплюватися v_oru
виплюндрувати v_zna:v_oru:v_dav
виплюнути v_zna:v_oru
випльовувати v_zna:v_oru:v_dav
випльовуватися v_oru
випнути v_zna:v_oru
випнутися v_oru
виповзати v_oru
виповзти v_oru
виповідати v_zna:v_dav
виповісти v_zna:v_dav
виповнити v_zna:v_oru:v_dav
виповнитися v_oru:v_dav
виповнювати v_zna:v_oru:v_dav
виповнюватися v_oru:v_dav
виповняти v_zna:v_oru:v_dav
виповнятися v_oru:v_dav
випозивати v_zna:v_oru:v_dav
випозичати v_zna:v_oru:v_dav
випозичити v_zna:v_oru:v_dav
випозичувати v_zna:v_oru:v_dav
випоїти v_zna:v_oru:v_dav
виполіровувати v_zna:v_oru:v_dav
виполіровуватися v_oru
виполірувати v_zna:v_oru:v_dav
виполіруватися v_oru
виполіскувати v_zna:v_oru:v_dav
виполіскуватися v_oru
виполонити v_zna:v_oru:v_dav
виполоскати v_zna:v_oru:v_dav
виполоскатися v_oru
виполоти v_zna:v_oru:v_dav
виполювати v_zna:v_oru:v_dav
виполювати v_zna:v_oru:v_dav
виполюватися v_oru
випомповувати v_zna:v_oru:v_dav
випомповуватися v_oru
випомпувати v_zna:v_oru:v_dav
випорожнити v_zna:v_oru:v_dav
випорожнитися v_oru
випорожнювати v_zna:v_oru:v_dav
випорожнюватися v_oru
випорожняти v_zna:v_oru:v_dav
випорожнятися v_oru
випороти v_zna:v_oru:v_dav
випорпати v_zna:v_oru:v_dav
випорпатися v_oru
випорпувати v_zna:v_oru:v_dav
випорскати v_zna:v_oru:v_dav
випорскувати v_zna:v_oru
випорснути v_zna:v_oru
випорснутися v_oru
випорхувати v_oru
випорювати v_zna:v_oru:v_dav
випорюватися v_oru
випосажити v_zna:v_oru:v_dav
випостити v_zna:v_oru:v_dav
випоститися v_oru
випотрошити v_zna:v_oru:v_dav
випотрошувати v_zna:v_oru:v_dav
випоювати v_zna:v_oru:v_dav
випоюватися v_oru
виправдати v_zna:v_oru
виправдатися v_oru
виправдити v_zna:v_oru
виправдовувати v_zna:v_oru
виправдовуватися v_oru
виправдувати v_zna:v_oru
виправдуватися v_oru
виправити v_zna:v_oru:v_dav
виправитися v_oru
виправляти v_zna:v_oru:v_dav
виправлятися v_oru
випрасовувати v_zna:v_oru:v_dav
випрасовуватися v_oru
випрасувати v_zna:v_oru:v_dav
випрасуватися v_oru
випрати v_zna:v_oru:v_dav
випратися v_oru
випрацювати v_zna:v_oru:v_dav
випрацюватися v_oru
випрацьовувати v_zna:v_oru:v_dav
випрацьовуватися v_oru
випресовувати v_zna:v_oru:v_dav
випресувати v_zna:v_oru:v_dav
виприскати v_zna:v_oru:v_dav
виприскувати v_zna:v_oru:v_dav
виприскуватися v_oru
виприснути v_zna:v_oru:v_dav
випробовувати v_zna:v_oru
випробовуватися v_oru
випробувати v_zna:v_oru
випробувати v_zna:v_oru
випробуватися v_oru
випроваджувати v_zna:v_oru:v_dav
випроваджуватися v_oru
випровадити v_zna
випроводжати v_zna:v_oru
випроводити v_zna:v_oru
випродати v_zna:v_oru:v_dav
випродувати v_zna:v_oru:v_dav
випродукувати v_zna:v_oru:v_dav
випрозорити v_zna:v_oru:v_dav
випрозоритися v_oru
випрозорювати v_zna:v_oru:v_dav
випрозорюватися v_oru
випроменити v_zna:v_oru:v_dav
випроменитися v_oru
випромінити v_zna:v_oru
випромінитися v_oru
випромінювати v_zna:v_oru
випромінюватися v_oru
випросити v_zna
випростати v_zna:v_oru:v_dav
випростатися v_oru
випростовувати v_zna:v_oru:v_dav
випростовуватися v_oru
випростувати v_zna:v_oru:v_dav
випростувати v_zna:v_oru:v_dav
випростуватися v_oru
випростуватися v_oru
випрохати v_zna:v_oru:v_dav
випрохувати v_zna:v_oru:v_dav
випрошувати v_zna:v_oru:v_dav
випрошуватися v_oru
випрудити v_zna:v_oru:v_dav
випручати v_zna
випручати v_zna
випрягати v_zna:v_oru:v_dav
випрягатися v_oru
випрягти v_zna:v_oru:v_dav
випрягтися v_oru
випрядати v_zna:v_oru:v_dav
випрядатися v_oru
випрямити v_zna:v_oru:v_dav
випрямитися v_oru
випрямлювати v_zna:v_oru:v_dav
випрямлюватися v_oru
випрямляти v_zna:v_oru:v_dav
випрямлятися v_oru
випрясти v_zna:v_oru:v_dav
випрястися v_oru
випсякувати v_zna:v_oru:v_dav
випулити v_zna
випурхнути v_oru
випурхувати v_oru
випускати v_zna:v_oru:v_dav
випускатися v_oru
випустити v_zna:v_oru:v_dav
випуститися v_oru
випхати v_zna:v_oru
випхатися v_oru
випхнути v_zna:v_oru
виражати v_zna:v_oru:v_dav
виражатися v_oru
виразити v_zna:v_oru:v_dav
виразитися v_oru
вираховувати v_zna:v_dav
вираховуватися v_oru
вирахувати v_zna:v_oru:v_dav
вирахуватися v_oru
вирвати v_zna:v_oru:v_dav
вирватися v_oru:v_dav
виректи v_zna:v_dav
виривати v_zna:v_oru:v_dav
вириватися v_oru
виригати v_zna
виригати v_zna
виригнути v_zna
виригувати v_zna:v_oru:v_dav
виринати v_oru
виринути v_oru
вирисовувати v_zna:v_oru:v_dav
вирисовуватися v_oru
вирисувати v_zna:v_oru:v_dav
вирити v_zna:v_oru:v_dav
виритувати v_zna:v_oru:v_dav
вирихтовувати v_zna:v_oru:v_dav
вирихтувати v_zna:v_oru:v_dav
вирихтуватися v_oru
вирівнювати v_zna:v_oru:v_dav
вирівнюватися v_oru
вирівняти v_zna:v_oru:v_dav
вирівнятися v_oru
вирізати v_zna:v_oru:v_dav
вирізати v_zna:v_oru:v_dav
вирізатися v_oru
вирізатися v_oru
вирізнити v_zna:v_oru:v_dav
вирізнитися v_oru
вирізняти v_zna:v_oru:v_dav
вирізнятися v_oru
вирізувати v_zna:v_oru:v_dav
вирізуватися v_oru
вирізьбити v_zna:v_oru:v_dav
вирізьбитися v_oru
вирізьблювати v_zna:v_oru:v_dav
вирізьблюватися v_oru
вирікати v_zna:v_oru:v_dav
вирікатися v_rod
вирішати v_zna:v_oru:v_dav
вирішатися v_oru
вирішити v_inf:v_zna:v_oru:v_dav
вирішитися v_oru:v_dav
вирішувати v_inf:v_zna:v_oru:v_dav
вирішуватися v_oru
виробити v_zna:v_oru:v_dav
виробитися v_oru
вироблювати v_zna:v_oru:v_dav
вироблюватися v_oru
виробляти v_zna:v_oru:v_dav
вироблятися v_oru
вирозуміти v_zna
виростати v_oru
вирости v_oru
виростити v_zna:v_oru:v_dav
вирощувати v_zna:v_oru:v_dav
вирощуватися v_oru
вирубати v_zna:v_oru:v_dav
вирубати v_zna:v_oru:v_dav
вирубатися v_oru
вирубатися v_oru
вирубити v_zna:v_oru:v_dav
вирубитися v_oru
вирубувати v_zna:v_oru:v_dav
вирубуватися v_oru
вирувати v_oru
вирулювати v_oru
виручати v_zna:v_oru
виручити v_zna:v_oru
вирушати v_oru
вирушити v_oru
виряджати v_zna:v_oru
виряджатися v_oru
виряджувати v_zna:v_oru
вирядити v_zna:v_oru
вирядитися v_oru
виряжати v_zna
вирятовувати v_zna:v_oru:v_dav
вирятовуватися v_oru
вирятувати v_zna:v_oru:v_dav
вирятуватися v_oru
вирячати v_zna
вирячатися v_oru
вирячити v_zna
вирячувати v_zna
висаджувати v_zna:v_oru:v_dav
висаджуватися v_oru
висадити v_zna:v_oru:v_dav
висадитися v_oru
висалити v_zna:v_oru:v_dav
висалювати v_zna:v_oru:v_dav
висапати v_zna:v_oru:v_dav
висапатися v_oru
висапувати v_zna:v_oru:v_dav
висварити v_zna
висварювати v_zna
висватати v_zna:v_dav
висватувати v_zna:v_dav
висвердлити v_zna:v_oru:v_dav
висвердлювати v_zna:v_oru:v_dav
висвердлюватися v_oru
висвистати v_zna
висвистувати v_zna
висвідчати v_zna:v_oru:v_dav
висвідчати v_zna:v_oru:v_dav
висвідчити v_zna:v_oru:v_dav
висвіжити v_zna:v_oru:v_dav
висвіжитися v_oru
висвітити v_zna:v_oru:v_dav
висвітитися v_oru
висвітлити v_zna:v_oru:v_dav
висвітлитися v_oru
висвітлювати v_zna:v_oru:v_dav
висвітлюватися v_oru
висвічувати v_zna:v_oru:v_dav
висвічуватися v_oru
висвободити v_zna:v_oru:v_dav
висвятити v_zna:v_oru:v_dav
висвятитися v_oru
висвячувати v_zna:v_oru:v_dav
висвячуватися v_oru
виселити v_zna:v_oru
виселитися v_oru
виселяти v_zna:v_oru
виселятися v_oru
висиджувати v_zna:v_oru:v_dav
висиджуватися v_oru
висидіти v_zna:v_oru:v_dav
висидітися v_oru
висилати v_zna:v_oru:v_dav
висилатися v_oru:v_dav
висилити v_zna:v_oru:v_dav
висилитися v_oru
висилювати v_zna:v_oru:v_dav
висилюватися v_oru
висиляти v_zna:v_oru:v_dav
висилятися v_oru
висинити v_zna:v_oru:v_dav
висинитися v_oru
висиновити v_zna:v_oru:v_dav
висинювати v_zna:v_oru:v_dav
висинюватися v_oru
висипати v_zna:v_oru:v_dav
висипати v_zna:v_oru:v_dav
висипатися v_oru
висипатися v_oru
висисати v_zna:v_oru:v_dav
висисатися v_oru
висихати v_oru
висівати v_zna:v_oru
висіватися v_oru
висікати v_zna:v_oru:v_dav
висікатися v_oru
висікти v_zna:v_oru:v_dav
висіктися v_oru
висіти v_oru
висіювати v_zna:v_oru:v_dav
висіюватися v_oru
висіяти v_zna:v_oru:v_dav
висіятися v_oru
висказаний v_dav
висказати v_zna:v_oru:v_dav
висказувати v_zna:v_oru:v_dav
вискакувати v_oru
вискалити v_zna:v_dav
вискалитися v_oru
вискалювати v_zna:v_dav
вискалюватися v_oru
вискаляти v_zna:v_oru:v_dav
вискалятися v_oru
вискоблити v_zna:v_oru:v_dav
вискоблювати v_zna:v_oru:v_dav
вискоблюватися v_oru
висковзати v_oru
висковзнути v_oru
висковзувати v_oru
вискородити v_zna:v_oru:v_dav
вискочити v_oru:v_dav
вискребти v_zna:v_oru:v_dav
вискребтися v_oru
вискрібати v_zna:v_oru:v_dav
вискрібатися v_oru
вискубати v_zna:v_oru:v_dav
вискубнути v_zna:v_oru:v_dav
вискубти v_zna:v_oru:v_dav
вискубувати v_zna:v_oru:v_dav
вискубуватися v_oru
виславити v_zna:v_oru
виславляти v_zna:v_oru
вислати v_zna:v_oru:v_dav
вислати v_zna:v_oru:v_dav
вислизати v_oru:v_dav
вислизнути v_oru:v_dav
вислизувати v_oru:v_dav
висліджувати v_zna:v_oru:v_dav
висліджуватися v_oru
вислідити v_zna:v_oru:v_dav
висловити v_zna:v_oru:v_dav
висловитися v_oru
висловлений v_dav
висловлювати v_zna:v_oru:v_dav
висловлюватися v_oru:v_dav
вислужити v_zna:v_oru
вислужитися v_oru:v_dav
вислужувати v_zna:v_oru
вислужуватися v_oru:v_dav
вислухати v_zna
вислухати v_zna:v_oru
вислуховувати v_zna
вислухувати v_zna
висмажити v_zna:v_oru:v_dav
висмажитися v_oru
висмажувати v_zna:v_oru:v_dav
висмажуватися v_oru
висмалити v_zna:v_oru:v_dav
висмалитися v_oru
висмалювати v_zna:v_oru:v_dav
висмалюватися v_oru
висмикати v_zna:v_oru:v_dav
висмикати v_zna:v_oru:v_dav
висмикнути v_zna:v_dav
висмикувати v_zna:v_dav
висмикуватися v_oru
висміювати v_zna:v_oru
висміюватися v_oru
висміяти v_zna:v_oru
висмоктати v_zna:v_oru:v_dav
висмоктувати v_zna:v_oru:v_dav
висмоктуватися v_oru
висмолити v_zna:v_oru:v_dav
висмолитися v_oru
висмолювати v_zna:v_oru:v_dav
висмолюватися v_oru
виснажити v_zna:v_oru:v_dav
виснажитися v_oru
виснажувати v_zna:v_oru:v_dav
виснажуватися v_oru
висновувати v_zna
виснувати v_zna
виснути v_oru:v_dav
висовувати v_zna:v_oru:v_dav
висовуватися v_oru
високий v_oru
висолити v_zna:v_oru:v_dav
висолитися v_oru
висолоджувати v_zna:v_oru:v_dav
висолоджуватися v_oru
висолопити v_zna
висолоплювати v_zna
висолювати v_zna:v_oru:v_dav
висолюватися v_oru
висосувати v_zna:v_oru
висотати v_zna:v_oru:v_dav
висотатися v_oru
висотувати v_zna:v_oru:v_dav
висотуватися v_oru
височіти v_oru:v_dav
виспівати v_zna:v_oru:v_dav
виспівувати v_zna:v_oru:v_dav
виспівуватися v_oru
висповідати v_zna:v_dav
висповідатися v_dav
висрати v_zna:v_oru:v_dav
висріблити v_zna:v_oru:v_dav
висріблювати v_zna:v_oru:v_dav
виссати v_zna:v_oru:v_dav
виставати v_dav
виставити v_zna:v_oru:v_dav
виставитися v_oru
виставлений v_dav
виставляти v_zna:v_oru:v_dav
виставлятися v_oru:v_dav
висталити v_zna:v_oru:v_dav
вистановити v_zna:v_oru:v_dav
вистановитися v_oru
вистарити v_zna:v_oru:v_dav
вистарцювати v_zna:v_oru
вистарчати v_rod:v_dav
вистарчити v_rod:v_dav
вистачати v_rod:v_dav
вистачити v_rod:v_dav
вистежити v_zna:v_oru:v_dav
вистежувати v_zna:v_oru:v_dav
вистежуватися v_oru
вистелити v_zna:v_oru:v_dav
вистелитися v_oru:v_dav
вистелювати v_zna:v_oru:v_dav
вистелюватися v_oru:v_dav
вистеляти v_zna:v_oru:v_dav
вистелятися v_oru:v_dav
вистерегти v_zna:v_oru:v_dav
вистилати v_zna:v_oru:v_dav
вистилатися v_oru:v_dav
вистилізувати v_zna:v_oru:v_dav
вистинати v_zna:v_oru
вистоювати v_zna
вистояти v_zna:v_oru
вистраждати v_zna:v_oru
вистрелити v_zna:v_oru:v_dav
вистрелювати v_zna:v_oru:v_dav
вистрибувати v_oru
вистригати v_zna:v_oru:v_dav
вистригатися v_oru
вистригти v_zna:v_oru:v_dav
вистригтися v_oru
вистрілити v_oru:v_dav
вистрілювати v_zna:v_oru:v_dav
вистрілюватися v_oru
вистріляти v_zna:v_oru
вистріпати v_zna:v_oru:v_dav
вистріпатися v_oru
вистріпувати v_zna:v_oru:v_dav
вистріпуватися v_oru
вистроїти v_zna:v_oru
вистроїтися v_oru
вистромити v_zna:v_oru:v_dav
вистромитися v_oru
вистромлювати v_zna:v_oru:v_dav
вистромлюватися v_oru
вистромляти v_zna:v_oru:v_dav
вистромлятися v_oru
вистрочити v_zna:v_oru:v_dav
вистрочувати v_zna:v_oru:v_dav
вистрочуватися v_oru
вистроювати v_zna:v_oru:v_dav
вистроюватися v_oru
вистругати v_zna:v_oru:v_dav
вистругатися v_oru
вистругувати v_zna:v_oru:v_dav
вистругуватися v_oru
виструнчити v_zna:v_oru
виструнчитися v_oru
виструнчувати v_zna:v_oru:v_dav
виструнчуватися v_oru
вистуджувати v_zna:v_oru:v_dav
вистуджуватися v_oru
вистудити v_zna:v_oru:v_dav
вистудитися v_oru
вистудіювати v_zna
вистукати v_zna
вистукувати v_zna:v_oru:v_dav
вистукуватися v_oru
виступати v_oru:v_dav
виступити v_oru
вистьобати v_zna:v_oru:v_dav
вистьобувати v_zna:v_oru:v_dav
вистьобуватися v_oru
висувати v_zna:v_oru:v_dav
висуватися v_oru:v_dav
висуджувати v_zna:v_oru:v_dav
висуджуватися v_oru
висудити v_zna:v_oru:v_dav
висукати v_zna:v_oru:v_dav
висукатися v_oru
висукувати v_zna:v_oru:v_dav
висукуватися v_oru
висунений v_dav
висунути v_zna:v_oru:v_dav
висунутий v_dav
висунутися v_oru
висурмити v_zna:v_oru
висушити v_zna:v_oru:v_dav
висушитися v_oru
висушувати v_zna:v_oru:v_dav
висушуватися v_oru
висякати v_zna:v_oru
висьорбати v_zna:v_oru:v_dav
висьорбнути v_zna:v_oru:v_dav
висьорбувати v_zna:v_oru:v_dav
витавровувати v_zna:v_oru:v_dav
витаврувати v_zna:v_oru:v_dav
витанцювати v_zna:v_oru:v_dav
витанцюватися v_oru
витанцьовувати v_zna:v_oru:v_dav
витанцьовуватися v_oru
витаровувати v_zna:v_oru:v_dav
витарувати v_zna:v_oru:v_dav
витаскати v_zna:v_oru:v_dav
витаскатися v_oru
витаскувати v_zna:v_oru:v_dav
витаскуватися v_oru
витати v_oru
витатуйовувати v_zna:v_oru:v_dav
витатуювати v_zna
витверджувати v_zna:v_oru:v_dav
витверджуватися v_oru
витвердити v_zna:v_oru:v_dav
витвережувати v_zna:v_oru:v_dav
витвережуватися v_oru
витверезити v_zna:v_oru:v_dav
витверезитися v_oru
витворити v_zna:v_oru:v_dav
витворитися v_oru
витворювати v_zna:v_oru:v_dav
витворюватися v_oru
витворяти v_zna:v_oru:v_dav
витворятися v_oru
витекти v_oru
вительбушити v_zna:v_oru:v_dav
витеребити v_zna:v_oru
витеребитися v_oru
витереблювати v_zna:v_oru
витереблюватися v_oru
витерпіти v_zna
витерплювати v_zna
витерти v_zna:v_oru:v_dav
витертися v_oru
витесати v_zna:v_oru:v_dav
витесувати v_zna:v_oru:v_dav
вити v_oru
вити v_zna:v_oru:v_dav
витикати v_zna:v_oru:v_dav
витикати v_zna:v_oru:v_dav
витикатися v_oru
витинати v_zna:v_oru:v_dav
витинатися v_oru
витиньковувати v_zna:v_oru:v_dav
витинькувати v_zna:v_oru:v_dav
витирати v_zna:v_oru:v_dav
витиратися v_oru
витискати v_zna:v_oru:v_dav
витискати v_zna:v_oru:v_dav
витискатися v_oru
витискувати v_zna:v_oru:v_dav
витискуватися v_oru
витиснути v_zna:v_oru:v_dav
витиснутися v_oru
витися v_oru
витичити v_zna:v_oru:v_dav
витичувати v_zna:v_oru:v_dav
витікати v_oru
витіпати v_zna
витіпувати v_zna
витіснити v_zna:v_oru:v_dav
витіснитися v_oru
витісняти v_zna:v_oru:v_dav
витіснятися v_oru
витісувати v_zna:v_oru:v_dav
витісуватися v_oru
виткати v_zna:v_oru:v_dav
виткатися v_oru
виткнути v_zna:v_oru:v_dav
виткнутися v_oru
витлумачити v_zna:v_oru:v_dav
витлумачитися v_oru
витлумачувати v_zna:v_oru:v_dav
витлумачуватися v_oru
витлумити v_zna:v_oru:v_dav
витлумляти v_zna:v_oru:v_dav
витнути v_zna:v_oru:v_dav
витнутися v_oru
витовкмачити v_zna:v_oru:v_dav
витовкмачувати v_zna:v_oru:v_dav
витовкти v_zna:v_oru:v_dav
витовкувати v_zna:v_oru:v_dav
витовмачити v_zna:v_oru:v_dav
витовмачувати v_zna:v_oru:v_dav
витолковувати v_zna:v_oru:v_dav
витолкувати v_zna:v_oru:v_dav
витолочити v_zna:v_oru:v_dav
витолочувати v_zna:v_oru:v_dav
витолочуватися v_oru
витончити v_zna:v_oru:v_dav
витончитися v_oru
витончувати v_zna:v_oru:v_dav
витончуватися v_oru
витоншувати v_zna:v_oru:v_dav
витопити v_zna:v_oru:v_dav
витопитися v_oru
витоплювати v_zna:v_oru:v_dav
витоплюватися v_oru
витоптати v_zna:v_oru:v_dav
витоптатися v_oru
витоптувати v_zna:v_oru:v_dav
витоптуватися v_oru
виторговувати v_zna:v_oru:v_dav
виторгувати v_zna:v_oru:v_dav
виторочити v_zna:v_oru:v_dav
виторочитися v_oru
виторочувати v_zna:v_oru:v_dav
виторочуватися v_oru
виточити v_zna:v_oru:v_dav
виточитися v_oru
виточковувати v_zna:v_oru:v_dav
виточкувати v_zna:v_oru:v_dav
виточувати v_zna:v_oru:v_dav
виточуватися v_oru
витравити v_zna:v_oru:v_dav
витравитися v_oru
витравлювати v_zna:v_oru:v_dav
витравлюватися v_oru
витравляти v_zna:v_oru:v_dav
витравлятися v_oru
витралити v_zna:v_oru:v_dav
витралювати v_zna:v_oru:v_dav
витралюватися v_oru
витрамбовувати v_zna:v_oru:v_dav
витрамбовуватися v_oru
витрамбувати v_zna:v_oru:v_dav
витратити v_zna:v_oru
витратитися v_oru
витрачати v_zna:v_oru:v_dav
витрачатися v_oru
витрачувати v_zna
витребовувати v_zna
витребувати v_zna:v_oru:v_dav
витребуватися v_oru
витренувати v_zna:v_oru:v_dav
витримати v_zna
витримувати v_zna
витримуватися v_oru
витріпати v_zna:v_oru:v_dav
витріпувати v_zna:v_oru:v_dav
витріпуватися v_oru
витріщати v_zna
витріщатися v_oru
витріщити v_zna
витріщитися v_oru
витріщувати v_zna
витрощити v_zna:v_oru:v_dav
витрубити v_zna
витрублювати v_zna
витрудити v_zna:v_oru
витруїти v_zna:v_oru:v_dav
витруїтися v_oru
витрусити v_zna:v_oru:v_dav
витруситися v_oru
витрутити v_zna:v_oru
витрушувати v_zna:v_oru:v_dav
витрушуватися v_oru
витруювати v_zna:v_oru:v_dav
витрясати v_zna:v_oru:v_dav
витрясатися v_oru
витрясти v_zna:v_oru:v_dav
витрястися v_oru
витуманити v_zna:v_oru:v_dav
витуплювати v_zna:v_oru:v_dav
витуплюватися v_oru
витупувати v_oru
витупцювати v_oru
витупцьовувати v_oru
витурити v_zna:v_oru:v_dav
витурлити v_zna:v_oru:v_dav
витурювати v_zna:v_oru:v_dav
витуряти v_zna:v_oru:v_dav
витягати v_zna
витягати v_zna:v_oru:v_dav
витягатися v_oru
витягнути v_zna:v_oru:v_dav
витягнутися v_oru
витягти v_zna:v_oru:v_dav
витягтися v_oru
витягувати v_zna:v_oru:v_dav
витягуватися v_oru
витяти v_zna:v_oru:v_dav
витятися v_oru
витьохкувати v_zna:v_oru:v_dav
виуджувати v_zna:v_oru:v_dav
виуджуватися v_oru
виудити v_zna:v_oru
виучити v_zna:v_oru
виучувати v_zna
вифантазовувати v_zna
вифантазувати v_zna
вифарбувати v_zna:v_oru:v_dav
вифарбуватися v_oru
виферментовувати v_zna:v_oru:v_dav
виферментувати v_zna:v_oru:v_dav
виформовувати v_zna:v_oru:v_dav
виформовуватися v_oru
виформувати v_zna:v_oru:v_dav
виформуватися v_oru
вихапати v_zna:v_oru
вихапувати v_zna:v_oru
вихаркати v_zna
вихаркнути v_zna
вихаркувати v_zna
вихати v_oru
вихвалити v_zna
вихвалитися v_oru
вихвалювати v_zna
вихвалюватися v_oru
вихваляти v_zna:v_dav
вихвалятися v_oru:v_dav
вихватити v_zna:v_oru
вихвачувати v_zna:v_oru
вихворіти v_oru
вихилити v_zna:v_oru:v_dav
вихилювати v_zna:v_oru:v_dav
вихиляти v_zna:v_oru:v_dav
вихилятися v_oru
вихитувати v_oru:v_dav
вихитуватися v_oru
вихіснувати v_zna
вихлебтати v_zna:v_oru
вихлебтувати v_zna:v_oru
вихлептати v_zna:v_oru
вихлептувати v_zna:v_oru
вихлестати v_zna:v_oru
вихлистати v_zna:v_oru:v_dav
вихлистувати v_zna:v_oru:v_dav
вихлюпати v_zna:v_oru:v_dav
вихлюпатися v_oru
вихлюпнути v_zna:v_oru:v_dav
вихлюпнутися v_oru
вихлюпувати v_zna:v_oru:v_dav
вихлюпуватися v_oru
вихляти v_oru:v_dav
вихльостати v_zna:v_oru:v_dav
вихльостувати v_zna:v_oru:v_dav
вихнути v_oru
виховати v_zna:v_oru:v_dav
виховатися v_oru
виховувати v_zna:v_oru:v_dav
виховуватися v_oru
виходжувати v_zna:v_oru:v_dav
виходити v_inf:v_zna:v_oru:v_dav
виходити v_zna:v_oru
вихолоджувати v_zna:v_oru:v_dav
вихолоджуватися v_oru
вихолодити v_zna:v_oru:v_dav
вихолодитися v_oru
вихолостити v_zna:v_oru:v_dav
вихолоститися v_oru
вихолощувати v_zna:v_oru:v_dav
вихолощуватися v_oru
вихопити v_zna:v_oru
вихопитися v_oru
вихоплювати v_zna:v_oru
вихоплюватися v_oru
вихрестити v_zna:v_oru
вихрещувати v_zna:v_oru
вихристити v_zna:v_oru
вихрищувати v_zna:v_oru
вихрякати v_zna:v_oru
вихрякнути v_zna:v_oru
вихрякувати v_zna:v_oru
вицвірінькувати v_zna
вицвяховувати v_zna:v_oru:v_dav
вицвяхувати v_zna:v_oru:v_dav
вициганити v_zna:v_oru
вициганювати v_zna:v_oru
виціджувати v_zna:v_oru:v_dav
виціджуватися v_oru
