# General replacement rules, used by org.languagetool.rules.de.SimpleReplaceRule
# Format: UTF-8, one entry per line in format: <phrase>=<replacement>\t[message]
# <phrase> is what the text is searched for. <replacement> is the suggestion shown to the user.
# [message] is an optional message shown to the user (optional).
# Ensure the message (if applicable) is separated by a tab from the last suggestion.
# NOTE: Do not use for words that users might have added to their spelling dictionary,
#       as this rule would then still be triggered.
# <phrase> is searched for case-insensitively.
# Both <phrase> and <replacement> can contain more than one value when separated by '|'.
# Example:
# incorrect=suggestion one|suggestion two
Peter Magyar=Péter Magyar
Galao=Galão
Katz- und Mausspiel=Katz-und-Maus-Spiel
Katz- und Maus-Spiel=Katz-und-Maus-Spiel
Katz und Maus-Spiel=Katz-und-Maus-Spiel
Katz und Mausspiel=Katz-und-Maus-Spiel
Ryoyu Kobayashi=Ryōyū Kobayashi
Ryoyu Kobayashis=Ryōyū Kobayashis
Imamoglu=İmamoğlu
Imamoglus=İmamoğlus
Ekrem Imamoglu=Ekrem İmamoğlu
Ekrem Imamoglus=Ekrem İmamoğlus
Armeleutegericht=Arme-Leute-Gericht
Armeleutegerichte=Arme-Leute-Gerichte
Armeleutegerichts=Arme-Leute-Gerichts
Armeleutegerichtes=Arme-Leute-Gerichtes
Armeleutegerichten=Arme-Leute-Gerichten
Lancome=Lancôme	Meinten Sie die Kosmetikmarke?
reverse charge verfahren=Reverse-Charge-Verfahren
reverse charge verfahrens=Reverse-Charge-Verfahrens
Pere Lachaise=Père Lachaise
Havanna Club=Havana Club	Meinten Sie die beliebte Rummarke?
Havana Club Anejo=Havana Club Añejo
30 Seconds to Mars=Thirty Seconds to Mars	Meinten Sie die Musikband?
Aleksandar Pavlovic=Aleksandar Pavlović	Meinten Sie den Fußballer?
Jose Raul Mulino=José Raúl Mulino
Raul Mulino=Raúl Mulino
USHandelsgigant=US-Handelsgigant
USHandelsgiganten=US-Handelsgiganten
Cesky Krumlov=Český Krumlov
Raphael Glucksmann=Raphaël Glucksmann
ISKämpfer=IS-Kämpfer
ISKämpfers=IS-Kämpfers
ISKämpfern=IS-Kämpfern
Augenmakeup=Augen-Make-up
Augenmakeups=Augen-Make-ups
Restauranttip=Restauranttipp
Restauranttips=Restauranttipps
Eric Ciotti=Éric Ciotti
Luis Figo=Luís Figo
Antonio Costa=António Costa
Kompentz=Kompetenz
Andre Schürrle=André Schürrle
Andre Schürrles=André Schürrles
Alcudia=Alcúdia
Alcudias=Alcúdias
Port de Pollenca=Port de Pollença
Port de Pollencas=Port de Pollenças
Ruben Vargas=Rubén Vargas
La Defense Arena=La Défense Arena
Alvaro Morata=Álvaro Morata
Hakan Calhanoglu=Hakan Çalhanoğlu
Vincent Bollore=Vincent Bolloré
Kukulkan=K'uk'ulkan	Meinten Sie die gefiederte Schlange der Maya?
Bohéme=Bohème|Boheme	Meinten Sie "Boheme" (auch: "Bohème"), das Milieu großstädtischer Künstler und Intellektueller?
Al Qaida=al-Qaida|Al Kaida
Al-Kaida=Al Kaida|al-Qaida
Russländer=Russe|Russen	Meinten Sie "Russe(n)" im ethnisch-nationalen Sinne? "Russländer" verwendet man nur im staatsbürgerlichen Sinne.
Russländers=Russen	Meinten Sie "Russe(n)" im ethnisch-nationalen Sinne? "Russländer" verwendet man nur im staatsbürgerlichen Sinne.
Russländern=Russen	Meinten Sie "Russe(n)" im ethnisch-nationalen Sinne? "Russländer" verwendet man nur im staatsbürgerlichen Sinne.
Russländerin=Russin	Meinten Sie "Russin" im ethnisch-nationalen Sinne? "Russländerin" verwendet man nur im staatsbürgerlichen Sinne.
Russländerinnen=Russinnen	Meinten Sie "Russinnen" im ethnisch-nationalen Sinne? "Russländerinnen" verwendet man nur im staatsbürgerlichen Sinne.
russländisch=russisch	Meinten Sie "russisch" im ethnisch-nationalen Sinne? "Russländisch" verwendet man nur im staatsbürgerlichen Sinne.
russländische=russische	Meinten Sie "russisch" im ethnisch-nationalen Sinne? "Russländisch" verwendet man nur im staatsbürgerlichen Sinne.
russländischer=russischer	Meinten Sie "russisch" im ethnisch-nationalen Sinne? "Russländisch" verwendet man nur im staatsbürgerlichen Sinne.
russländisches=russisches	Meinten Sie "russisch" im ethnisch-nationalen Sinne? "Russländisch" verwendet man nur im staatsbürgerlichen Sinne.
russländischen=russischen	Meinten Sie "russisch" im ethnisch-nationalen Sinne? "Russländisch" verwendet man nur im staatsbürgerlichen Sinne.
russländischem=russischem	Meinten Sie "russisch" im ethnisch-nationalen Sinne? "Russländisch" verwendet man nur im staatsbürgerlichen Sinne.
Pro und Kontra Liste=Pro-und-Kontra-Liste
Pro & Kontra Liste=Pro-und-Kontra-Liste
Pro und Kontra Listen=Pro-und-Kontra-Listen
Pro & Kontra Listen=Pro-und-Kontra-Listen
Tasan-Funke=Taşan-Funke
Tasan-Funkes=Taşan-Funkes
EUfeindlich=EU-feindlich
EUfeindliche=EU-feindliche
EUfeindlichem=EU-feindlichem
EUfeindlichen=EU-feindlichen
EUfeindlicher=EU-feindlicher
EUfeindliches=EU-feindliches
Remy Cointreau=Rémy Cointreau
Chloe Grace Moretz=Chloë Grace Moretz
Place SaintLambert=Place Saint-Lambert
Créme de la Créme=Crème de la Crème
Créme=Creme|Crème	Meinten Sie 'Creme' oder (die französische Schreibweise) 'Crème'?
Crémes=Cremes|Crèmes	Meinten Sie 'Cremes' oder (die französische Schreibweise) 'Crèmes'?
# Changes as per the 2024 German spelling reform added below
Spagetti=Spaghetti	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Spaghetti" korrekt.
Tunfisch=Thunfisch	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Thunfisch" korrekt.
Tunfischs=Thunfischs	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Thunfischs" korrekt.
Tunfische=Thunfische	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Thunfische" korrekt.
Tunfisches=Thunfisches	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Thunfisches" korrekt.
Tunfischen=Thunfischen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Thunfischen" korrekt.
Exposee=Exposé	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Exposé" korrekt.
Exposees=Exposés	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Exposés" korrekt.
Jogurt=Joghurt	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Joghurt" korrekt.
Jogurts=Joghurts	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Joghurts" korrekt.
Fruchtjogurt=Joghurt	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Fruchtjoghurt" korrekt.
Fruchtjogurts=Joghurts	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Fruchtjoghurts" korrekt.
Panter=Panther	Nach den offiziellen Rechtschreibanpassungen von 2024 ist für das Tier nur noch "Panther" korrekt.
Panters=Panthers	Nach den offiziellen Rechtschreibanpassungen von 2024 ist für das Tier nur noch nur noch "Panthers" korrekt.
Pantern=Panthern	Nach den offiziellen Rechtschreibanpassungen von 2024 ist für das Tier nur noch nur noch "Panthern" korrekt.
# Changes for English loanwords as per the 2024 German spelling reform added below
Ladies=Ladys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Parties=Partys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Babies=Babys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Hobbies=Hobbys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Lobbies=Lobbys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Rowdies=Rowdys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Stories=Storys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Communities=Communitys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Teddies=Teddys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Shanties=Shantys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Blackberries=Blackberrys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Buddies=Buddys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Buggies=Buggys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Caddies=Caddys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
#Securities=Securitys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Comedies=Comedys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Daddies=Daddys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Mommies=Mommys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Nannies=Nannys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
#Policies=Policys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen)
Rallies=Rallys	Nach den offiziellen Rechtschreibanpassungen von 2024 wird der Plural von Substantiven aus dem Englischen, die auf -y enden, im Deutschen auf "-ys" gebildet (Ausnahme: Eigennamen) "-ys" gebildet (Ausnahme: Eigennamen)
Buklee=Bouclé	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Bouclé" korrekt.
Buklees=Bouclés	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Bouclés" korrekt.
Busuki=Bouzouki	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Bouzouki" korrekt.
Busukis=Bouzoukis	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Bouzoukis" korrekt.
Dekollettee=Dekolleté	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Dekolleté" korrekt.
Dekollettees=Dekolletés	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Dekolletés" korrekt.
Dublee=Double	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Double" korrekt.
Dublee=Double	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Double" korrekt.
Dublees=Doubles	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Doubles" korrekt.
Frappee=Frappé	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Frappé" korrekt.
Frappees=Frappés	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Frappés" korrekt.
Frigidär=Kühlschrank	Nach den offiziellen Rechtschreibanpassungen von 2024 sagt man nur noch "Kühlschrank".
Frigidäre=Kühlschränke	Nach den offiziellen Rechtschreibanpassungen von 2024 sagt man nur noch "Kühlschränke".
Frigidären=Kühlschränken	Nach den offiziellen Rechtschreibanpassungen von 2024 sagt man nur noch "Kühlschränken".
Glacee=Glacé|Glace	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Glacé/Glace" korrekt.
Glacees=Glacés|Glaces	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Glacés/Glaces" korrekt.
Hämorriden=Hämorrhoiden	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Hämorrhoiden" korrekt.
Katode=Kathode	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Kathode" korrekt.
Katoden=Kathoden	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Kathoden" korrekt.
Kurtage=Courtage	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Courtage" korrekt.
Kusine=Cousine	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Cousine" korrekt.
Kusinen=Cousinen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Cousinen" korrekt.
Dränage=Drainage	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Drainage" korrekt.
Dränagen=Drainagen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Drainagen" korrekt.
Lymphdränage=Lymphdrainage	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Lymphdrainage" korrekt.
Lymphdränagen=Lymphdrainagen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Lymphdrainagen" korrekt.
photogen=fotogen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "fotogen" korrekt.
photogene=fotogene	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "fotogene" korrekt.
photogenem=fotogenem	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "fotogenem" korrekt.
photogenen=fotogenen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "fotogenen" korrekt.
photogener=fotogener	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "fotogener" korrekt.
photogenes=fotogenes	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "fotogenes" korrekt.
Polonäse=Polonaise	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Polonaise" korrekt.
Polonäsen=Polonaisen	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Polonaisen" korrekt.
Pralinee=Praline|Praliné	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Praline/Praliné" korrekt.
Pralinees=Pralinen|Pralinés	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Pralinen/Pralinés" korrekt.
Sorbett=Sorbet	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Sorbet" korrekt.
Sorbetts=Sorbets	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Sorbets" korrekt.
Soufflee=Soufflé	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Soufflé" korrekt.
Soufflees=Soufflés	Nach den offiziellen Rechtschreibanpassungen von 2024 ist nur noch "Soufflés" korrekt.
Neue Züricher Zeitung=Neue Zürcher Zeitung
Neuen Züricher Zeitung=Neuen Zürcher Zeitung
Puh der Bär=Pu der Bär
Poo der Bär=Pu der Bär
Fettarmekost=fettarme Kost
Gutelaune=gute Laune
Hugo Ekitike=Hugo Ekitiké
Hugo Ekitikes=Hugo Ekitikés
Bloc Quebecois=Bloc Québécois
Le Meridien=Le Méridien
Lauren Sanchez=Lauren Sánchez
Edin Hasanovic=Edin Hasanović
Francois Bayrou=François Bayrou
Francois Bayrous=François Bayrous
Calin Georgescu=Călin Georgescu
Fließjacke=Fleecejacke	Meinten Sie 'Fleecejacke'? Fleece ist ein Stoff aus Polyester-Mikrofasern.
Fließjacken=Fleecejacken	Meinten Sie 'Fleecejacken'? Fleece ist ein Stoff aus Polyester-Mikrofasern.
Lugenbrief=Lügenbrief
Lugenbriefe=Lügenbriefe
Lugenbriefs=Lügenbriefs
Lugenbriefes=Lügenbriefes
Lugenbriefen=Lügenbriefen
mhdt.=mhd.	Meinten Sie 'mhd.', die Abkürzung für das Adjektiv 'mittelhochdeutsch'?
Hämmoroiden=Hämorrhoiden	Meinten Sie 'Hämorrhoiden'?
