# Mapping en-US <-> en-GB. The spell checker will *not* use this file to decide
# which words are correct, but only to display a more specific error message in case
# a user writing an en-US text uses a en-GB word and vice versa.
absolutize;absolutise
digitalizing;digitalising
digitization;digitisation
digitize;digitise
digitized;digitised
digitizer;digitiser
digitizers;digitisers
digitizes;digitises
digitizing;digitising
dimerization;dimerisation
dimerizations;dimerisations
dimerize;dimerise
dimerized;dimerised
dimerizes;dimerises
dimerizing;dimerising
diphthongize;diphthongise
diphthongized;diphthongised
diphthongizes;diphthongises
diphthongizing;diphthongising
discoloration;discolouration
discolorations;discolourations
discretize;discretise
discretized;discretised
discretizes;discretises
discretizing;discretising
disharmonize;disharmonise
disharmonized;disharmonised
disharmonizes;disharmonises
disharmonizing;disharmonising
dishonor;dishonour
dishonorable;dishonourable
dishonorably;dishonourably
dishonored;dishonoured
dishonoring;dishonouring
dishonors;dishonours
disorganization;disorganisation
disorganize;disorganise
disorganized;disorganised
disorganizes;disorganises
disorganizing;disorganising
dispauperize;dispauperise
dispauperized;dispauperised
dispauperizes;dispauperises
dispauperizing;dispauperising
disulfide;disulphide
disulfides;disulphides
divinization;divinisation
divinize;divinise
divinized;divinised
divinizes;divinises
divinizing;divinising
dogmatization;dogmatisation
dogmatize;dogmatise
dogmatized;dogmatised
dogmatizes;dogmatises
dogmatizing;dogmatising
dog-paddle;doggy-paddle
dog-paddled;doggy-paddled
dog-paddles;doggy-paddles
dog-paddling;doggy-paddling
dollarize;dollarise
dollarized;dollarised
dollarizes;dollarises
dollarizing;dollarising
dolomitize;dolomitise
dolomitized;dolomitised
dolomitizes;dolomitises
dolomitizing;dolomitising
donut;doughnut
donuts;doughnuts
draft;draught
drafted;draughted
drafting;draughting
draftman;draughtsman
draftmen;draughtsmen
drafts;draughts
dramatizable;dramatisable
dramatization;dramatisation
dramatizations;dramatisations
dramatize;dramatise
dramatized;dramatised
dramatizer;dramatiser
dramatizers;dramatisers
dramatizes;dramatises
dramatizing;dramatising
dualize;dualise
dualized;dualised
dualizes;dualises
dualizing;dualising
dyslipidemia;dyslipidaemia
dyslipidemias;dyslipidaemias
ebonize;ebonise
ebonized;ebonised
ebonizes;ebonises
ebonizing;ebonising
economize;economise
economized;economised
economizer;economiser
economizers;economisers
economizes;economises
economizing;economising
edematous;oedematous
editorialization;editorialisation
editorialize;editorialise
editorialized;editorialised
editorializer;editorialiser
editorializers;editorialisers
editorializes;editorialises
editorializing;editorialising
effeminize;effeminise
effeminized;effeminised
effeminizes;effeminises
effeminizing;effeminising
eggplant;aubergine
egotize;egotise
egotized;egotised
egotizes;egotises
egotizing;egotising
Egyptianize;Egyptianise
Egyptianized;Egyptianised
Egyptianizes;Egyptianises
Egyptianizing;Egyptianising
elasticize;elasticise
elasticized;elasticised
elasticizes;elasticises
elasticizing;elasticising
electrolyze;electrolyse
electrolyzed;electrolysed
electrolyzes;electrolyses
electrolyzing;electrolysing
elegize;elegise
elegized;elegised
elegizes;elegises
elegizing;elegising
emblematize;emblematise
emblematized;emblematised
emblematizes;emblematises
emblematizing;emblematising
embolization;embolisation
embolizations;embolisations
embolize;embolise
embolized;embolised
embolizes;embolises
embolizing;embolising
emotionalize;emotionalise
emotionalized;emotionalised
emotionalizes;emotionalises
emotionalizing;emotionalising
empathize;empathise
empathized;empathised
empathizes;empathises
empathizing;empathising
emphasize;emphasise
emphasized;emphasised
emphasizes;emphasises
emphasizing;emphasising
encyclopedia;encyclopaedia
encyclopedias;encyclopaedias
endeavor;endeavour
endeavored;endeavoured
endeavoring;endeavouring
endeavors;endeavours
energize;energise
energized;energised
energizes;energises
energizing;energising
enolizable;enolisable
enolization;enolisation
enroll;enrol
enrolls;enrols
enrolled;enroled
enrolling;enroling
enrollment;enrolment
enrollments;enrolments
eon;aeon
eons;aeons
epicenter;epicentre
epicenters;epicentres
epimerize;epimerise
epimerized;epimerised
epimerizes;epimerises
epimerizing;epimerising
episcopize;episcopise
episcopized;episcopised
episcopizes;episcopises
episcopizing;episcopising
epithelialize;epithelialise
epithelialized;epithelialised
epithelializes;epithelialises
epithelializing;epithelialising
epitomize;epitomise
epitomized;epitomised
epitomizes;epitomises
epitomizing;epitomising
epoxidize;epoxidise
epoxidized;epoxidised
epoxidizes;epoxidises
epoxidizing;epoxidising
equaled;equalled
equaling;equalling
equalization;equalisation
equalize;equalise
equalized;equalised
equalizer;equaliser
equalizers;equalisers
equalizes;equalises
equalizing;equalising
erodible;erodable
eroticize;eroticise
eroticized;eroticised
eroticizes;eroticises
eroticizing;eroticising
erotize;erotise
erotized;erotised
erotizes;erotises
erotizing;erotising
esophagi;oesophagi
esophagus;oesophagus
esophaguses;oesophaguses
essentialize;essentialise
essentialized;essentialised
essentializes;essentialises
essentializing;essentialising
esthetician;aesthetician
estheticians;aestheticians
estrogen;oestrogen
estrus;oestrus
eternalize;eternalise
eternalized;eternalised
eternalizes;eternalises
eternalizing;eternalising
eternize;eternise
eternized;eternised
eternizes;eternises
eternizing;eternising
etherealize;etherealise
etherealized;etherealised
etherealizes;etherealises
etherealizing;etherealising
etherize;etherise
etherized;etherised
etherizes;etherises
etherizing;etherising
ethicize;ethicise
ethicized;ethicised
ethicizes;ethicises
ethicizing;ethicising
etiologies;aetiologies
etiology;aetiology
etymologize;etymologise
etymologized;etymologised
etymologizes;etymologises
etymologizing;etymologising
eulogize;eulogise
eulogized;eulogised
eulogizes;eulogises
eulogizing;eulogising
euphemize;euphemise
euphemized;euphemised
euphemizes;euphemises
euphemizing;euphemising
euphonize;euphonise
euphonized;euphonised
euphonizes;euphonises
euphonizing;euphonising
Europeanized;Europeanised
euthanize;euthanise
euthanized;euthanised
euthanizes;euthanises
euthanizing;euthanising
evangelization;evangelisation
evangelize;evangelise
evangelized;evangelised
evangelizer;evangeliser
evangelizers;evangelisers
evangelizes;evangelises
evangelizing;evangelising
exagram;exagramme
exagrams;exagrammes
exaliter;exalitre
exaliters;exalitres
exameter;exametre
exameters;exametres
exorcize;exorcise
exorcized;exorcised
exorcizes;exorcises
exorcizing;exorcising
experimentalize;experimentalise
experimentalized;experimentalised
experimentalizes;experimentalises
experimentalizing;experimentalising
extemporization;extemporisation
extemporize;extemporise
extemporized;extemporised
extemporizes;extemporises
extemporizing;extemporising
exteriorization;exteriorisation
externalization;externalisation
externalizations;externalisations
externalize;externalise
externalized;externalised
externalizes;externalises
externalizing;externalising
fabulize;fabulise
fabulized;fabulised
fabulizes;fabulises
fabulizing;fabulising
factionalize;factionalise
factionalized;factionalised
factionalizes;factionalises
factionalizing;factionalising
factorizable;factorisable
factorization;factorisation
factorize;factorise
factorized;factorised
factorizes;factorises
factorizing;factorising
familiarization;familiarisation
familiarize;familiarise
familiarized;familiarised
familiarizes;familiarises
familiarizing;familiarising
fanaticize;fanaticise
fanaticized;fanaticised
fanaticizes;fanaticises
fanaticizing;fanaticising
fantasize;fantasise
fantasized;fantasised
fantasizes;fantasises
fantasizing;fantasising
favor;favour
favorable;favourable
favorably;favourably
favored;favoured
favoring;favouring
favorite;favourite
favorites;favourites
favors;favours
feces;faeces
federalization;federalisation
federalize;federalise
federalized;federalised
federalizes;federalises
federalizing;federalising
feminization;feminisation
feminize;feminise
feminized;feminised
feminizes;feminises
feminizing;feminising
femtogram;femtogramme
femtograms;femtogrammes
femtoliter;femtolitre
femtoliters;femtolitres
femtometer;femtometre
femtometers;femtometres
feralized;feralised
fermentor;fermenter
fermentors;fermenters
fertilizable;fertilisable
fertilization;fertilisation
fertilize;fertilise
fertilized;fertilised
fertilizer;fertiliser
fertilizers;fertilisers
fertilizes;fertilises
fertilizing;fertilising
fetal;foetal
fetishize;fetishise
fetishized;fetishised
fetishizes;fetishises
fetishizing;fetishising
fetus;foetus
fetuses;foetuses
feudalization;feudalisation
feudalize;feudalise
feudalized;feudalised
feudalizes;feudalises
feudalizing;feudalising
fiber;fibre
fiberize;fiberise
fiberized;fiberised
fiberizes;fiberises
fiberizing;fiberising
fibers;fibres
fiberboard;fibreboard
fiberboards;fibreboards
fictionalization;fictionalisation
fictionalizations;fictionalisations
fictionalize;fictionalise
fictionalized;fictionalised
fictionalizes;fictionalises
fictionalizing;fictionalising
finalization;finalisation
finalize;finalise
finalized;finalised
finalizes;finalises
finalizing;finalising
Finlandize;Finlandise
Finlandized;Finlandised
Finlandizes;Finlandises
Finlandizing;Finlandising
firetruck;fire engine
firetrucks;fire engines
flavor;flavour
flavored;flavoured
flavoring;flavouring
flavorings;flavourings
flavors;flavours
fluidization;fluidisation
fluidizer;fluidiser
fluidizers;fluidisers
focalize;focalise
focalized;focalised
focalizes;focalises
focalizing;focalising
focuses;focusses
focusing;focussing
fontanel;fontanelle
formalizable;formalisable
formalization;formalisation
formalize;formalise
formalized;formalised
formalizer;formaliser
formalizers;formalisers
formalizes;formalises
formalizing;formalising
formularize;formularise
formularized;formularised
formularizes;formularises
formularizing;formularising
formulize;formulise
formulized;formulised
formulizes;formulises
formulizing;formulising
fossilization;fossilisation
fossilize;fossilise
fossilized;fossilised
fossilizes;fossilises
fossilizing;fossilising
fractionalization;fractionalisation
fractionalize;fractionalise
fractionalized;fractionalised
fractionalizes;fractionalises
fractionalizing;fractionalising
fractionize;fractionise
fractionized;fractionised
fractionizes;fractionises
fractionizing;fractionising
fraternization;fraternisation
fraternize;fraternise
fraternized;fraternised
fraternizer;fraterniser
fraternizers;fraternisers
fraternizes;fraternises
fraternizing;fraternising
fueled;fuelled
fueling;fuelling
fulfill;fulfil
fulfills;fulfils
fulfillment;fulfilment
functionalization;functionalisation
functionalize;functionalise
functionalized;functionalised
functionalizes;functionalises
functionalizing;functionalising
funneled;funnelled
funneling;funnelling
gaelicize;gaelicise
gaelicized;gaelicised
gaelicizes;gaelicises
gaelicizing;gaelicising
Gallicization;Gallicisation
Gallicize;Gallicise
Gallicized;Gallicised
Gallicizes;Gallicises
Gallicizing;Gallicising
galvanization;galvanisation
galvanize;galvanise
galvanized;galvanised
galvanizer;galvaniser
galvanizers;galvanisers
galvanizes;galvanises
galvanizing;galvanising
gastroesophageal;gastro-oesophageal
gelatinize;gelatinise
gelatinized;gelatinised
gelatinizer;gelatiniser
gelatinizers;gelatinisers
gelatinizes;gelatinises
gelatinizing;gelatinising
generalizability;generalisability
generalizable;generalisable
generalization;generalisation
generalizations;generalisations
generalize;generalise
generalized;generalised
generalizer;generaliser
generalizers;generalisers
generalizes;generalises
generalizing;generalising
geologize;geologise
geologized;geologised
geologizes;geologises
geologizing;geologising
geometrization;geometrisation
geometrize;geometrise
geometrized;geometrised
geometrizes;geometrises
geometrizing;geometrising
Germanization;Germanisation
Germanize;Germanise
Germanized;Germanised
Germanizes;Germanises
Germanizing;Germanising
ghettoization;ghettoisation
ghettoize;ghettoise
ghettoized;ghettoised
ghettoizes;ghettoises
ghettoizing;ghettoising
gigagram;gigagramme
gigagrams;gigagrammes
gigaliter;gigalitre
gigaliters;gigalitres
gigameter;gigametre
gigameters;gigametres
glamor;glamour
glamorization;glamorisation
glamorize;glamorise
glamorized;glamorised
glamorizes;glamorises
glamorizing;glamorising
globalization;globalisation
globalize;globalise
globalized;globalised
globalizes;globalises
globalizing;globalising
glycemic;glycaemic
Gnosticize;Gnosticise
Gnosticized;Gnosticised
Gnosticizes;Gnosticises
Gnosticizing;Gnosticising
good-humored;good-humoured
good-humoredly;good-humouredly
gorgonize;gorgonise
gorgonized;gorgonised
gorgonizes;gorgonises
gorgonizing;gorgonising
governmentalize;governmentalise
governmentalized;governmentalised
governmentalizes;governmentalises
governmentalizing;governmentalising
gram;gramme
grammaticize;grammaticise
grammaticized;grammaticised
grammaticizes;grammaticises
grammaticizing;grammaticising
grams;grammes
grangerize;grangerise
grangerized;grangerised
grangerizes;grangerises
grangerizing;grangerising
graphitizable;graphitisable
graphitization;graphitisation
graphitize;graphitise
graphitized;graphitised
graphitizes;graphitises
graphitizing;graphitising
gray;grey
grayish;greyish
graywacke;greywacke
grayscale;greyscale
grecianize;grecianise
grecianized;grecianised
grecianizes;grecianises
grecianizing;grecianising
greenskeeper;greenkeeper
guaranties;guarantees
guaranty;guarantee
gutturalization;gutturalisation
gypsy;gipsy
gynecomastia;gynaecomastia
hematopoietic;haematopoietic
harbor;harbour
harbors;harbours
hardworking;hard-working
harmonizable;harmonisable
harmonization;harmonisation
harmonize;harmonise
harmonized;harmonised
harmonizer;harmoniser
harmonizers;harmonisers
harmonizes;harmonises
harmonizing;harmonising
heathenize;heathenise
heathenized;heathenised
heathenizes;heathenises
heathenizing;heathenising
hectogram;hectogramme
hectograms;hectogrammes
hectoliter;hectolitre
hectoliters;hectolitres
hectometer;hectometre
hectometers;hectometres
hematoma;haematoma
hematomas;haematomas
hematuria;haematuria
hematurias;haematurias
hemolytic;haemolytic
hemophilia;haemophilia
hemorrhage;haemorrhage
hemorrhages;haemorrhages
heparinize;heparinise
heparinized;heparinised
heparinizes;heparinises
heparinizing;heparinising
herborize;herborise
herborized;herborised
herborizes;herborises
herborizing;herborising
heroicize;heroicise
heroicized;heroicised
heroicizes;heroicises
heroicizing;heroicising
heroize;heroise
heroized;heroised
heroizes;heroises
heroizing;heroising
heterodimerize;heterodimerise
heterodimerized;heterodimerised
heterodimerizes;heterodimerises
heterodimerizing;heterodimerising
hierarchize;hierarchise
hierarchized;hierarchised
hierarchizes;hierarchises
hierarchizing;hierarchising
Hinduize;Hinduise
Hinduized;Hinduised
Hinduizes;Hinduises
Hinduizing;Hinduising
hirable;hireable
unhirable;unhireable
Hispanicize;Hispanicise
Hispanicized;Hispanicised
Hispanicizes;Hispanicises
Hispanicizing;Hispanicising
historicize;historicise
historicized;historicised
historicizes;historicises
historicizing;historicising
hitchhike;hitch-hike
hitchhikes;hitch-hikes
hitchhiked;hitch-hiked
hitchhiking;hitch-hiking
hitchhiker;hitch-hiker
hitchhikers;hitch-hikers
homeopathies;homoeopathies
homeopathy;homoeopathy
hominization;hominisation
homogenization;homogenisation
homogenize;homogenise
homogenized;homogenised
homogenizer;homogeniser
homogenizers;homogenisers
homogenizes;homogenises
homogenizing;homogenising
homologize;homologise
homologized;homologised
homologizes;homologises
homologizing;homologising
honor;honour
honorably;honourably
honored;honoured
honoring;honouring
honors;honours
hospitalization;hospitalisation
hospitalizations;hospitalisations
hospitalize;hospitalise
hospitalized;hospitalised
hospitalizes;hospitalises
hospitalizing;hospitalising
housewarming;house-warming
humanization;humanisation
humanize;humanise
humanized;humanised
humanizes;humanises
humanizing;humanising
humor;humour
humors;humours
hyalinize;hyalinise
hyalinized;hyalinised
hyalinizes;hyalinises
hyalinizing;hyalinising
hybridizable;hybridisable
hybridization;hybridisation
hybridize;hybridise
hybridized;hybridised
hybridizer;hybridiser
hybridizers;hybridisers
hybridizes;hybridises
hybridizing;hybridising
hydrolyzable;hydrolysable
hydrolyzation;hydrolysation
hydrolyze;hydrolyse
hydrolyzed;hydrolysed
hydrolyzer;hydrolyser
hydrolyzers;hydrolysers
hydrolyzes;hydrolyses
hydrolyzing;hydrolysing
hyperbolize;hyperbolise
hyperbolized;hyperbolised
hyperbolizes;hyperbolises
hyperbolizing;hyperbolising
hypercriticize;hypercriticise
hypercriticized;hypercriticised
hypercriticizes;hypercriticises
hypercriticizing;hypercriticising
hyperimmunize;hyperimmunise
hyperimmunized;hyperimmunised
hyperimmunizes;hyperimmunises
hyperimmunizing;hyperimmunising
hyperpolarize;hyperpolarise
hyperpolarized;hyperpolarised
hyperpolarizes;hyperpolarises
hyperpolarizing;hyperpolarising
hypersensitize;hypersensitise
hypersensitized;hypersensitised
hypersensitizes;hypersensitises
hypersensitizing;hypersensitising
hypnotizability;hypnotisability
hypnotizable;hypnotisable
hypnotize;hypnotise
hypnotized;hypnotised
hypnotizes;hypnotises
hypnotizing;hypnotising
hypnopedic;hypnopaedic
hypnopedia;hypnopaedia
hypocalcaemia;hypocalcaemia
hyposensitization;hyposensitisation
hyposensitize;hyposensitise
hyposensitized;hyposensitised
hyposensitizes;hyposensitises
hyposensitizing;hyposensitising
hypostatization;hypostatisation
hypostatizations;hypostatisations
hypostatize;hypostatise
hypostatized;hypostatised
hypostatizes;hypostatises
hypostatizing;hypostatising
hypothesize;hypothesise
hypothesized;hypothesised
hypothesizes;hypothesises
hypothesizing;hypothesising
hypokalaemic;hypokalemic
idealization;idealisation
idealizations;idealisations
idealize;idealise
idealized;idealised
idealizer;idealiser
idealizers;idealisers
idealizes;idealises
idealizing;idealising
ideologize;ideologise
ideologized;ideologised
ideologizes;ideologises
ideologizing;ideologising
idolatrize;idolatrise
idolatrized;idolatrised
idolatrizer;idolatriser
idolatrizers;idolatrisers
idolatrizes;idolatrises
idolatrizing;idolatrising
idolization;idolisation
idolize;idolise
idolized;idolised
idolizer;idoliser
idolizers;idolisers
idolizes;idolises
idolizing;idolising
illegalization;illegalisation
illegalize;illegalise
illegalized;illegalised
illegalizes;illegalises
illegalizing;illegalising
illiberalize;illiberalise
illiberalized;illiberalised
illiberalizes;illiberalises
illiberalizing;illiberalising
immaterialize;immaterialise
immaterialized;immaterialised
immaterializes;immaterialises
immaterializing;immaterialising
immobilizable;immobilisable
immobilization;immobilisation
immobilize;immobilise
immobilized;immobilised
immobilizer;immobiliser
immobilizers;immobilisers
immobilizes;immobilises
immobilizing;immobilising
immortalization;immortalisation
immortalize;immortalise
immortalized;immortalised
immortalizer;immortaliser
immortalizers;immortalisers
immortalizes;immortalises
immortalizing;immortalising
immunization;immunisation
immunizations;immunisations
immunize;immunise
immunized;immunised
immunizer;immuniser
immunizers;immunisers
immunizes;immunises
immunizing;immunising
impacter;impactor
impacters;impactors
impaneled;impanelled
impaneling;impanelling
imperialization;imperialisation
imperialize;imperialise
imperialized;imperialised
imperializes;imperialises
imperializing;imperialising
impersonalize;impersonalise
impersonalized;impersonalised
impersonalizes;impersonalises
impersonalizing;impersonalising
incentivization;incentivisation
incentivize;incentivise
incentivized;incentivised
incentivizes;incentivises
incentivizing;incentivising
Indianize;Indianise
Indianized;Indianised
Indianizes;Indianises
Indianizing;Indianising
indigenization;indigenisation
indigenizations;indigenisations
indigenize;indigenise
indigenized;indigenised
indigenizes;indigenises
indigenizing;indigenising
individualization;individualisation
individualize;individualise
individualized;individualised
individualizes;individualises
individualizing;individualising
industrialization;industrialisation
industrialize;industrialise
industrialized;industrialised
industrializes;industrialises
industrializing;industrialising
infantilize;infantilise
infantilized;infantilised
infantilizes;infantilises
infantilizing;infantilising
initialization;initialisation
initialize;initialise
initialized;initialised
initializes;initialises
initializing;initialising
inquire;enquire
inquired;enquired
inquires;enquires
inquiries;enquiries
inquiring;enquiring
inquiry;enquiry
installment;instalment
installments;instalments
instill;instil
instills;instils
institutionalization;institutionalisation
institutionalize;institutionalise
institutionalized;institutionalised
institutionalizes;institutionalises
institutionalizing;institutionalising
instrumentalization;instrumentalisation
instrumentalize;instrumentalise
instrumentalized;instrumentalised
instrumentalizes;instrumentalises
instrumentalizing;instrumentalising
intellectualization;intellectualisation
intellectualize;intellectualise
intellectualized;intellectualised
intellectualizer;intellectualiser
intellectualizers;intellectualisers
intellectualizes;intellectualises
intellectualizing;intellectualising
interiorize;interiorise
interiorized;interiorised
interiorizes;interiorises
interiorizing;interiorising
internalization;internalisation
internalize;internalise
internalized;internalised
internalizes;internalises
internalizing;internalising
internationalization;internationalisation
internationalize;internationalise
internationalized;internationalised
internationalizes;internationalises
internationalizing;internationalising
iodize;iodise
iodized;iodised
iodizes;iodises
iodizing;iodising
ionizable;ionisable
ionization;ionisation
ionize;ionise
ionized;ionised
ionizer;ioniser
ionizers;ionisers
ionizes;ionises
ionizing;ionising
iridize;iridise
iridized;iridised
iridizes;iridises
iridizing;iridising
irrationalize;irrationalise
irrationalized;irrationalised
irrationalizes;irrationalises
irrationalizing;irrationalising
irrealizable;irrealisable
Islamization;Islamisation
Islamize;Islamise
Islamized;Islamised
Islamizes;Islamises
Islamizing;Islamising
isomerization;isomerisation
isomerize;isomerise
isomerized;isomerised
isomerizes;isomerises
isomerizing;isomerising
Italianization;Italianisation
Italianize;Italianise
Italianized;Italianised
Italianizes;Italianises
Italianizing;Italianising
italicization;italicisation
italicize;italicise
italicized;italicised
italicizes;italicises
italicizing;italicising
itemization;itemisation
itemize;itemise
itemized;itemised
itemizes;itemises
itemizing;itemising
jail;gaol
jails;gaols
japanize;japanise
japanized;japanised
japanizes;japanises
japanizing;japanising
jargonization;jargonisation
jargonize;jargonise
jargonized;jargonised
jargonizes;jargonises
jargonizing;jargonising
jasperize;jasperise
jasperized;jasperised
jasperizes;jasperises
jasperizing;jasperising
jeopardize;jeopardise
jeopardized;jeopardised
jeopardizes;jeopardises
jeopardizing;jeopardising
jeweler;jeweller
jewelers;jewellers
jewelry;jewellery
journalize;journalise
journalized;journalised
journalizes;journalises
journalizing;journalising
judgmental;judgemental
judgmentally;judgementally
junkyard;scrapyard
junkyards;scrapyards
kaolinize;kaolinise
kaolinized;kaolinised
kaolinizes;kaolinises
kaolinizing;kaolinising
keratinize;keratinise
keratinized;keratinised
keratinizes;keratinises
keratinizing;keratinising
kibosh;kybosh
kiboshes;kyboshes
kiboshed;kyboshed
kiboshing;kyboshing
kilogram;kilogramme
kilograms;kilogrammes
kiloliter;kilolitre
kiloliters;kilolitres
kilometer;kilometre
kilometers;kilometres
kinesthesia;kinaesthesia
kinesthesis;kinaesthesis
kinesthetic;kinaesthetic
kinesthetically;kinaesthetically
kyanize;kyanise
kyanized;kyanised
kyanizes;kyanises
kyanizing;kyanising
labeled;labelled
labeling;labelling
labialization;labialisation
labialize;labialise
labialized;labialised
labializes;labialises
labializing;labialising
labor;labour
labored;laboured
laboring;labouring
labors;labours
laicization;laicisation
laicize;laicise
laicized;laicised
laicizes;laicises
laicizing;laicising
lateralization;lateralisation
lateralize;lateralise
lateralized;lateralised
lateralizes;lateralises
lateralizing;lateralising
learned;learnt
learner-centered;learner-centred
legalization;legalisation
legalize;legalise
legalized;legalised
legalizer;legaliser
legalizers;legalisers
legalizes;legalises
legalizing;legalising
legendize;legendise
legendized;legendised
legendizes;legendises
legendizing;legendising
legitimatize;legitimatise
legitimatized;legitimatised
legitimatizes;legitimatises
legitimatizing;legitimatising
legitimization;legitimisation
legitimize;legitimise
legitimized;legitimised
legitimizer;legitimiser
legitimizers;legitimisers
legitimizes;legitimises
legitimizing;legitimising
lemmatization;lemmatisation
lemmatize;lemmatise
lemmatized;lemmatised
lemmatizes;lemmatises
lemmatizing;lemmatising
leukoses;leucoses
leukosis;leucosis
leveled;levelled
leveling;levelling
lexicalize;lexicalise
lexicalized;lexicalised
lexicalizes;lexicalises
lexicalizing;lexicalising
libelous;libellous
libelously;libellously
liberalization;liberalisation
liberalizations;liberalisations
liberalize;liberalise
liberalized;liberalised
liberalizer;liberaliser
liberalizers;liberalisers
liberalizes;liberalises
liberalizing;liberalising
license;licence
licensed;licenced
licenses;licences
licensing;licencing
licorice;liquorice
licorices;liquorices
lightsaber;lightsabre
lightsabers;lightsabres
lighthearted;light-hearted
lightheartedly;light-heartedly
likable;likeable
linearization;linearisation
linearize;linearise
linearized;linearised
linearizes;linearises
linearizing;linearising
lionization;lionisation
lionize;lionise
lionized;lionised
lionizer;lioniser
lionizers;lionisers
lionizes;lionises
lionizing;lionising
liquidize;liquidise
liquidized;liquidised
liquidizer;liquidiser
liquidizers;liquidisers
liquidizes;liquidises
liquidizing;liquidising
liter;litre
liters;litres
livability;liveability
livabilities;liveabilities
lobotomize;lobotomise
lobotomized;lobotomised
lobotomizes;lobotomises
lobotomizing;lobotomising
localizability;localisability
localizable;localisable
localization;localisation
localizations;localisations
localize;localise
localized;localised
localizer;localiser
localizers;localisers
localizes;localises
localizing;localising
logicize;logicise
logicized;logicised
logicizes;logicises
logicizing;logicising
longtime;long-time
luster;lustre
lusters;lustres
luteinization;luteinisation
lyophilize;lyophilise
lyophilized;lyophilised
lyophilizes;lyophilises
lyophilizing;lyophilising
lyricize;lyricise
lyricized;lyricised
lyricizes;lyricises
lyricizing;lyricising
lysogenize;lysogenise
lysogenized;lysogenised
lysogenizes;lysogenises
lysogenizing;lysogenising
macadamize;macadamise
macadamized;macadamised
macadamizes;macadamises
macadamizing;macadamising
macarize;macarise
macarized;macarised
macarizes;macarises
macarizing;macarising
magnetizability;magnetisability
magnetizable;magnetisable
magnetization;magnetisation
magnetize;magnetise
magnetized;magnetised
magnetizer;magnetiser
magnetizers;magnetisers
magnetizes;magnetises
magnetizing;magnetising
majorize;majorise
majorized;majorised
majorizes;majorises
majorizing;majorising
maneuver;manoeuvre
maneuvers;manoeuvres
marbleize;marbleise
marbleized;marbleised
marbleizes;marbleises
marbleizing;marbleising
marginalization;marginalisation
marginalize;marginalise
marginalized;marginalised
marginalizes;marginalises
marginalizing;marginalising
marketization;marketisation
martyrize;martyrise
martyrized;martyrised
martyrizes;martyrises
martyrizing;martyrising
marvelous;marvellous
masculinization;masculinisation
masculinize;masculinise
masculinized;masculinised
masculinizes;masculinises
masculinizing;masculinising
materialization;materialisation
materialize;materialise
materialized;materialised
materializes;materialises
materializing;materialising
math;maths
mathematization;mathematisation
mathematize;mathematise
mathematized;mathematised
mathematizes;mathematises
mathematizing;mathematising
matronize;matronise
matronized;matronised
matronizes;matronises
matronizing;matronising
maximization;maximisation
maximize;maximise
maximized;maximised
maximizer;maximiser
maximizers;maximisers
maximizes;maximises
maximizing;maximising
meager;meagre
mechanizable;mechanisable
mechanization;mechanisation
mechanize;mechanise
mechanized;mechanised
mechanizer;mechaniser
mechanizers;mechanisers
mechanizes;mechanises
mechanizing;mechanising
medalist;medallist
medalists;medallists
mediatization;mediatisation
mediatize;mediatise
mediatized;mediatised
mediatizes;mediatises
mediatizing;mediatising
medicalization;medicalisation
medicalize;medicalise
medicalized;medicalised
medicalizes;medicalises
medicalizing;medicalising
megagram;megagramme
megagrams;megagrammes
megaliter;megalitre
megaliters;megalitres
megameter;megametre
megameters;megametres
melanize;melanise
melanized;melanised
melanizes;melanises
melanizing;melanising
melodize;melodise
melodized;melodised
melodizes;melodises
melodizing;melodising
melodramatize;melodramatise
melodramatized;melodramatised
melodramatizes;melodramatises
melodramatizing;melodramatising
memorialization;memorialisation
memorialize;memorialise
memorialized;memorialised
memorializes;memorialises
memorializing;memorialising
memorizable;memorisable
memorization;memorisation
memorize;memorise
memorized;memorised
memorizer;memoriser
memorizers;memorisers
memorizes;memorises
memorizing;memorising
mentalization;mentalisation
mercerization;mercerisation
mercerize;mercerise
mercerized;mercerised
mercerizer;merceriser
mercerizers;mercerisers
mercerizes;mercerises
mercerizing;mercerising
mesmerize;mesmerise
mesmerized;mesmerised
mesmerizer;mesmeriser
mesmerizers;mesmerisers
mesmerizes;mesmerises
mesmerizing;mesmerising
metabolizable;metabolisable
metabolize;metabolise
metabolized;metabolised
metabolizes;metabolises
metabolizing;metabolising
metalize;metallize
metalized;metallized
metalizes;metallizes
metalizing;metallizing
metallization;metallisation
metallize;metallise
metallized;metallised
metallizes;metallises
metallizing;metallising
metamorphize;metamorphise
metamorphized;metamorphised
metamorphizes;metamorphises
metamorphizing;metamorphising
metastasize;metastasise
metastasized;metastasised
metastasizes;metastasises
metastasizing;metastasising
metathesize;metathesise
metathesized;metathesised
metathesizes;metathesises
metathesizing;metathesising
meter;metre
meters;metres
methodize;methodise
methodized;methodised
methodizes;methodises
methodizing;methodising
metricize;metricise
metricized;metricised
metricizes;metricises
metricizing;metricising
metrizable;metrisable
metropolization;metropolisation
metropolitanization;metropolitanisation
metropolitanize;metropolitanise
metropolitanizes;metropolitanises
metropolitanized;metropolitanised
metropolitanizing;metropolitanising
microgram;microgramme
micrograms;microgrammes
microliter;microlitre
microliters;microlitres
micrometer;micrometre
micrometers;micrometres
micronize;micronise
micronized;micronised
micronizes;micronises
micronizing;micronising
militarization;militarisation
