# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three semicolon-separated fields: fullform;baseform;postags
#from Freeling
#separatorRegExp=;
Grigny;Grigny;Z e sp
Grillon;Grillon;Z e sp
Grilly;Grilly;Z e sp
Grimaud;Grimaud;Z e sp
Grimault;Grimault;Z e sp
Grimbosq;Grimbosq;Z e sp
Grimesnil;Grimesnil;Z e sp
Grimonviller;Grimonviller;Z e sp
Gripport;Gripport;Z e sp
Griscourt;Griscourt;Z e sp
Griselles;Griselles;Z e sp
Grisolles;Grisolles;Z e sp
Grives;Grives;Z e sp
Grivesnes;Grivesnes;Z e sp
Grivillers;Grivillers;Z e sp
Grièges;Grièges;Z e sp
Groffliers;Groffliers;Z e sp
Groises;Groises;Z e sp
Groissiat;Groissiat;Z e sp
Groisy;Groisy;Z e sp
Groix;Groix;Z e sp
Groléjac;Groléjac;Z e sp
Gron;Gron;Z e sp
Gronard;Gronard;Z e sp
Grosbliederstroff;Grosbliederstroff;Z e sp
Grosbois;Grosbois;Z e sp
Grosbreuil;Grosbreuil;Z e sp
Groslay;Groslay;Z e sp
Grosmagny;Grosmagny;Z e sp
Grosne;Grosne;Z e sp
Grospierres;Grospierres;Z e sp
Grosrouvre;Grosrouvre;Z e sp
Grosrouvres;Grosrouvres;Z e sp
Grossa;Grossa;Z e sp
Grossouvre;Grossouvre;Z e sp
Grossœuvre;Grossœuvre;Z e sp
Grostenquin;Grostenquin;Z e sp
Grosville;Grosville;Z e sp
Grougis;Grougis;Z e sp
Grozon;Grozon;Z e sp
Grues;Grues;Z e sp
Gruffy;Gruffy;Z e sp
Grugies;Grugies;Z e sp
Grugny;Grugny;Z e sp
Gruissan;Gruissan;Z e sp
Grumesnil;Grumesnil;Z e sp
Grundviller;Grundviller;Z e sp
Gruny;Gruny;Z e sp
Grury;Grury;Z e sp
Gruson;Gruson;Z e sp
Grussenheim;Grussenheim;Z e sp
Grust;Grust;Z e sp
Gruyères;Gruyères;Z e sp
Grâces;Grâces;Z e sp
Grèges;Grèges;Z e sp
Grèzes;Grèzes;Z e sp
Gréalou;Gréalou;Z e sp
Gréasque;Gréasque;Z e sp
Grémecey;Grémecey;Z e sp
Grémonville;Grémonville;Z e sp
Grémévillers;Grémévillers;Z e sp
Gréning;Gréning;Z e sp
Gréolières;Gréolières;Z e sp
Grépiac;Grépiac;Z e sp
Grévillers;Grévillers;Z e sp
Grézac;Grézac;Z e sp
Grézels;Grézels;Z e sp
Grézian;Grézian;Z e sp
Grézillac;Grézillac;Z e sp
Grézolles;Grézolles;Z e sp
Guagno;Guagno;Z e sp
Guainville;Guainville;Z e sp
Guarbecque;Guarbecque;Z e sp
Guargualé;Guargualé;Z e sp
Guchan;Guchan;Z e sp
Guchen;Guchen;Z e sp
Gudas;Gudas;Z e sp
Guebenhouse;Guebenhouse;Z e sp
Gueberschwihr;Gueberschwihr;Z e sp
Guebwiller;Guebwiller;Z e sp
Gueltas;Gueltas;Z e sp
Guemps;Guemps;Z e sp
Guengat;Guengat;Z e sp
Guenroc;Guenroc;Z e sp
Guenrouet;Guenrouet;Z e sp
Guenviller;Guenviller;Z e sp
Guer;Guer;Z e sp
Guerbigny;Guerbigny;Z e sp
Guercheville;Guercheville;Z e sp
Guerfand;Guerfand;Z e sp
Guerlesquin;Guerlesquin;Z e sp
Guerlédan;Guerlédan;Z e sp
Guermange;Guermange;Z e sp
Guermantes;Guermantes;Z e sp
Guern;Guern;Z e sp
Guernes;Guernes;Z e sp
Guerny;Guerny;Z e sp
Guerpont;Guerpont;Z e sp
Guerquesalles;Guerquesalles;Z e sp
Guerstling;Guerstling;Z e sp
Guerting;Guerting;Z e sp
Guerville;Guerville;Z e sp
Gueschart;Gueschart;Z e sp
Guesnain;Guesnain;Z e sp
Guesnes;Guesnes;Z e sp
Gueudecourt;Gueudecourt;Z e sp
Gueugnon;Gueugnon;Z e sp
Gueures;Gueures;Z e sp
Gueutteville;Gueutteville;Z e sp
Gueux;Gueux;Z e sp
Guevenatten;Guevenatten;Z e sp
Guewenheim;Guewenheim;Z e sp
Gugney;Gugney;Z e sp
Gugnécourt;Gugnécourt;Z e sp
Guibeville;Guibeville;Z e sp
Guichainville;Guichainville;Z e sp
Guiche;Guiche;Z e sp
Guichen;Guichen;Z e sp
Guiclan;Guiclan;Z e sp
Guidel;Guidel;Z e sp
Guignecourt;Guignecourt;Z e sp
Guignemicourt;Guignemicourt;Z e sp
Guignen;Guignen;Z e sp
Guignes;Guignes;Z e sp
Guigneville;Guigneville;Z e sp
Guigny;Guigny;Z e sp
Guilers;Guilers;Z e sp
Guillac;Guillac;Z e sp
Guillaucourt;Guillaucourt;Z e sp
Guillaumes;Guillaumes;Z e sp
Guillemont;Guillemont;Z e sp
Guillerval;Guillerval;Z e sp
Guillestre;Guillestre;Z e sp
Guilleville;Guilleville;Z e sp
Guilliers;Guilliers;Z e sp
Guilligomarc'h;Guilligomarc'h;Z e sp
Guillonville;Guillonville;Z e sp
Guillos;Guillos;Z e sp
Guilly;Guilly;Z e sp
Guilvinec;Guilvinec;Z e sp
Guimaëc;Guimaëc;Z e sp
Guimiliau;Guimiliau;Z e sp
Guimps;Guimps;Z e sp
Guincourt;Guincourt;Z e sp
Guinecourt;Guinecourt;Z e sp
Guingamp;Guingamp;Z e sp
Guinglange;Guinglange;Z e sp
Guinkirchen;Guinkirchen;Z e sp
Guinzeling;Guinzeling;Z e sp
Guipavas;Guipavas;Z e sp
Guipel;Guipel;Z e sp
Guipy;Guipy;Z e sp
Guiscard;Guiscard;Z e sp
Guiscriff;Guiscriff;Z e sp
Guise;Guise;Z e sp
Guiseniers;Guiseniers;Z e sp
Guissény;Guissény;Z e sp
Guisy;Guisy;Z e sp
Guitinières;Guitinières;Z e sp
Guitrancourt;Guitrancourt;Z e sp
Guitté;Guitté;Z e sp
Guivry;Guivry;Z e sp
Guizancourt;Guizancourt;Z e sp
Guizengeard;Guizengeard;Z e sp
Guizerix;Guizerix;Z e sp
Gumbrechtshoffen;Gumbrechtshoffen;Z e sp
Gumery;Gumery;Z e sp
Gumiane;Gumiane;Z e sp
Gumières;Gumières;Z e sp
Gumond;Gumond;Z e sp
Gundershoffen;Gundershoffen;Z e sp
Gundolsheim;Gundolsheim;Z e sp
Gungwiller;Gungwiller;Z e sp
Gunsbach;Gunsbach;Z e sp
Gunstett;Gunstett;Z e sp
Guntzviller;Guntzviller;Z e sp
Guny;Guny;Z e sp
Guran;Guran;Z e sp
Gurat;Gurat;Z e sp
Gurgy;Gurgy;Z e sp
Gurmençon;Gurmençon;Z e sp
Gurs;Gurs;Z e sp
Gurunhuel;Gurunhuel;Z e sp
Gury;Gury;Z e sp
Gussainville;Gussainville;Z e sp
Gussignies;Gussignies;Z e sp
Guyancourt;Guyancourt;Z e sp
Guyencourt;Guyencourt;Z e sp
Guyonvelle;Guyonvelle;Z e sp
Guzargues;Guzargues;Z e sp
Guébestroff;Guébestroff;Z e sp
Guébling;Guébling;Z e sp
Guécélard;Guécélard;Z e sp
Guégon;Guégon;Z e sp
Guéhenno;Guéhenno;Z e sp
Guémappe;Guémappe;Z e sp
Guémar;Guémar;Z e sp
Guénange;Guénange;Z e sp
Guénin;Guénin;Z e sp
Guérande;Guérande;Z e sp
Guérard;Guérard;Z e sp
Guéreins;Guéreins;Z e sp
Guéret;Guéret;Z e sp
Guérigny;Guérigny;Z e sp
Guérin;Guérin;Z e sp
Guéron;Guéron;Z e sp
Guéthary;Guéthary;Z e sp
Guêprei;Guêprei;Z e sp
Guînes;Guînes;Z e sp
Guîtres;Guîtres;Z e sp
Gy;Gy;Z e sp
Gye;Gye;Z e sp
Gâcogne;Gâcogne;Z e sp
Gâprée;Gâprée;Z e sp
Gâvres;Gâvres;Z e sp
Gélacourt;Gélacourt;Z e sp
Gélannes;Gélannes;Z e sp
Gélaucourt;Gélaucourt;Z e sp
Gémenos;Gémenos;Z e sp
Gémigny;Gémigny;Z e sp
Gémil;Gémil;Z e sp
Gémonval;Gémonval;Z e sp
Gémonville;Gémonville;Z e sp
Gémozac;Gémozac;Z e sp
Génat;Génat;Z e sp
Génelard;Génelard;Z e sp
Génicourt;Génicourt;Z e sp
Génis;Génis;Z e sp
Génissac;Génissac;Z e sp
Génissieux;Génissieux;Z e sp
Génolhac;Génolhac;Z e sp
Génos;Génos;Z e sp
Génébrières;Génébrières;Z e sp
Générac;Générac;Z e sp
Générargues;Générargues;Z e sp
Générest;Générest;Z e sp
Géovreisset;Géovreisset;Z e sp
Gérardmer;Gérardmer;Z e sp
Géraudot;Géraudot;Z e sp
Géronce;Géronce;Z e sp
Géry;Géry;Z e sp
Gétigné;Gétigné;Z e sp
Gévezé;Gévezé;Z e sp
Gézaincourt;Gézaincourt;Z e sp
Gézoncourt;Gézoncourt;Z e sp
Gœrlingen;Gœrlingen;Z e sp
Gœrsdorf;Gœrsdorf;Z e sp
Gœulzin;Gœulzin;Z e sp
Habarcq;Habarcq;Z e sp
Habas;Habas;Z e sp
Hablainville;Hablainville;Z e sp
Habloville;Habloville;Z e sp
Haboudange;Haboudange;Z e sp
Habsheim;Habsheim;Z e sp
Hachan;Hachan;Z e sp
Hacqueville;Hacqueville;Z e sp
Hadol;Hadol;Z e sp
Haegen;Haegen;Z e sp
Hagedet;Hagedet;Z e sp
Hagen;Hagen;Z e sp
Hagenbach;Hagenbach;Z e sp
Haget;Haget;Z e sp
Hagetaubin;Hagetaubin;Z e sp
Hagetmau;Hagetmau;Z e sp
Hagnicourt;Hagnicourt;Z e sp
Hagondange;Hagondange;Z e sp
Haguenau;Haguenau;Z e sp
Hagécourt;Hagécourt;Z e sp
Hagéville;Hagéville;Z e sp
Haigneville;Haigneville;Z e sp
Haillainville;Haillainville;Z e sp
Hailles;Hailles;Z e sp
Haillicourt;Haillicourt;Z e sp
Haimps;Haimps;Z e sp
Haims;Haims;Z e sp
Hainvillers;Hainvillers;Z e sp
Haironville;Haironville;Z e sp
Haisnes;Haisnes;Z e sp
Halinghen;Halinghen;Z e sp
Hallencourt;Hallencourt;Z e sp
Hallering;Hallering;Z e sp
Hallignicourt;Hallignicourt;Z e sp
Hallines;Hallines;Z e sp
Hallivillers;Hallivillers;Z e sp
Halloville;Halloville;Z e sp
Halloy;Halloy;Z e sp
Hallu;Hallu;Z e sp
Halluin;Halluin;Z e sp
Halsou;Halsou;Z e sp
Halstroff;Halstroff;Z e sp
Ham;Ham;Z e sp
Hambach;Hambach;Z e sp
Hambers;Hambers;Z e sp
Hambye;Hambye;Z e sp
Hamel;Hamel;Z e sp
Hamelet;Hamelet;Z e sp
Hamelin;Hamelin;Z e sp
Hamelincourt;Hamelincourt;Z e sp
Hammeville;Hammeville;Z e sp
Hamonville;Hamonville;Z e sp
Hampigny;Hampigny;Z e sp
Hampont;Hampont;Z e sp
Hanches;Hanches;Z e sp
Hancourt;Hancourt;Z e sp
Handschuheim;Handschuheim;Z e sp
Hangard;Hangard;Z e sp
Hangenbieten;Hangenbieten;Z e sp
Hangviller;Hangviller;Z e sp
Hannaches;Hannaches;Z e sp
Hannapes;Hannapes;Z e sp
Hannappes;Hannappes;Z e sp
Hannescamps;Hannescamps;Z e sp
Hannocourt;Hannocourt;Z e sp
Hans;Hans;Z e sp
Hantay;Hantay;Z e sp
Hanvec;Hanvec;Z e sp
Hanviller;Hanviller;Z e sp
Hanvoile;Hanvoile;Z e sp
Haplincourt;Haplincourt;Z e sp
Happencourt;Happencourt;Z e sp
Happonvilliers;Happonvilliers;Z e sp
Haramont;Haramont;Z e sp
Haraucourt;Haraucourt;Z e sp
Haravesnes;Haravesnes;Z e sp
Haravilliers;Haravilliers;Z e sp
Harbonnières;Harbonnières;Z e sp
Harbouey;Harbouey;Z e sp
Harcanville;Harcanville;Z e sp
Harchéchamp;Harchéchamp;Z e sp
Harcigny;Harcigny;Z e sp
Harcourt;Harcourt;Z e sp
Harcy;Harcy;Z e sp
Hardancourt;Hardancourt;Z e sp
Hardanges;Hardanges;Z e sp
Hardifort;Hardifort;Z e sp
Hardinghen;Hardinghen;Z e sp
Hardinvast;Hardinvast;Z e sp
Hardivillers;Hardivillers;Z e sp
Hardricourt;Hardricourt;Z e sp
Harfleur;Harfleur;Z e sp
Hargeville;Hargeville;Z e sp
Hargicourt;Hargicourt;Z e sp
Hargnies;Hargnies;Z e sp
Harly;Harly;Z e sp
Harmonville;Harmonville;Z e sp
Harnes;Harnes;Z e sp
Harol;Harol;Z e sp
Haroué;Haroué;Z e sp
Harponville;Harponville;Z e sp
Harprich;Harprich;Z e sp
Harquency;Harquency;Z e sp
Harreberg;Harreberg;Z e sp
Harricourt;Harricourt;Z e sp
Harskirchen;Harskirchen;Z e sp
Hartmannswiller;Hartmannswiller;Z e sp
Hartzviller;Hartzviller;Z e sp
Harville;Harville;Z e sp
Hary;Hary;Z e sp
Haréville;Haréville;Z e sp
Haselbourg;Haselbourg;Z e sp
Hasnon;Hasnon;Z e sp
Hasparren;Hasparren;Z e sp
Haspelschiedt;Haspelschiedt;Z e sp
Haspres;Haspres;Z e sp
Hastingues;Hastingues;Z e sp
Hatrize;Hatrize;Z e sp
Hatten;Hatten;Z e sp
Hattencourt;Hattencourt;Z e sp
Hattenville;Hattenville;Z e sp
Hattigny;Hattigny;Z e sp
Hattmatt;Hattmatt;Z e sp
Hattstatt;Hattstatt;Z e sp
Hauban;Hauban;Z e sp
Haubourdin;Haubourdin;Z e sp
Hauconcourt;Hauconcourt;Z e sp
Haucourt;Haucourt;Z e sp
Haudainville;Haudainville;Z e sp
Haudiomont;Haudiomont;Z e sp
Haudivillers;Haudivillers;Z e sp
Haudonville;Haudonville;Z e sp
Haudrecy;Haudrecy;Z e sp
Haudricourt;Haudricourt;Z e sp
Haulchin;Haulchin;Z e sp
Haulies;Haulies;Z e sp
Haulmé;Haulmé;Z e sp
Hauriet;Hauriet;Z e sp
Hausgauen;Hausgauen;Z e sp
Haussez;Haussez;Z e sp
Haussignémont;Haussignémont;Z e sp
Haussimont;Haussimont;Z e sp
Haussonville;Haussonville;Z e sp
Haussy;Haussy;Z e sp
HautValromey;HautValromey;Z e sp
Hautaget;Hautaget;Z e sp
Hautbos;Hautbos;Z e sp
Hautecloque;Hautecloque;Z e sp
Hautecour;Hautecour;Z e sp
Hautefage;Hautefage;Z e sp
Hautefaye;Hautefaye;Z e sp
Hautefeuille;Hautefeuille;Z e sp
Hautefond;Hautefond;Z e sp
Hautefontaine;Hautefontaine;Z e sp
Hautefort;Hautefort;Z e sp
Hauteluce;Hauteluce;Z e sp
Hauterive;Hauterive;Z e sp
Hauterives;Hauterives;Z e sp
Hauteroche;Hauteroche;Z e sp
Hautesvignes;Hautesvignes;Z e sp
Hautevelle;Hautevelle;Z e sp
Hautevesnes;Hautevesnes;Z e sp
Hauteville;Hauteville;Z e sp
Haution;Haution;Z e sp
Hautmont;Hautmont;Z e sp
HautsdeBienne;HautsdeBienne;Z e sp
Hautvillers;Hautvillers;Z e sp
Hauville;Hauville;Z e sp
Hauviné;Hauviné;Z e sp
Haux;Haux;Z e sp
Havange;Havange;Z e sp
Havelu;Havelu;Z e sp
Haveluy;Haveluy;Z e sp
Havernas;Havernas;Z e sp
Haverskerque;Haverskerque;Z e sp
Havrincourt;Havrincourt;Z e sp
Hayange;Hayange;Z e sp
Haybes;Haybes;Z e sp
Hayes;Hayes;Z e sp
Haynecourt;Haynecourt;Z e sp
Hazebrouck;Hazebrouck;Z e sp
Hazembourg;Hazembourg;Z e sp
Hecken;Hecken;Z e sp
Hecmanville;Hecmanville;Z e sp
Hecq;Hecq;Z e sp
Hectomare;Hectomare;Z e sp
Hegeney;Hegeney;Z e sp
Heidolsheim;Heidolsheim;Z e sp
Heidwiller;Heidwiller;Z e sp
Heiligenberg;Heiligenberg;Z e sp
Heiligenstein;Heiligenstein;Z e sp
Heillecourt;Heillecourt;Z e sp
Heilles;Heilles;Z e sp
Heilly;Heilly;Z e sp
Heimersdorf;Heimersdorf;Z e sp
Heimsbrunn;Heimsbrunn;Z e sp
Heippes;Heippes;Z e sp
Heiteren;Heiteren;Z e sp
Heiwiller;Heiwiller;Z e sp
Helfaut;Helfaut;Z e sp
Helfrantzkirch;Helfrantzkirch;Z e sp
Helleville;Helleville;Z e sp
Hellimer;Hellimer;Z e sp
Helléan;Helléan;Z e sp
Helstroff;Helstroff;Z e sp
Hem;Hem;Z e sp
Hendaye;Hendaye;Z e sp
Hengwiller;Hengwiller;Z e sp
Hennebont;Hennebont;Z e sp
Hennecourt;Hennecourt;Z e sp
Hennemont;Hennemont;Z e sp
Henneveux;Henneveux;Z e sp
Hennezel;Hennezel;Z e sp
Hennezis;Hennezis;Z e sp
Henrichemont;Henrichemont;Z e sp
Henridorff;Henridorff;Z e sp
Henriville;Henriville;Z e sp
Henvic;Henvic;Z e sp
Herbault;Herbault;Z e sp
Herbeuval;Herbeuval;Z e sp
Herbeuville;Herbeuville;Z e sp
Herbeville;Herbeville;Z e sp
Herbeys;Herbeys;Z e sp
Herbignac;Herbignac;Z e sp
Herbinghen;Herbinghen;Z e sp
Herbisse;Herbisse;Z e sp
Herbitzheim;Herbitzheim;Z e sp
Herbsheim;Herbsheim;Z e sp
Herbécourt;Herbécourt;Z e sp
Herbéviller;Herbéviller;Z e sp
Herchies;Herchies;Z e sp
Hercé;Hercé;Z e sp
Hergnies;Hergnies;Z e sp
Hergugney;Hergugney;Z e sp
Herleville;Herleville;Z e sp
Herlies;Herlies;Z e sp
Herlincourt;Herlincourt;Z e sp
Herly;Herly;Z e sp
Herm;Herm;Z e sp
Hermanville;Hermanville;Z e sp
Hermaville;Hermaville;Z e sp
Hermelange;Hermelange;Z e sp
Hermelinghen;Hermelinghen;Z e sp
Herment;Herment;Z e sp
Hermeray;Hermeray;Z e sp
Hermes;Hermes;Z e sp
Hermeville;Hermeville;Z e sp
Hermies;Hermies;Z e sp
Hermin;Hermin;Z e sp
Hermonville;Hermonville;Z e sp
Hermé;Hermé;Z e sp
Hernicourt;Hernicourt;Z e sp
Herny;Herny;Z e sp
Herpelmont;Herpelmont;Z e sp
Herpont;Herpont;Z e sp
Herqueville;Herqueville;Z e sp
Herran;Herran;Z e sp
Herrin;Herrin;Z e sp
Herrlisheim;Herrlisheim;Z e sp
Herry;Herry;Z e sp
Herrère;Herrère;Z e sp
Herré;Herré;Z e sp
Herserange;Herserange;Z e sp
Hertzing;Hertzing;Z e sp
Hervelinghen;Hervelinghen;Z e sp
Hervilly;Hervilly;Z e sp
Herzeele;Herzeele;Z e sp
Hesbécourt;Hesbécourt;Z e sp
Hescamps;Hescamps;Z e sp
Hesdin;Hesdin;Z e sp
Hesmond;Hesmond;Z e sp
Hesse;Hesse;Z e sp
Hessenheim;Hessenheim;Z e sp
Hestroff;Hestroff;Z e sp
Hestrud;Hestrud;Z e sp
Hestrus;Hestrus;Z e sp
Hettenschlag;Hettenschlag;Z e sp
Heuchin;Heuchin;Z e sp
Heudebouville;Heudebouville;Z e sp
Heudicourt;Heudicourt;Z e sp
#Heugas;Heugas;Z e sp
Heugnes;Heugnes;Z e sp
Heuland;Heuland;Z e sp
Heuqueville;Heuqueville;Z e sp
Heuringhem;Heuringhem;Z e sp
Heurteauville;Heurteauville;Z e sp
Heutrégiville;Heutrégiville;Z e sp
Heuzecourt;Heuzecourt;Z e sp
Heyrieux;Heyrieux;Z e sp
Hibarette;Hibarette;Z e sp
Hierges;Hierges;Z e sp
Hiermont;Hiermont;Z e sp
Hiersac;Hiersac;Z e sp
Hiesse;Hiesse;Z e sp
Hiesville;Hiesville;Z e sp
Hiis;Hiis;Z e sp
Hilbesheim;Hilbesheim;Z e sp
Hillion;Hillion;Z e sp
Hilsenheim;Hilsenheim;Z e sp
Hilsprich;Hilsprich;Z e sp
Hinacourt;Hinacourt;Z e sp
Hinckange;Hinckange;Z e sp
Hindisheim;Hindisheim;Z e sp
Hindlingen;Hindlingen;Z e sp
Hinges;Hinges;Z e sp
Hinsbourg;Hinsbourg;Z e sp
Hinsingen;Hinsingen;Z e sp
Hinx;Hinx;Z e sp
Hipsheim;Hipsheim;Z e sp
Hirel;Hirel;Z e sp
Hirschland;Hirschland;Z e sp
Hirsingue;Hirsingue;Z e sp
Hirson;Hirson;Z e sp
Hirtzbach;Hirtzbach;Z e sp
Hirtzfelden;Hirtzfelden;Z e sp
His;His;Z e sp
Hitte;Hitte;Z e sp
Hochfelden;Hochfelden;Z e sp
Hochstatt;Hochstatt;Z e sp
Hochstett;Hochstett;Z e sp
Hocquigny;Hocquigny;Z e sp
Hocquinghen;Hocquinghen;Z e sp
Hodent;Hodent;Z e sp
Hoffen;Hoffen;Z e sp
Hohengœft;Hohengœft;Z e sp
Hohfrankenheim;Hohfrankenheim;Z e sp
Hohrod;Hohrod;Z e sp
Holacourt;Holacourt;Z e sp
Holling;Holling;Z e sp
Holnon;Holnon;Z e sp
Holque;Holque;Z e sp
Holtzheim;Holtzheim;Z e sp
Holving;Holving;Z e sp
Hombleux;Hombleux;Z e sp
Homblières;Homblières;Z e sp
Hombourg;Hombourg;Z e sp
Hommarting;Hommarting;Z e sp
Hommert;Hommert;Z e sp
#Hommes;Hommes;Z e sp
#Homps;Homps;Z e sp
Homécourt;Homécourt;Z e sp
Hondainville;Hondainville;Z e sp
Hondeghem;Hondeghem;Z e sp
Hondevilliers;Hondevilliers;Z e sp
Hondouville;Hondouville;Z e sp
Hondschoote;Hondschoote;Z e sp
Honfleur;Honfleur;Z e sp
Honnechy;Honnechy;Z e sp
Honskirch;Honskirch;Z e sp
Hontanx;Hontanx;Z e sp
Hordain;Hordain;Z e sp
Horgues;Horgues;Z e sp
Hornaing;Hornaing;Z e sp
Horsarrieu;Horsarrieu;Z e sp
Hosta;Hosta;Z e sp
Hoste;Hoste;Z e sp
Hostens;Hostens;Z e sp
Hostun;Hostun;Z e sp
Hottviller;Hottviller;Z e sp
Houchin;Houchin;Z e sp
Houdain;Houdain;Z e sp
Houdan;Houdan;Z e sp
Houdancourt;Houdancourt;Z e sp
Houdelaincourt;Houdelaincourt;Z e sp
Houdelmont;Houdelmont;Z e sp
Houdemont;Houdemont;Z e sp
Houdetot;Houdetot;Z e sp
Houdilcourt;Houdilcourt;Z e sp
Houdreville;Houdreville;Z e sp
Houeillès;Houeillès;Z e sp
Houetteville;Houetteville;Z e sp
Houeydets;Houeydets;Z e sp
Houilles;Houilles;Z e sp
Houldizy;Houldizy;Z e sp
Houlette;Houlette;Z e sp
Houlgate;Houlgate;Z e sp
Houlle;Houlle;Z e sp
Hounoux;Hounoux;Z e sp
Houplines;Houplines;Z e sp
Houppeville;Houppeville;Z e sp
Houquetot;Houquetot;Z e sp
Hourc;Hourc;Z e sp
Hourges;Hourges;Z e sp
Hours;Hours;Z e sp
Hourtin;Hourtin;Z e sp
Houry;Houry;Z e sp
Houssay;Houssay;Z e sp
Houssen;Houssen;Z e sp
Housseras;Housseras;Z e sp
Housset;Housset;Z e sp
Housséville;Housséville;Z e sp
Houtaud;Houtaud;Z e sp
Houtkerque;Houtkerque;Z e sp
Houx;Houx;Z e sp
Houécourt;Houécourt;Z e sp
Houéville;Houéville;Z e sp
Hoymille;Hoymille;Z e sp
Hoéville;Hoéville;Z e sp
Hubersent;Hubersent;Z e sp
Huberville;Huberville;Z e sp
Huchenneville;Huchenneville;Z e sp
Huclier;Huclier;Z e sp
Hucqueliers;Hucqueliers;Z e sp
Hudimesnil;Hudimesnil;Z e sp
Hudiviller;Hudiviller;Z e sp
Huelgoat;Huelgoat;Z e sp
Huest;Huest;Z e sp
Huez;Huez;Z e sp
Hugier;Hugier;Z e sp
Huilliécourt;Huilliécourt;Z e sp
Huiron;Huiron;Z e sp
Huismes;Huismes;Z e sp
Hulluch;Hulluch;Z e sp
Hultehouse;Hultehouse;Z e sp
Humbauville;Humbauville;Z e sp
Humbercamps;Humbercamps;Z e sp
Humbercourt;Humbercourt;Z e sp
Humbert;Humbert;Z e sp
Humberville;Humberville;Z e sp
Humbligny;Humbligny;Z e sp
Humbécourt;Humbécourt;Z e sp
Humerœuille;Humerœuille;Z e sp
Humières;Humières;Z e sp
Hunawihr;Hunawihr;Z e sp
Hundling;Hundling;Z e sp
Hundsbach;Hundsbach;Z e sp
Huningue;Huningue;Z e sp
Hunspach;Hunspach;Z e sp
Hunting;Hunting;Z e sp
Huos;Huos;Z e sp
Huparlac;Huparlac;Z e sp
Huppy;Huppy;Z e sp
Hurbache;Hurbache;Z e sp
Hure;Hure;Z e sp
Hurecourt;Hurecourt;Z e sp
Huriel;Huriel;Z e sp
Hurigny;Hurigny;Z e sp
Hurtigheim;Hurtigheim;Z e sp
Hurtières;Hurtières;Z e sp
Huttendorf;Huttendorf;Z e sp
Huttenheim;Huttenheim;Z e sp
Huêtre;Huêtre;Z e sp
Hyds;Hyds;Z e sp
Hyet;Hyet;Z e sp
Hymont;Hymont;Z e sp
Hypercourt;Hypercourt;Z e sp
Hyères;Hyères;Z e sp
Hyémondans;Hyémondans;Z e sp
Hâcourt;Hâcourt;Z e sp
Hèches;Hèches;Z e sp
Hères;Hères;Z e sp
Héauville;Héauville;Z e sp
Héberville;Héberville;Z e sp
Hébuterne;Hébuterne;Z e sp
Hébécourt;Hébécourt;Z e sp
Hécourt;Hécourt;Z e sp
Hédauville;Hédauville;Z e sp
Hédouville;Hédouville;Z e sp
Hégenheim;Hégenheim;Z e sp
Hélesmes;Hélesmes;Z e sp
Hélette;Hélette;Z e sp
Héloup;Héloup;Z e sp
Hémevez;Hémevez;Z e sp
Hémilly;Hémilly;Z e sp
Héming;Héming;Z e sp
Hémonstoir;Hémonstoir;Z e sp
Hémévillers;Hémévillers;Z e sp
Hénaménil;Hénaménil;Z e sp
Hénanbihen;Hénanbihen;Z e sp
Hénansal;Hénansal;Z e sp
Hénencourt;Hénencourt;Z e sp
Héninel;Héninel;Z e sp
Hénon;Hénon;Z e sp
Hénonville;Hénonville;Z e sp
Hénouville;Hénouville;Z e sp
Hénu;Hénu;Z e sp
Hérange;Hérange;Z e sp
Héric;Héric;Z e sp
Héricourt;Héricourt;Z e sp
Héricy;Héricy;Z e sp
Hérimoncourt;Hérimoncourt;Z e sp
Hériménil;Hériménil;Z e sp
Hérin;Hérin;Z e sp
Hérissart;Hérissart;Z e sp
Hérisson;Hérisson;Z e sp
Héronchelles;Héronchelles;Z e sp
Hérouvillette;Hérouvillette;Z e sp
Héry;Héry;Z e sp
Hérépian;Hérépian;Z e sp
Hésingue;Hésingue;Z e sp
Hétomesnil;Hétomesnil;Z e sp
Hévilliers;Hévilliers;Z e sp
Hézecques;Hézecques;Z e sp
Hœdic;Hœdic;Z e sp
Hœnheim;Hœnheim;Z e sp
Hœrdt;Hœrdt;Z e sp
Ibarrolle;Ibarrolle;Z e sp
Ibigny;Ibigny;Z e sp
Ibos;Ibos;Z e sp
Ichtratzheim;Ichtratzheim;Z e sp
Ichy;Ichy;Z e sp
Idron;Idron;Z e sp
Iffendic;Iffendic;Z e sp
Ifs;Ifs;Z e sp
Ignaucourt;Ignaucourt;Z e sp
Ignaux;Ignaux;Z e sp
Igney;Igney;Z e sp
Ignol;Ignol;Z e sp
Igny;Igny;Z e sp
Igon;Igon;Z e sp
Igornay;Igornay;Z e sp
Igoville;Igoville;Z e sp
Iguerande;Iguerande;Z e sp
Igé;Igé;Z e sp
Iholdy;Iholdy;Z e sp
Ilharre;Ilharre;Z e sp
Ilhat;Ilhat;Z e sp
Ilhet;Ilhet;Z e sp
Ilheu;Ilheu;Z e sp
Illange;Illange;Z e sp
Illartein;Illartein;Z e sp
Illats;Illats;Z e sp
Illfurth;Illfurth;Z e sp
Illhaeusern;Illhaeusern;Z e sp
