# Quelle: Julian von Heyl, extrahiert mit diesem Kommando:
# SELECT * FROM `alt_neu` WHERE `alt_empfohlen` IS NULL AND `neu_empfohlen` IS NULL
# Solange die Flexionsdaten noch die alte Schreibweise kennen und als alte Schreibweise hier
# eine Grundform steht, werden auch die Vollformen gefunden.
läßt;lässt
fahrläßiger;fahrlässiger
fahrläßiges;fahrlässiges
fahrläßigen;fahrlässigen
fahrläßigem;fahrlässigem
vergiß;vergiss
vergißt;vergisst
schoß;schoss
Dachgeschoß;Dachgeschoss
Dachgeschoßes;Dachgeschosses
Dachgeschoßen;Dachgeschossen
Grundriß;Grundriss
Grundriße;Grundrisse
Grundrißen;Grundrissen
Grundrißes;Grundrisses
